epoch,loss,val_loss
1,0.00027749044238589704,7.394159183604643e-05
2,7.092677697073668e-05,6.691451562801376e-05
3,6.740527896909043e-05,6.274040060816333e-05
4,6.510889943456277e-05,6.0570579080376774e-05
5,6.469697109423578e-05,5.944035365246236e-05
6,6.366158777382225e-05,5.878187221242115e-05
7,6.286372808972374e-05,5.832920578541234e-05
8,6.223674427019432e-05,5.788183261756785e-05
9,6.171136919874698e-05,5.75976082473062e-05
10,5.8808909670915455e-05,5.661184331984259e-05
11,5.874226917512715e-05,5.6797973229549825e-05
12,5.875377974007279e-05,5.719285036320798e-05
13,5.859831799170934e-05,5.731017154175788e-05
14,5.841655729454942e-05,5.714825965696946e-05
15,5.8271383750252426e-05,5.680401955032721e-05
16,5.811812661704607e-05,5.607993443845771e-05
17,5.796892583020963e-05,5.594687536358833e-05
18,5.728628457291052e-05,5.488415990839712e-05
19,5.71871642023325e-05,5.4837862990098074e-05
20,5.7143221056321636e-05,5.484904977492988e-05
21,5.707612945116125e-05,5.482805136125535e-05
22,5.70090051041916e-05,5.481043990585022e-05
23,5.695745858247392e-05,5.478679304360412e-05
24,5.69126132177189e-05,5.4771015129517764e-05
25,5.687230441253632e-05,5.474773934110999e-05
26,5.6571148888906464e-05,5.43640780961141e-05
27,5.6532520829932764e-05,5.435143248178065e-05
28,5.6514170864829794e-05,5.4321302741300315e-05
29,5.6492423027521e-05,5.429283919511363e-05
30,5.6470675190212205e-05,5.4266223742160946e-05
31,5.644978227792308e-05,5.424911796581e-05
32,5.642756150336936e-05,5.4238029406405985e-05
33,5.6404842325719073e-05,5.422224785434082e-05
34,5.6281653087353334e-05,5.4087657190393656e-05
35,5.626494748867117e-05,5.4080002882983536e-05
36,5.625587436952628e-05,5.40744949830696e-05
37,5.6246928579639643e-05,5.406831405707635e-05
38,5.623774995910935e-05,5.4062602430349216e-05
39,5.622793105430901e-05,5.405630145105533e-05
40,5.621811214950867e-05,5.4048756283009425e-05
41,5.6207860325230286e-05,5.4040901886764914e-05
42,5.616692214971408e-05,5.4017069487599656e-05
43,5.6160701205953956e-05,5.4014130000723526e-05
44,5.6157186918426305e-05,5.401148155215196e-05
45,5.615384361590259e-05,5.400877125794068e-05
46,5.615040936390869e-05,5.400584632297978e-05
47,5.614702240563929e-05,5.4002808610675856e-05
48,5.614354813587852e-05,5.399973815656267e-05
49,5.6140022934414446e-05,5.399647488957271e-05
50,5.612698805634864e-05,5.398012581281364e-05
51,5.612413224298507e-05,5.3978379582986236e-05
52,5.6122524256352335e-05,5.3976917115505785e-05
53,5.6121047236956656e-05,5.39754873898346e-05
54,5.6119533837772906e-05,5.3974054026184604e-05
55,5.6118034990504384e-05,5.3972624300513417e-05
56,5.611649248749018e-05,5.3971180022927e-05
57,5.611497545032762e-05,5.3969761211192235e-05
58,5.611344749922864e-05,5.396829146775417e-05
59,5.611190135823563e-05,5.39669199497439e-05
60,5.6110351579263806e-05,5.396542474045418e-05
61,5.610880543827079e-05,5.396403867052868e-05
62,5.610728476312943e-05,5.396262713475153e-05
63,5.6105724070221186e-05,5.3961204685037956e-05
64,5.6104159739334136e-05,5.3959818615112454e-05
65,5.6102624512277544e-05,5.395834887167439e-05
66,5.610109292319976e-05,5.395693369791843e-05
67,5.6099521316355094e-05,5.395555854192935e-05
68,5.609795334748924e-05,5.395410698838532e-05
69,5.609639993053861e-05,5.39526590728201e-05
70,5.6094842875609174e-05,5.395130574470386e-05
71,5.609328218270093e-05,5.394991603679955e-05
72,5.6091739679686725e-05,5.394846812123433e-05
73,5.609015715890564e-05,5.394709296524525e-05
74,5.608864012174308e-05,5.3945706895319745e-05
75,5.608711944660172e-05,5.394430991145782e-05
76,5.60855696676299e-05,5.394292020355351e-05
77,5.6084045354509726e-05,5.3941526857670397e-05
78,5.608247374766506e-05,5.394012987380847e-05
79,5.6080956710502505e-05,5.3938725613988936e-05
80,5.6079355999827385e-05,5.393731044023298e-05
81,5.6077831686707214e-05,5.3935837058816105e-05
82,5.6076267355820164e-05,5.393446917878464e-05
83,5.6074713938869536e-05,5.393305400502868e-05
84,5.6073200539685786e-05,5.393163883127272e-05
85,5.607160710496828e-05,5.3930220019537956e-05
86,5.6070060963975266e-05,5.3928830311633646e-05
87,5.606852573691867e-05,5.3927393310004845e-05
88,5.606696868198924e-05,5.392596358433366e-05
89,5.606543709291145e-05,5.392452658270486e-05
90,5.606385093415156e-05,5.3923216910334304e-05
91,5.606236300081946e-05,5.3921827202429995e-05
92,5.606078775599599e-05,5.392043021856807e-05
93,5.6059230701066554e-05,5.3919087804388255e-05
94,5.605775004369207e-05,5.391768354456872e-05
95,5.605619298876263e-05,5.3916373872198164e-05
96,5.605465776170604e-05,5.3914973250357434e-05
97,5.605311525869183e-05,5.391365266405046e-05
98,5.6051587307592854e-05,5.3912270232103765e-05
99,5.605005571851507e-05,5.391089871409349e-05
100,5.604854959528893e-05,5.3909556299913675e-05
