epoch,loss,val_loss
1,0.00022614070621784776,5.2049192163394764e-05
2,7.8372067946475e-05,5.057291855337098e-05
3,7.699436537222937e-05,5.073821739642881e-05
4,7.648499013157561e-05,4.7305926273111254e-05
5,7.627397280884907e-05,4.6323515562107787e-05
6,7.630957406945527e-05,4.696429459727369e-05
7,7.64471769798547e-05,4.700621866504662e-05
8,7.658010872546583e-05,4.7071316657820717e-05
9,7.64418437029235e-05,4.6347759052878246e-05
10,7.437270687660202e-05,4.470524800126441e-05
11,7.431316043948755e-05,4.491329673328437e-05
12,7.434106373693794e-05,4.5021628466201946e-05
13,7.434491999447346e-05,4.517264096648432e-05
14,7.437801104970276e-05,4.560195520753041e-05
15,7.436472515109926e-05,4.584261478157714e-05
16,7.439046021318063e-05,4.6718865633010864e-05
17,7.442812784574926e-05,4.8432288167532533e-05
18,7.368485239567235e-05,4.54228647868149e-05
19,7.368093793047592e-05,4.561406240100041e-05
20,7.368557271547616e-05,4.5793734898325056e-05
21,7.368919614236802e-05,4.59355978819076e-05
22,7.36904694349505e-05,4.6086708607617766e-05
23,7.368933438556269e-05,4.6087621740298346e-05
24,7.368082879111171e-05,4.602892295224592e-05
25,7.367012585746124e-05,4.593233825289644e-05
26,7.342374010477215e-05,4.668346082326025e-05
27,7.340683077927679e-05,4.648351023206487e-05
28,7.340313459280878e-05,4.626832014764659e-05
29,7.34001660021022e-05,4.6113993448670954e-05
30,7.339656440308318e-05,4.601431282935664e-05
31,7.339329749811441e-05,4.5945856982143596e-05
32,7.33909328118898e-05,4.587297007674351e-05
33,7.338842988247052e-05,4.580761742545292e-05
34,7.330416701734066e-05,4.6414483222179115e-05
35,7.329822983592749e-05,4.6453886170638725e-05
36,7.32966946088709e-05,4.648246249416843e-05
37,7.329535583266988e-05,4.6508750529028475e-05
38,7.329419895540923e-05,4.652616917155683e-05
39,7.329247455345467e-05,4.6549441321985796e-05
40,7.329063373617828e-05,4.6568995458073914e-05
