Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental,rank,added_features
Analytic,115.30035400390624,0.0003043309727842,0.0174450844877361,0.0062477965839207,0.0015392141649499,0.0025494678411632,0.0817480211218064,,,,,
3F,106.88195037841795,0.0002821109112174,0.0167961576325509,0.0070309974253177,-0.0001099832588806,0.003620445728302,0.1487921846448263,19.9s,7.30%,,121,0
3F+vix_lag,113.5356674194336,0.0002996731485342,0.0173110701152257,0.0090365698561072,9.54724964685738e-05,0.0056904703378677,0.0958019844620831,18.9s,1.53%,-6.23%,127,1
3F+vix_mom_lag,108.36732482910156,0.0002860315015351,0.0169124658620532,0.008172289468348,0.0007456724997609,0.00492425262928,0.1369626630401562,19.2s,6.01%,4.55%,123,1
3F+vix_mom,105.54328918457033,0.000278577565055,0.016690643038991,0.0079590305685997,0.0020861024968326,0.004703477025032,0.159453281923473,19.4s,8.46%,2.61%,120,1
3F+gamma,109.4960479736328,0.0002890107240669,0.0170003154108084,0.0079352287575602,-0.0009435722022317,0.0046482980251312,0.127973512312689,19.2s,5.03%,-3.75%,124,1
3F+theta,110.46137237548828,0.0002915586617277,0.0170750889229825,0.0086684245616197,0.0009698218200355,0.0053535103797912,0.120285669114626,19.2s,4.20%,-0.88%,125,1
3F+vega,119.64124298095705,0.0003157885869134,0.0177704413820656,0.0086774947121739,-0.0006361614796333,0.0053037405014038,0.0471771828299103,19.2s,-3.76%,-8.31%,128,1
3F+rho,112.54729461669922,0.0002970643754812,0.0172355555605625,0.0081872325390577,9.439390123588964e-05,0.0048713833093643,0.103673385116668,18.7s,2.39%,5.93%,126,1
3F+vix_lag+vix_mom_lag,81.54557800292969,0.0002152365037755,0.0146709407938129,0.0067859417758882,-2.226170545327477e-05,0.0036898553371429,0.3505710453636643,19.0s,29.28%,27.55%,70,2
3F+vix_lag+vix_mom,86.96759033203125,0.0002295477025643,0.0151508317449676,0.0068727992475032,0.0013223519781604,0.0038577988743782,0.3073901410749333,18.8s,24.57%,-6.65%,95,2
