combo_name,n_features,features,SSE,RMSE,Gain_vs_HW_%,training_time_s,epochs_run
3F+vix_lag+iv_lag+d_iv_lag,6,"delta, T, spy_ret, vix_lag, iv_lag, d_iv_lag",40.24720764160156,0.010428668701552481,63.24721984435351,12.861760481000033,100
3F+iv_lag+d_iv_lag+theta,6,"delta, T, spy_ret, iv_lag, d_iv_lag, theta",41.649051666259766,0.010608733809628073,61.96708966216631,12.839400716,100
3F+iv_lag+gamma+rho,6,"delta, T, spy_ret, iv_lag, gamma, rho",42.565834045410156,0.010724858416149452,61.12990608581661,12.771454619999986,100
3F+iv_lag+d_iv_lag+vix_mom,6,"delta, T, spy_ret, iv_lag, d_iv_lag, vix_mom",42.98909378051758,0.010778048633607975,60.74339549527663,12.94149579299983,100
3F+iv_lag+d_iv_lag+gamma,6,"delta, T, spy_ret, iv_lag, d_iv_lag, gamma",43.11885452270508,0.010794302916704185,60.62490111243848,12.907889822999778,100
3F+iv_lag+d_iv_lag+rho,6,"delta, T, spy_ret, iv_lag, d_iv_lag, rho",43.55596160888672,0.010848877290261592,60.22574545458599,12.974789907000059,100
3F+iv_lag+gamma+theta,6,"delta, T, spy_ret, iv_lag, gamma, theta",44.516380310058594,0.010967835189893893,59.34871424049859,12.98374274999992,100
3F+iv_lag+d_iv_lag+vega,6,"delta, T, spy_ret, iv_lag, d_iv_lag, vega",45.13915252685547,0.011044287268376078,58.780013659459485,12.877816895000024,100
3F+iv_lag+d_iv_lag,5,"delta, T, spy_ret, iv_lag, d_iv_lag",45.21504211425781,0.011053567398510426,58.71071311700352,12.788360264999994,100
3F+vix_lag+iv_lag+gamma,6,"delta, T, spy_ret, vix_lag, iv_lag, gamma",45.54328918457031,0.011093617563872194,58.41096580237342,12.969714249999925,100
3F+iv_lag+d_iv_lag+vix_mom_lag,6,"delta, T, spy_ret, iv_lag, d_iv_lag, vix_mom_lag",46.777278900146484,0.011242903192615472,57.28411613034745,12.798851652999929,100
3F+vix_lag+iv_lag+vix_mom_lag,6,"delta, T, spy_ret, vix_lag, iv_lag, vix_mom_lag",50.34791946411133,0.011664114071025631,54.02349321134059,12.96318638899993,100
3F+iv_lag+vix_mom+gamma,6,"delta, T, spy_ret, iv_lag, vix_mom, gamma",50.81550216674805,0.011718151395471412,53.596507954931724,12.800241329999835,100
3F+vix_lag+iv_lag+vix_mom,6,"delta, T, spy_ret, vix_lag, iv_lag, vix_mom",50.89106369018555,0.011726860474592503,53.527506992582886,12.878829379999956,100
3F+vix_lag+iv_lag+theta,6,"delta, T, spy_ret, vix_lag, iv_lag, theta",50.93669128417969,0.011732116294685678,53.4858409732647,13.059121205999986,100
3F+iv_lag+theta+vega,6,"delta, T, spy_ret, iv_lag, theta, vega",51.21023178100586,0.011763576052294812,53.23605038324308,12.817727096999988,100
3F+iv_lag+gamma,5,"delta, T, spy_ret, iv_lag, gamma",51.35628890991211,0.011780339604593397,53.10267453275779,12.931614837999973,100
3F+iv_lag+theta,5,"delta, T, spy_ret, iv_lag, theta",51.45619201660156,0.011791792152613348,53.011445423157944,12.90671188400006,100
3F+iv_lag+gamma+vega,6,"delta, T, spy_ret, iv_lag, gamma, vega",51.52326965332031,0.011799475464514314,52.95019174171903,12.881597732000046,100
3F+iv_lag+vix_mom+theta,6,"delta, T, spy_ret, iv_lag, vix_mom, theta",51.758323669433594,0.01182635999699263,52.735546078451115,13.035489441999971,100
3F+vix_lag+iv_lag+vega,6,"delta, T, spy_ret, vix_lag, iv_lag, vega",51.99246597290039,0.011853079627836403,52.52173296920184,12.98215504399991,100
3F+vix_lag+iv_lag+rho,6,"delta, T, spy_ret, vix_lag, iv_lag, rho",52.46949005126953,0.011907330703346597,52.08612607598898,12.987256451999997,100
3F+iv_lag+theta+rho,6,"delta, T, spy_ret, iv_lag, theta, rho",53.25796890258789,0.011996465066761589,51.36610618944345,13.035918150000043,100
3F+d_iv_lag+vix_mom_lag+vix_mom,6,"delta, T, spy_ret, d_iv_lag, vix_mom_lag, vix_mom",53.26011276245117,0.011996706518713953,51.36414846827826,12.765511476000029,100
3F+vix_lag+d_iv_lag+vix_mom,6,"delta, T, spy_ret, vix_lag, d_iv_lag, vix_mom",53.67362594604492,0.012043187875053853,50.98653819371171,12.762215792000006,100
3F+iv_lag+vix_mom_lag+theta,6,"delta, T, spy_ret, iv_lag, vix_mom_lag, theta",54.21516799926758,0.012103790492493929,50.49201504059345,12.926154721000103,100
3F+vix_lag+iv_lag,5,"delta, T, spy_ret, vix_lag, iv_lag",55.27846145629883,0.012221906791664872,49.52104107849395,12.731044182999995,100
3F+vix_lag+d_iv_lag+vix_mom_lag,6,"delta, T, spy_ret, vix_lag, d_iv_lag, vix_mom_lag",55.34302520751953,0.012229042137454455,49.46208301671315,12.930315883000048,100
3F+iv_lag+vix_mom+vega,6,"delta, T, spy_ret, iv_lag, vix_mom, vega",56.051307678222656,0.012307047262225599,48.815296532402066,12.893059093000147,100
3F+d_iv_lag+vix_mom+vega,6,"delta, T, spy_ret, d_iv_lag, vix_mom, vega",56.18301773071289,0.012321498403386647,48.69502208636922,12.808350565999945,100
3F+vix_lag+d_iv_lag+gamma,6,"delta, T, spy_ret, vix_lag, d_iv_lag, gamma",56.587547302246094,0.012365777534567563,48.32561542985252,12.756015649000005,100
3F+vix_lag+d_iv_lag+rho,6,"delta, T, spy_ret, vix_lag, d_iv_lag, rho",56.628108978271484,0.012370208604973898,48.288575484746744,12.955884631999993,100
3F+d_iv_lag+vix_mom+rho,6,"delta, T, spy_ret, d_iv_lag, vix_mom, rho",56.65760040283203,0.012373429333996034,48.26164462651173,12.836675176999961,100
3F+d_iv_lag+vix_mom_lag+theta,6,"delta, T, spy_ret, d_iv_lag, vix_mom_lag, theta",56.97613525390625,0.012408162929007392,47.97076627644849,12.803248680000024,100
3F+d_iv_lag+vix_mom,5,"delta, T, spy_ret, d_iv_lag, vix_mom",57.444419860839844,0.012459049684607528,47.54314005794994,12.859999941999945,100
3F+d_iv_lag+vix_mom_lag,5,"delta, T, spy_ret, d_iv_lag, vix_mom_lag",57.705753326416016,0.012487357672787792,47.30449663470518,12.956664053000054,100
3F+vix_lag+d_iv_lag+theta,6,"delta, T, spy_ret, vix_lag, d_iv_lag, theta",57.740447998046875,0.012491111021875194,47.27281429663154,12.814630869999974,100
3F+d_iv_lag+vix_mom_lag+gamma,6,"delta, T, spy_ret, d_iv_lag, vix_mom_lag, gamma",58.02482604980469,0.012521833287947632,47.01312711260582,12.798416954000004,100
3F+d_iv_lag+vix_mom+theta,6,"delta, T, spy_ret, d_iv_lag, vix_mom, theta",58.04109573364258,0.012523588674423934,46.99827002938603,12.8560077919999,100
3F+vix_lag+d_iv_lag,5,"delta, T, spy_ret, vix_lag, d_iv_lag",58.19391632080078,0.01254006496609026,46.85871795180843,12.738473999999997,100
3F+iv_lag+vix_mom,5,"delta, T, spy_ret, iv_lag, vix_mom",58.20082473754883,0.012540809282930929,46.85240935211065,12.758358768999983,100
3F+d_iv_lag+vix_mom+gamma,6,"delta, T, spy_ret, d_iv_lag, vix_mom, gamma",59.11474609375,0.012638889244608,46.01783839297428,12.93345272800002,100
3F+iv_lag+vix_mom_lag+gamma,6,"delta, T, spy_ret, iv_lag, vix_mom_lag, gamma",59.529930114746094,0.012683195307916232,45.63870234995513,13.015743151999914,100
3F+iv_lag+vix_mom_lag+vix_mom,6,"delta, T, spy_ret, iv_lag, vix_mom_lag, vix_mom",59.72799301147461,0.0127042770090025,45.45783608551075,12.774191482000106,100
3F+d_iv_lag+vix_mom_lag+vega,6,"delta, T, spy_ret, d_iv_lag, vix_mom_lag, vega",59.85371398925781,0.012717640546350772,45.343030718177815,12.918403090000083,100
3F+iv_lag+vix_mom+rho,6,"delta, T, spy_ret, iv_lag, vix_mom, rho",59.88914108276367,0.012721403741323278,45.31067955009757,12.892159387999982,100
3F+d_iv_lag+theta+rho,6,"delta, T, spy_ret, d_iv_lag, theta, rho",60.001983642578125,0.012733382876243314,45.20763444371423,13.003100883999878,100
3F+iv_lag+vix_mom_lag+vega,6,"delta, T, spy_ret, iv_lag, vix_mom_lag, vega",60.09756088256836,0.01274352035215646,45.12035561134093,12.829441683999903,100
3F+d_iv_lag+rho,5,"delta, T, spy_ret, d_iv_lag, rho",60.4506950378418,0.01278090606973397,44.79788201044448,12.837136756000064,100
3F+vix_lag+d_iv_lag+vega,6,"delta, T, spy_ret, vix_lag, d_iv_lag, vega",61.07124328613281,0.012846338887292483,44.231212303852544,12.782347602999948,100
3F+d_iv_lag+gamma+rho,6,"delta, T, spy_ret, d_iv_lag, gamma, rho",61.182594299316406,0.012858044899259213,44.12952924190975,13.118369102000088,100
3F+d_iv_lag+gamma,5,"delta, T, spy_ret, d_iv_lag, gamma",61.36971664428711,0.012877692567728666,43.958653625689145,12.857178744000066,100
3F+iv_lag+vega,5,"delta, T, spy_ret, iv_lag, vega",61.6758918762207,0.01290977618510808,43.67906178198747,12.987929897999948,100
3F+iv_lag+rho,5,"delta, T, spy_ret, iv_lag, rho",62.17444610595703,0.012961848955384495,43.2237940733719,12.904961307000008,100
3F+d_iv_lag+gamma+theta,6,"delta, T, spy_ret, d_iv_lag, gamma, theta",62.35418701171875,0.01298057122195151,43.05965900956169,12.925657156999932,100
3F+iv_lag+vix_mom_lag+rho,6,"delta, T, spy_ret, iv_lag, vix_mom_lag, rho",63.51645278930664,0.013100989900028824,41.99830590932908,12.92783446999988,100
3F+d_iv_lag+vix_mom_lag+rho,6,"delta, T, spy_ret, d_iv_lag, vix_mom_lag, rho",63.88843536376953,0.013139296711926329,41.65862038623121,12.923802826999918,100
3F+d_iv_lag+vega,5,"delta, T, spy_ret, d_iv_lag, vega",64.16775512695312,0.013167987840419206,41.403552309438666,12.881795161000014,100
3F+d_iv_lag+theta,5,"delta, T, spy_ret, d_iv_lag, theta",64.67745208740234,0.013220182342041661,40.93810932764958,12.997935361000032,100
3F+iv_lag+vix_mom_lag,5,"delta, T, spy_ret, iv_lag, vix_mom_lag",65.14122772216797,0.013267495945232884,40.514600593879244,12.702907221999965,100
3F+iv_lag+vega+rho,6,"delta, T, spy_ret, iv_lag, vega, rho",65.7316665649414,0.013327488473914007,39.97542607084038,12.81962364800006,100
3F+d_iv_lag+theta+vega,6,"delta, T, spy_ret, d_iv_lag, theta, vega",66.13902282714844,0.01336872164848667,39.603438148516915,12.936157919999914,100
3F+iv_lag,4,"delta, T, spy_ret, iv_lag",66.27460479736328,0.013382417267039612,39.47962796052204,12.703288321000002,100
3F+d_iv_lag+gamma+vega,6,"delta, T, spy_ret, d_iv_lag, gamma, vega",67.09683990478516,0.013465175774133397,38.72878267434883,12.942803620999939,100
3F+d_iv_lag+vega+rho,6,"delta, T, spy_ret, d_iv_lag, vega, rho",67.36637115478516,0.013492193799209356,38.48265323191548,12.881585062000113,100
3F+d_iv_lag,4,"delta, T, spy_ret, d_iv_lag",68.19649505615234,0.013575068233874735,37.72460408921272,12.697656013000028,100
3F+vix_mom+gamma+theta,6,"delta, T, spy_ret, vix_mom, gamma, theta",78.82933044433594,0.014595027335404534,28.014955038947853,12.842292674999953,100
3F+vix_mom+theta+vega,6,"delta, T, spy_ret, vix_mom, theta, vega",81.99433135986328,0.014885139467735797,25.124752471936485,12.830172699000059,100
3F+vix_mom_lag+vix_mom+theta,6,"delta, T, spy_ret, vix_mom_lag, vix_mom, theta",82.3227767944336,0.01491492244094605,24.824824015846257,12.992476721999992,100
3F+vix_mom_lag+theta,5,"delta, T, spy_ret, vix_mom_lag, theta",82.64990997314453,0.01494452742144819,24.52609388018454,12.781059937000009,100
3F+vix_lag+vix_mom_lag+vix_mom,6,"delta, T, spy_ret, vix_lag, vix_mom_lag, vix_mom",83.20630645751953,0.014994746079955795,24.018006018494688,12.751132140999971,100
