Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental
Analytic,109.50792694091797,0.0002959153849753907,0.017202191284118158,0.0061585851944983006,0.0015151620609685779,0.0025203523691743612,0.0788418328896463,,,
3F,100.48381805419922,0.00027153018538418714,0.016478172998976165,0.007064213044941425,0.00011740681657101959,0.003795921802520752,0.15475078153022237,13.8s,8.24%,
3F+vix_lag,96.33402252197266,0.00026031649175677963,0.01613432650459199,0.007432474754750729,0.00031287435558624566,0.004259929060935974,0.18965800836879587,12.8s,12.03%,4.13%
3F+iv_lag,66.27460479736328,0.00017908909190915995,0.013382417267039612,0.007095444947481155,-0.00028910665423609316,0.004239678382873535,0.44251165019277783,12.7s,39.48%,31.20%
3F+d_iv_lag,68.19649505615234,0.0001842824775543549,0.013575068233874735,0.007005705963820219,0.00018188761896453798,0.004130437970161438,0.42634510446747587,12.7s,37.72%,-2.90%
3F+vix_mom_lag,95.93170928955078,0.00025922934968059875,0.01610060091054364,0.007177004124969244,0.00026028393767774105,0.004001647233963013,0.19304218456621325,12.8s,12.40%,-40.67%
3F+vix_mom,95.94438934326172,0.00025926361407661283,0.016101664947346682,0.007439705543220043,4.954387986799702e-05,0.004284605383872986,0.1929355225613565,12.7s,12.39%,-0.01%
3F+gamma,103.54780578613281,0.00027980977878516695,0.0167275156190382,0.007761228829622269,0.00018106646894011647,0.004545338451862335,0.12897714667071747,12.8s,5.44%,-7.92%
3F+theta,98.77558898925781,0.0002669141609967379,0.016337507796378794,0.007852739654481411,-0.0007100640796124935,0.004650413990020752,0.16912005322061818,12.6s,9.80%,4.61%
3F+vega,105.26648712158203,0.0002844540475905099,0.01686576555008725,0.00784331001341343,3.431988807278685e-05,0.004605568945407867,0.1145199526297479,12.6s,3.87%,-6.57%
3F+rho,104.17517852783203,0.000281505082966052,0.016778113212338627,0.007806095294654369,0.0006378550897352397,0.004622802138328552,0.12369981615243963,12.8s,4.87%,1.04%
3F+vix_lag+iv_lag,55.27846145629883,0.00014937500562414393,0.012221906791664872,0.006795136258006096,-0.0004851598641835153,0.004113644361495972,0.5350089472222666,12.7s,49.52%,46.94%
3F+vix_lag+d_iv_lag,58.19391632080078,0.0001572532293537643,0.01254006496609026,0.0060922265984117985,0.0006695958436466753,0.003361254930496216,0.5104847403059352,12.7s,46.86%,-5.27%
