model,mean,std,skew,kurtosis,pct_within_1std,q05,q25,q50,q75,q95
Analytic,0.0015151620609685779,0.01713533326983452,10.934334754943848,256.9034118652344,92.72208936267953,-0.01146699395030737,-0.0020542906131595373,0.00031037707231007516,0.0029938954394310713,0.015968790277838707
3F,0.00011740681657101959,0.01647775247693062,8.19271183013916,193.92466735839844,91.64363017307771,-0.015320586040616035,-0.003996953368186951,-9.472668170928955e-05,0.003601774573326111,0.013796771876513958
3F+vix_lag,0.00031287435558624566,0.016131291165947914,7.823173522949219,167.15292358398438,90.69649926364288,-0.015818774700164795,-0.004301100969314575,4.506111145019531e-05,0.004218205809593201,0.014993399381637573
3F+iv_lag,-0.00028910665423609316,0.013379293493926525,5.2945733070373535,158.6309814453125,87.59731398538094,-0.01601843163371086,-0.004677772521972656,-0.00036565959453582764,0.0037881433963775635,0.014391455799341202
3F+d_iv_lag,0.00018188761896453798,0.013573849573731422,4.383714199066162,132.30828857421875,88.15154094550958,-0.015283140353858471,-0.004073746502399445,0.00012089312076568604,0.004185035824775696,0.014792121015489101
3F+vix_mom_lag,0.00026028393767774105,0.016098499298095703,8.403060913085938,189.89865112304688,91.0969694513126,-0.015421886928379536,-0.00409562885761261,-7.152557373046875e-07,0.003909409046173096,0.014415259473025799
3F+vix_mom,4.954387986799702e-05,0.016101589426398277,8.35446834564209,185.46324157714844,90.68758191128585,-0.01611328125,-0.004581272602081299,-0.00024303793907165527,0.003989681601524353,0.01468043401837349
3F+gamma,0.00018106646894011647,0.01672653667628765,7.584315776824951,170.49575805664062,90.98779944063881,-0.016156572848558426,-0.004722714424133301,-0.00015828758478164673,0.004369765520095825,0.015321814455091953
3F+theta,-0.0007100640796124935,0.016322070732712746,6.279110431671143,134.1495361328125,90.21036844878603,-0.01749569922685623,-0.005542755126953125,-0.0008520334959030151,0.0036844611167907715,0.014511318877339363
3F+vega,3.431988807278685e-05,0.016865728422999382,7.4036545753479,176.7592010498047,90.94834691202897,-0.0168815478682518,-0.004785910248756409,-6.502866744995117e-05,0.004438914358615875,0.014845272526144981
3F+rho,0.0006378550897352397,0.016765981912612915,7.506716728210449,177.74134826660156,91.02238795887209,-0.015910618007183075,-0.004266008734703064,0.0004267692565917969,0.004930123686790466,0.015579883009195328
3F+vix_lag+iv_lag,-0.0004851598641835153,0.012212272733449936,4.251993656158447,135.0936279296875,86.27754583654223,-0.015235833823680878,-0.0047607421875,-0.0007357150316238403,0.0033501088619232178,0.01441544946283102
3F+vix_lag+d_iv_lag,0.0006695958436466753,0.012522174045443535,6.435231685638428,171.91343688964844,88.98031426911488,-0.013183309696614742,-0.0028153806924819946,0.0005956441164016724,0.0037874728441238403,0.013610046356916428
3F+vix_lag+vix_mom_lag,0.0004617019440047443,0.015487024560570717,7.993067264556885,169.54132080078125,90.52004377609339,-0.015258148312568665,-0.003928080201148987,0.00022195279598236084,0.004214376211166382,0.014740902930498123
3F+vix_lag+vix_mom,0.0004704854218289256,0.01529789250344038,8.223028182983398,179.21420288085938,91.26639914609595,-0.01440427266061306,-0.003537103533744812,0.00032657384872436523,0.0038971155881881714,0.013647179119288921
3F+vix_lag+gamma,-6.381353887263685e-05,0.01572750136256218,8.106335639953613,172.16432189941406,91.04157377757961,-0.015291494317352772,-0.004250392317771912,-0.00032016634941101074,0.003357633948326111,0.013854634016752243
3F+vix_lag+theta,0.00034493309794925153,0.015419919043779373,7.3036208152771,153.02455139160156,90.63921203031899,-0.015185904689133167,-0.003595322370529175,0.00026291608810424805,0.0037994384765625,0.014274767599999905
3F+vix_lag+vega,7.962762174429372e-05,0.01579267531633377,7.960494518280029,177.94578552246094,91.17938740491536,-0.015236001461744308,-0.003992900252342224,-0.00013637542724609375,0.0035753846168518066,0.01380830630660057
3F+vix_lag+rho,0.00031968491384759545,0.01591518707573414,7.927361965179443,174.22496032714844,90.78134922243389,-0.015517951920628548,-0.004135116934776306,2.574920654296875e-05,0.004156261682510376,0.01471579261124134
3F+iv_lag+d_iv_lag,-0.0006139392498880625,0.011036504991352558,4.194175720214844,136.22691345214844,87.24007944550281,-0.013824271969497204,-0.0038161054253578186,-0.0007454976439476013,0.0022857487201690674,0.012376099824905396
3F+iv_lag+vix_mom_lag,0.00020105030853301287,0.013265972957015038,5.56094217300415,183.38162231445312,87.63946874197775,-0.016135871410369873,-0.0038498565554618835,0.0005331560969352722,0.004362821578979492,0.014187578111886978
3F+iv_lag+vix_mom,0.00033127644564956427,0.012536434456706047,5.897356033325195,186.7321014404297,88.69009498331374,-0.013701772317290306,-0.0032133758068084717,0.00029437243938446045,0.00346548855304718,0.013559073209762573
3F+iv_lag+gamma,-0.0006497220019809902,0.01176240760833025,3.67192006111145,102.67827606201172,86.43913907016335,-0.015179337933659554,-0.0046010687947273254,-0.0006899237632751465,0.002988561987876892,0.012990165501832962
3F+iv_lag+theta,0.00021121148893143982,0.011789900250732899,2.950727701187134,83.571044921875,87.4486914460973,-0.013949457556009293,-0.0032494068145751953,0.00014678388833999634,0.00341796875,0.013801171444356441
3F+iv_lag+vega,-0.00035199010744690895,0.012904977425932884,5.466216087341309,184.30386352539062,88.45040736086904,-0.01492199208587408,-0.004148855805397034,-0.0004203319549560547,0.003118649125099182,0.013433452695608139
3F+iv_lag+rho,3.650127837317996e-05,0.0129617964848876,5.6046905517578125,181.467041015625,88.1469471579317,-0.014579370617866516,-0.0041254013776779175,-0.00015644729137420654,0.003735750913619995,0.014353605918586254
3F+d_iv_lag+vix_mom_lag,-9.442729788133875e-05,0.012486998923122883,5.653897762298584,169.29559326171875,89.1756853525732,-0.013706476427614689,-0.003436148166656494,-0.00016729533672332764,0.0030039846897125244,0.012573170475661755
3F+d_iv_lag+vix_mom,0.0003148760588373989,0.012455069459974766,6.758273601531982,187.93177795410156,89.45455528082904,-0.013107627630233765,-0.002993345260620117,0.00021260976791381836,0.003299698233604431,0.012726664543151855
3F+d_iv_lag+gamma,6.083241896703839e-05,0.012877549044787884,5.4284467697143555,163.5856475830078,89.34808749814222,-0.013712149113416672,-0.0034224390983581543,-2.043694257736206e-05,0.0032196044921875,0.013115637935698032
3F+d_iv_lag+theta,-0.00033818805241025984,0.01321585476398468,4.408718109130859,142.50540161132812,88.64469755313256,-0.015029413625597954,-0.004078418016433716,-0.0003593266010284424,0.0031836852431297302,0.013650858774781227
3F+d_iv_lag+vega,-0.0003542065969668329,0.01316322386264801,4.852395534515381,147.78379821777344,88.8697931444476,-0.014900422655045986,-0.004077807068824768,-0.0004302859306335449,0.0031430423259735107,0.013265322893857956
3F+d_iv_lag+rho,1.4097087841946632e-05,0.012780898250639439,4.895582675933838,160.24557495117188,89.51859808412036,-0.01378813199698925,-0.0032393336296081543,3.9771199226379395e-05,0.003127560019493103,0.012603475712239742
3F+vix_mom_lag+vix_mom,-0.0007652767817489803,0.015293063595890999,8.81257438659668,195.10227966308594,91.12047883479929,-0.015734553337097168,-0.004814699292182922,-0.0009488165378570557,0.0027498751878738403,0.012278277426958084
3F+vix_mom_lag+gamma,-0.0007508131675422192,0.015967363491654396,7.911567687988281,174.22348022460938,90.80620971991407,-0.01668701507151127,-0.00518798828125,-0.0009727776050567627,0.0031446516513824463,0.013338983990252018
3F+vix_mom_lag+theta,0.0005427236901596189,0.014934669248759747,7.5259270668029785,160.20875549316406,90.83593422777079,-0.014029436744749546,-0.0032463446259498596,0.0002453029155731201,0.003653988242149353,0.014167329296469688
3F+vix_mom_lag+vega,0.00021488101629074663,0.015987951308488846,7.954292297363281,183.20623779296875,90.95077891721725,-0.015837352722883224,-0.004125624895095825,9.430199861526489e-05,0.004108846187591553,0.01417967863380909
3F+vix_mom_lag+rho,-7.680927228648216e-05,0.016265245154500008,7.869025707244873,179.82339477539062,90.57895234620945,-0.016723275184631348,-0.004879757761955261,-0.0002583414316177368,0.00420813262462616,0.014626960270106792
3F+vix_mom+gamma,-0.0002066956221824512,0.015513967722654343,8.11579704284668,180.3097686767578,91.43772040047018,-0.015178662724792957,-0.004072457551956177,-0.0003144294023513794,0.0032221972942352295,0.0125732421875
3F+vix_mom+theta,0.00012753512419294566,0.015054444782435894,7.67861270904541,163.8415985107422,91.09723967411131,-0.014404922723770142,-0.0035914629697799683,-4.792213439941406e-05,0.0032256320118904114,0.013348749838769436
3F+vix_mom+vega,-1.763026011758484e-05,0.0155713502317667,8.855159759521484,206.23663330078125,91.56607622985152,-0.014735274948179722,-0.0036959201097488403,-0.00022098422050476074,0.003128066658973694,0.012927627190947533
3F+vix_mom+rho,0.00046960212057456374,0.015774762257933617,8.362340927124023,195.67201232910156,91.2620755813168,-0.015250983648002148,-0.003698498010635376,0.0005035400390625,0.0043332576751708984,0.01360352337360382
3F+gamma+theta,9.812194184632972e-05,0.01555311307311058,6.682140350341797,148.41258239746094,90.94078067366543,-0.01509866677224636,-0.003872200846672058,-0.00010633468627929688,0.003572613000869751,0.013957159593701363
3F+gamma+vega,0.0008592337835580111,0.016605399549007416,7.5074286460876465,174.37274169921875,91.00617459095024,-0.015554451383650303,-0.003848254680633545,0.0006831437349319458,0.005019351840019226,0.015607666224241257
3F+gamma+rho,0.0009701717644929886,0.016197146847844124,7.087525844573975,164.75820922851562,91.06913650304676,-0.014840494841337204,-0.003434613347053528,0.0007941722869873047,0.004881285130977631,0.015324141830205917
3F+theta+vega,-1.046409579430474e-05,0.015770241618156433,6.655601501464844,148.8629150390625,91.02779241484605,-0.015564809553325176,-0.003935590386390686,-0.00012084841728210449,0.003497898578643799,0.013686787337064743
3F+theta+rho,-0.0006314732017926872,0.01619814708828926,6.036543369293213,137.15475463867188,90.43384270330887,-0.017428481951355934,-0.005341783165931702,-0.0006498545408248901,0.0038690268993377686,0.01401316374540329
3F+vega+rho,-0.00010994110925821587,0.016440043225884438,7.803256988525391,190.8231964111328,91.55040330752705,-0.01581409014761448,-0.004289612174034119,-0.0002275332808494568,0.003618568181991577,0.01357867382466793
3F+vix_lag+iv_lag+d_iv_lag,-0.00016264240548480302,0.010427402332425117,2.987992763519287,97.24246978759766,86.56992690473295,-0.013199162669479847,-0.003308989107608795,-0.00019459426403045654,0.0028306245803833008,0.012404181063175201
3F+vix_lag+iv_lag+vix_mom_lag,-0.0002987413899973035,0.011660288088023663,5.0176777839660645,177.17469787597656,87.50787023901206,-0.014313322491943836,-0.003874540328979492,-0.0002964884042739868,0.0030869245529174805,0.012828346341848373
3F+vix_lag+iv_lag+vix_mom,0.00016688578762114048,0.011725672520697117,4.941363334655762,166.93836975097656,87.01552429978517,-0.014020710252225399,-0.0036624670028686523,0.00011879205703735352,0.003727450966835022,0.013636704534292221
3F+vix_lag+iv_lag+gamma,-0.0004413690767250955,0.011084835045039654,4.013699054718018,122.96136474609375,86.63856349560213,-0.01370934210717678,-0.004120498895645142,-0.0006578266620635986,0.0027368515729904175,0.013124065473675728
3F+vix_lag+iv_lag+theta,-1.781164428393822e-05,0.011732103303074837,3.241220235824585,98.1318359375,85.77628254495832,-0.014864366501569748,-0.004134073853492737,-5.817413330078125e-05,0.003928855061531067,0.01427515596151352
3F+vix_lag+iv_lag+vega,-0.00011544972949195653,0.01185251772403717,3.7676150798797607,135.5101776123047,86.40184832394309,-0.01442343182861805,-0.004201099276542664,-0.0003272145986557007,0.003582604229450226,0.014469102025032043
3F+vix_lag+iv_lag+rho,0.001404518261551857,0.011824206449091434,3.62514066696167,139.24017333984375,86.12486995527813,-0.013730322942137718,-0.002425059676170349,0.0015529394149780273,0.00531005859375,0.01506770309060812
3F+vix_lag+d_iv_lag+vix_mom_lag,5.731144847231917e-05,0.012228907085955143,6.477727890014648,181.64039611816406,88.86790158485671,-0.013483397662639618,-0.0032751262187957764,-2.3230910301208496e-05,0.0031582117080688477,0.012748360633850098
3F+vix_lag+d_iv_lag+vix_mom,0.000974668248090893,0.012003683485090733,7.111702919006348,194.71597290039062,89.4048342858687,-0.01189830806106329,-0.002302795648574829,0.0008730292320251465,0.003913417458534241,0.013026678003370762
3F+vix_lag+d_iv_lag+gamma,-7.946378173073754e-05,0.012365520931780338,6.585179328918457,176.12576293945312,89.08164781862645,-0.013410397805273533,-0.0035534054040908813,-0.00026522576808929443,0.0029410868883132935,0.012734713964164257
3F+vix_lag+d_iv_lag+theta,-7.966937846504152e-05,0.01249085646122694,6.006917476654053,161.09796142578125,88.42824909137585,-0.014470607042312622,-0.0037394464015960693,-3.392994403839111e-05,0.0033414065837860107,0.012926893308758736
3F+vix_lag+d_iv_lag+vega,0.0001292191445827484,0.012845689430832863,5.645285606384277,146.778564453125,87.95995298123303,-0.014700355939567089,-0.0038925260305404663,2.09808349609375e-05,0.003819763660430908,0.014117777347564697
3F+vix_lag+d_iv_lag+rho,0.0006672827294096351,0.01235219743102789,6.383089065551758,172.5941619873047,89.09678029535351,-0.0127554414793849,-0.0027497410774230957,0.0004768669605255127,0.003743499517440796,0.013461247086524963
3F+vix_lag+vix_mom_lag+vix_mom,-0.00039128755452111363,0.014989640563726425,8.551774024963379,187.10179138183594,90.93618688608758,-0.01527064573019743,-0.004296302795410156,-0.0006040781736373901,0.002964891493320465,0.012780020013451576
3F+vix_lag+vix_mom_lag+gamma,-6.275243504205719e-05,0.015434635803103447,8.063802719116211,172.1056365966797,90.86376717603665,-0.015142126940190792,-0.004304036498069763,-0.00039324164390563965,0.0034611597657203674,0.013982347212731838
3F+vix_lag+vix_mom_lag+theta,-5.8355770306661725e-05,0.015041247010231018,7.694356441497803,161.7387237548828,90.42222312296488,-0.015431555919349194,-0.00421142578125,-0.0002387017011642456,0.00359518826007843,0.013813394121825695
3F+vix_lag+vix_mom_lag+vega,-9.051042434293777e-05,0.01550564356148243,8.457589149475098,191.20594787597656,90.86457784443273,-0.015624790452420712,-0.004106849431991577,-0.0002593994140625,0.003387451171875,0.013595767319202423
3F+vix_lag+vix_mom_lag+rho,0.0001549750450067222,0.015527988784015179,8.163403511047363,183.99603271484375,90.6497507194682,-0.01568806916475296,-0.004036426544189453,3.307312726974487e-05,0.003895208239555359,0.014097343198955059
