Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental,rank,added_features
Analytic,38.626712799072266,0.000296745074051,0.0172262901998954,0.0060967500321567,0.001861042692326,0.0022072945721447,0.0674755305550336,,,,,
3F,38.554832458496094,0.0002961928619821,0.0172102545589011,0.0077692051418125,7.764129986753687e-05,0.0043032690882682,0.0692108627021929,14.5s,0.19%,,112,0
3F+vix_lag,46.512840270996094,0.000357329299605,0.0189031558107395,0.0111780315637588,-0.0002042153355432,0.007582664489746,-0.1229110258932222,13.7s,-20.42%,-20.64%,127,1
3F+vix_mom_lag,46.06963348388672,0.0003539244167835,0.0188128790136861,0.0109240096062421,-0.0004748234932776,0.0072640180587768,-0.1122111463525148,13.5s,-19.27%,0.95%,126,1
3F+vix_mom,47.62908172607422,0.0003659046902931,0.0191286353484276,0.0111706852912902,0.001200063386932,0.00750732421875,-0.1498592799702351,13.5s,-23.31%,-3.38%,128,1
3F+gamma,45.58305358886719,0.0003501863252786,0.0187132660238296,0.0103336907923221,0.0003348036261741,0.0069188438355922,-0.1004641550719993,13.6s,-18.01%,4.30%,124,1
3F+theta,43.072776794433594,0.0003309014258069,0.0181906961331035,0.0096891643479466,-0.0001237301912624,0.006195068359375,-0.0398611586931456,13.5s,-11.51%,5.51%,122,1
3F+vega,44.49859619140625,0.0003418551117894,0.0184893242653545,0.0096383392810821,-0.0005759034538641,0.0060402452945709,-0.0742832303719502,13.4s,-15.20%,-3.31%,123,1
3F+rho,46.025936126708984,0.0003535887170941,0.0188039548258905,0.0105023896321654,-0.0007362219621427,0.0068495497107505,-0.1111562066005797,13.3s,-19.16%,-3.43%,125,1
3F+vix_lag+vix_mom_lag,33.231258392333984,0.0002552951446771,0.0159779580884773,0.0085102124139666,8.147233165800571e-05,0.0053967833518981,0.1977323630282066,13.5s,13.97%,27.80%,43,2
3F+vix_lag+vix_mom,35.64344787597656,0.0002738265001841,0.0165477037737626,0.0092736165970563,-0.0004669426998589,0.0060998760163784,0.1394973863648921,13.5s,7.72%,-7.26%,90,2
3F+vix_lag+gamma,36.324317932128906,0.0002790572024777,0.0167050053121149,0.0085857640951871,0.0005634049302898,0.0054673142731189,0.123059850217895,13.6s,5.96%,-1.91%,96,2
3F+vix_lag+theta,39.34859085083008,0.0003022908153373,0.017386512454697,0.0095870094373822,-0.000575196056161,0.0062580369412899,0.0500479811096252,13.4s,-1.87%,-8.33%,117,2
3F+vix_lag+vega,35.426788330078125,0.0002721620392882,0.0164973343085569,0.0084285363554954,0.000189024824067,0.0051786080002784,0.1447279719738746,13.4s,8.28%,9.97%,85,2
3F+vix_lag+rho,37.44099426269531,0.0002876359340444,0.0169598329603929,0.0090690627694129,-0.0017640390433371,0.0057275593280792,0.0961010973952058,13.3s,3.07%,-5.69%,106,2
3F+vix_mom_lag+vix_mom,37.302982330322266,0.0002865756739776,0.0169285461271086,0.009583581238985,-0.0002405430277576,0.0063490569591522,0.0994329756392262,13.5s,3.43%,0.37%,105,2
3F+vix_mom_lag+gamma,36.84320068359375,0.0002830434567911,0.0168238954107298,0.0088273333385586,0.0005640030722133,0.005645751953125,0.1105330047410125,13.4s,4.62%,1.23%,104,2
