combo_name,n_features,features,SSE,RMSE,Gain_vs_HW_%,training_time_s,epochs_run
3F+iv_lag+d_iv_lag+theta,6,"delta, T, spy_ret, iv_lag, d_iv_lag, theta",18.573135375976562,0.01211347212000366,49.92360238021577,4.469519344999981,100
3F+iv_lag+d_iv_lag,5,"delta, T, spy_ret, iv_lag, d_iv_lag",19.860652923583984,0.012526299546022428,46.452231534567765,4.34310951599997,100
3F+iv_lag+d_iv_lag+gamma,6,"delta, T, spy_ret, iv_lag, d_iv_lag, gamma",20.635299682617188,0.01276825131396499,44.36364937894536,4.404773285999909,100
3F+iv_lag+gamma+rho,6,"delta, T, spy_ret, iv_lag, gamma, rho",20.714237213134766,0.012792649606984972,44.15082009162777,4.395665989999998,100
3F+iv_lag+gamma+theta,6,"delta, T, spy_ret, iv_lag, gamma, theta",20.908828735351562,0.012852596834526761,43.626167562977635,4.3996013189999985,100
3F+iv_lag+gamma+vega,6,"delta, T, spy_ret, iv_lag, gamma, vega",21.39389419555664,0.013000826238365125,42.31834686576399,4.351328921000004,100
3F+iv_lag+d_iv_lag+vix_mom_lag,6,"delta, T, spy_ret, iv_lag, d_iv_lag, vix_mom_lag",21.634918212890625,0.013073854906207166,41.66850426872215,4.37830090500006,100
3F+iv_lag+d_iv_lag+rho,6,"delta, T, spy_ret, iv_lag, d_iv_lag, rho",22.031482696533203,0.013193131610012418,40.59929756975757,4.344319005999978,100
3F+vix_lag+iv_lag+vix_mom,6,"delta, T, spy_ret, vix_lag, iv_lag, vix_mom",22.47368621826172,0.013324876374033068,39.407040100316614,4.464037641999994,100
3F+vix_lag+iv_lag+d_iv_lag,6,"delta, T, spy_ret, vix_lag, iv_lag, d_iv_lag",22.708303451538086,0.013394249255077888,38.7744713054325,4.385863593000067,100
3F+iv_lag+vix_mom_lag+theta,6,"delta, T, spy_ret, iv_lag, vix_mom_lag, theta",22.854629516601562,0.013437334389438749,38.37995082906023,4.448980363000032,100
3F+iv_lag+vega+rho,6,"delta, T, spy_ret, iv_lag, vega, rho",22.957664489746094,0.013467589932417862,38.10215065265042,4.416035155000031,100
3F+vix_lag+iv_lag+theta,6,"delta, T, spy_ret, vix_lag, iv_lag, theta",23.15742301940918,0.013526054920694034,37.56356697483527,4.420313585000031,100
3F+vix_lag+iv_lag+gamma,6,"delta, T, spy_ret, vix_lag, iv_lag, gamma",23.26097297668457,0.013556262516651844,37.28437831179774,4.473508946000038,100
3F+iv_lag+theta,5,"delta, T, spy_ret, iv_lag, theta",23.308609008789062,0.013570136318914306,37.155943298731565,4.3513793160000205,100
3F+iv_lag+vix_mom_lag+rho,6,"delta, T, spy_ret, iv_lag, vix_mom_lag, rho",23.66507339477539,0.01367350833899141,36.194853425180526,4.4307249600000205,100
3F+vix_lag+iv_lag+vega,6,"delta, T, spy_ret, vix_lag, iv_lag, vega",23.76487922668457,0.013702311546157324,35.92575957418098,4.397909433999985,100
3F+vix_lag+iv_lag,5,"delta, T, spy_ret, vix_lag, iv_lag",23.88058853149414,0.013735628772645468,35.61378719909952,4.554775307,100
3F+iv_lag+d_iv_lag+vix_mom,6,"delta, T, spy_ret, iv_lag, d_iv_lag, vix_mom",23.888872146606445,0.013738010849550302,35.59145313456513,4.434491062999996,100
3F+iv_lag+vix_mom+gamma,6,"delta, T, spy_ret, iv_lag, vix_mom, gamma",24.098739624023438,0.013798224179644988,35.0256139785017,4.471193543999902,100
3F+iv_lag+vix_mom+vega,6,"delta, T, spy_ret, iv_lag, vix_mom, vega",24.35993766784668,0.013872799779207415,34.32137870345381,4.3597460830000045,100
3F+vix_lag+iv_lag+vix_mom_lag,6,"delta, T, spy_ret, vix_lag, iv_lag, vix_mom_lag",24.44385528564453,0.013896674458889445,34.095122236191656,4.465728636999984,100
3F+iv_lag+d_iv_lag+vega,6,"delta, T, spy_ret, iv_lag, d_iv_lag, vega",24.497478485107422,0.013911908878793237,33.95054478044221,4.380434606999984,100
3F+iv_lag+vix_mom_lag+vega,6,"delta, T, spy_ret, iv_lag, vix_mom_lag, vega",24.602506637573242,0.013941699278355842,33.66737064652874,4.510222028000044,100
3F+iv_lag+rho,5,"delta, T, spy_ret, iv_lag, rho",24.755409240722656,0.013984955444798155,33.255118681665884,4.373566502000017,100
3F+iv_lag+vix_mom+rho,6,"delta, T, spy_ret, iv_lag, vix_mom, rho",24.839792251586914,0.014008770214119585,33.02760743389569,4.382376593999993,100
3F+d_iv_lag+vix_mom+theta,6,"delta, T, spy_ret, d_iv_lag, vix_mom, theta",25.079336166381836,0.014076155322315974,32.38175545027284,4.413974632000077,100
3F+d_iv_lag+vix_mom_lag,5,"delta, T, spy_ret, d_iv_lag, vix_mom_lag",25.206266403198242,0.014111731119539854,32.039529494335795,4.425722436000001,100
3F+d_iv_lag+gamma,5,"delta, T, spy_ret, d_iv_lag, gamma",25.440746307373047,0.01417721598029006,31.407330962552415,4.353911022000034,100
3F+iv_lag+vix_mom_lag,5,"delta, T, spy_ret, iv_lag, vix_mom_lag",25.465099334716797,0.014183999891807889,31.341670972689396,4.4029577119999885,100
3F+d_iv_lag+vix_mom+rho,6,"delta, T, spy_ret, d_iv_lag, vix_mom, rho",25.5757999420166,0.014214796446559378,31.043202915698497,4.455018344999985,100
3F+iv_lag+theta+rho,6,"delta, T, spy_ret, iv_lag, theta, rho",25.731290817260742,0.014257941175616396,30.62397251989547,4.364584527000034,100
3F+vix_lag+d_iv_lag+vix_mom,6,"delta, T, spy_ret, vix_lag, d_iv_lag, vix_mom",25.923723220825195,0.01431115613683753,30.105141349995723,4.56856124300009,100
3F+iv_lag+vix_mom+theta,6,"delta, T, spy_ret, iv_lag, vix_mom, theta",25.951278686523438,0.014318760095404514,30.03084703032537,4.426164280999956,100
3F+d_iv_lag+vix_mom_lag+vega,6,"delta, T, spy_ret, d_iv_lag, vix_mom_lag, vega",26.024763107299805,0.01433901848022031,29.832720273632663,4.363829301999999,100
3F+vix_lag+d_iv_lag,5,"delta, T, spy_ret, vix_lag, d_iv_lag",26.05255889892578,0.014346673842982185,29.757777993536028,4.40996286699999,100
3F+iv_lag+theta+vega,6,"delta, T, spy_ret, iv_lag, theta, vega",26.30956268310547,0.014417263852847074,29.064851170689643,4.4287132690000135,100
3F+d_iv_lag+vix_mom_lag+gamma,6,"delta, T, spy_ret, d_iv_lag, vix_mom_lag, gamma",26.417972564697266,0.014446936848868915,28.772559307920666,4.419549895000046,100
3F+d_iv_lag+vix_mom_lag+vix_mom,6,"delta, T, spy_ret, d_iv_lag, vix_mom_lag, vix_mom",26.753887176513672,0.014538495876346457,27.86687519335962,4.436745452999958,100
3F+iv_lag+vix_mom,5,"delta, T, spy_ret, iv_lag, vix_mom",26.908763885498047,0.014580516407326253,27.44930069642375,4.316697553999973,100
