Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental,rank,added_features
Analytic,64.9134292602539,0.000264677292044,0.0162689056805923,0.0059121288359165,0.0012462293962016,0.0026373057626187,0.0682655996162824,,,,,
3F,61.07138442993164,0.0002490117813293,0.0157801071393497,0.0067026182077825,-0.0003814155934378,0.0036287903785705,0.1234123601097931,13.9s,5.92%,,118,0
3F+vix_lag,72.0105972290039,0.0002936152055167,0.0171352036905524,0.0098026851192116,-8.201919990824535e-05,0.0066163092851638,-0.033603545445735,13.0s,-10.93%,-17.91%,124,1
3F+vix_mom_lag,72.75511169433594,0.000296650880489,0.0172235559768889,0.0098209725692868,-0.0003286150458734,0.006654180586338,-0.0442899280146171,13.1s,-12.08%,-1.03%,125,1
3F+vix_mom,73.68537902832031,0.000300443942135,0.0173333188436318,0.0099355317652225,0.0008808097336441,0.0066760778427124,-0.0576425129343174,12.9s,-13.51%,-1.28%,126,1
3F+gamma,71.64410400390625,0.0002921208701307,0.0170915438194068,0.0094500631093978,-0.0011324330698698,0.0063778236508369,-0.0283430877989512,13.2s,-10.37%,2.77%,123,1
3F+theta,70.10409545898438,0.0002858416564758,0.0169068523526956,0.0096393395215272,0.0006360628758557,0.0065681338310241,-0.0062385871657186,13.1s,-8.00%,2.15%,122,1
3F+vega,79.48597717285156,0.0003240952362759,0.018002645257737,0.0102082313969731,0.0004127141146454,0.007113978266716,-0.1409013531412226,13.1s,-22.45%,-13.38%,128,1
3F+rho,77.90990447998047,0.0003176689750666,0.017823270605214,0.0097924415022134,-5.357249028747901e-05,0.0065662562847137,-0.1182792060418005,13.1s,-20.02%,1.98%,127,1
3F+vix_lag+vix_mom_lag,48.243465423583984,0.00019670736753,0.0140252403733432,0.0074362205341458,-0.0001235290255863,0.0047466233372688,0.3075377954743441,13.3s,25.68%,38.08%,57,2
3F+vix_lag+vix_mom,52.22536849975586,0.0002129431346955,0.0145925712160518,0.0076010879129171,-0.0014731847913935,0.0047814697027206,0.25038358074031,13.0s,19.55%,-8.25%,94,2
3F+vix_lag+gamma,53.30514907836914,0.0002173458199766,0.0147426530847277,0.0074834707193076,0.0013013873249292,0.004706859588623,0.2348849586304434,12.8s,17.88%,-2.07%,97,2
3F+vix_lag+theta,49.40126419067383,0.0002014281633021,0.0141925390012559,0.0074058976024389,0.0011862356914207,0.0046045109629631,0.2909193399049357,12.9s,23.90%,7.32%,71,2
3F+vix_lag+vega,61.55826568603515,0.0002509969855294,0.0158428843816235,0.0084973685443401,-0.0001287350023631,0.0056205093860626,0.1164239137993247,12.8s,5.17%,-24.61%,119,2
3F+vix_lag+rho,57.48182678222656,0.0002343757590353,0.015309335682367,0.0078534679487347,0.0002382074453635,0.0049923360347747,0.1749350477977028,13.0s,11.45%,6.62%,110,2
3F+vix_mom_lag+vix_mom,52.07631301879883,0.0002123353775409,0.0145717321393485,0.0079024201259016,0.0019963297527283,0.0052301287651062,0.2525230474231839,13.2s,19.78%,9.40%,90,2
3F+vix_mom_lag+gamma,51.73875427246094,0.0002109590192756,0.01452442836313,0.0075319982133805,-0.0012578717432916,0.0047598183155059,0.2573681942548579,13.0s,20.30%,0.65%,89,2
3F+vix_mom_lag+theta,53.74627685546875,0.000219144469452,0.0148035289526543,0.0077584255486726,-0.0014403719687834,0.0049748420715332,0.2285532345238544,12.8s,17.20%,-3.88%,99,2
3F+vix_mom_lag+vega,59.63468170166016,0.0002431537856584,0.015593389165234,0.0080682765692472,5.75195299461484e-05,0.0052794218063354,0.144034061509804,13.2s,8.13%,-10.96%,114,2
3F+vix_mom_lag+rho,54.89384078979492,0.0002238235338312,0.0149607330646361,0.0077664032578468,-0.0005237235454842,0.0049523636698722,0.2120816845466596,12.8s,15.44%,7.95%,103,2
3F+vix_mom+gamma,49.98560333251953,0.000203810741198,0.0142762299364368,0.0073226662352681,0.0018325845012441,0.0047011151909828,0.2825320325919063,13.1s,23.00%,8.94%,76,2
3F+vix_mom+theta,57.92057037353515,0.0002361646872583,0.0153676506746575,0.0081235421821475,6.313640187727287e-05,0.0051935166120529,0.168637545083262,12.9s,10.77%,-15.87%,111,2
3F+vix_mom+vega,58.37579345703125,0.0002380208087787,0.015427923022194,0.008007088676095,-0.0018472956726327,0.0052197575569152,0.1621035041062932,12.8s,10.07%,-0.79%,112,2
3F+vix_mom+rho,57.380367279052734,0.0002339620691894,0.0152958186832031,0.007558133918792,-0.0002297903702128,0.0046964585781097,0.176391345984845,12.7s,11.60%,1.71%,108,2
3F+gamma+theta,56.84479522705078,0.0002317783336814,0.0152242679193936,0.0083224521949887,-0.0008289549150504,0.0054257959127426,0.1840786752543196,13.0s,12.43%,0.93%,107,2
3F+gamma+vega,59.87571334838867,0.0002441365654049,0.015624870092418,0.0078662186861038,0.0014168196357786,0.0050849318504333,0.1405744156491962,12.9s,7.76%,-5.33%,115,2
3F+gamma+rho,53.98282241821289,0.0002201089576898,0.0148360694825079,0.0075778630562126,-0.0005270293913781,0.0047607421875,0.2251579796347126,13.0s,16.84%,9.84%,100,2
3F+theta+vega,62.41697692871094,0.0002544982851673,0.015953002387241,0.0087055973708629,0.0006626805406995,0.0058406293392181,0.104098408677888,13.0s,3.85%,-15.62%,121,2
3F+theta+rho,53.097747802734375,0.0002165001643299,0.014713944553719,0.0073740640655159,0.0009901364101096,0.0045866221189498,0.2378618912219665,12.9s,18.20%,14.93%,96,2
3F+vega+rho,61.60707473754883,0.0002511959990114,0.0158491639846217,0.0074691893532872,-0.0001309383660554,0.0046428516507148,0.1157233334592681,12.8s,5.09%,-16.03%,120,2
3F+vix_lag+vix_mom_lag+vix_mom,46.402870178222656,0.0001892025450173,0.0137550916033779,0.0071290801279246,-0.0002842139801941,0.0045653879642486,0.3339567649669311,13.0s,28.52%,24.68%,47,3
3F+vix_lag+vix_mom_lag+gamma,44.685543060302734,0.0001822003345917,0.0134981604150996,0.0071517750620841,0.0006921460735611,0.0045274943113327,0.3586064063541185,13.1s,31.16%,3.70%,32,3
3F+vix_lag+vix_mom_lag+theta,47.13446044921875,0.0001921855230238,0.0138630993296545,0.0070992400869727,0.0008059108513407,0.004386767745018,0.3234558897206055,12.8s,27.39%,-5.48%,52,3
3F+vix_lag+vix_mom_lag+vega,50.213897705078125,0.0002047415861249,0.0143087940136464,0.0070149847306311,-0.0004885210073553,0.004278689622879,0.2792552110967107,12.9s,22.64%,-6.53%,80,3
3F+vix_lag+vix_mom_lag+rho,52.12385559082031,0.0002125292270935,0.0145783821836826,0.0075083775445818,-0.0013155542546883,0.0048150569200515,0.2518406454866364,12.9s,19.70%,-3.80%,93,3
3F+vix_lag+vix_mom+gamma,51.70865249633789,0.0002108362826296,0.0145202025684789,0.0078668594360351,0.0020101075060665,0.0052076950669288,0.2578002598635633,12.9s,20.34%,0.80%,88,3
3F+vix_lag+vix_mom+theta,48.653438568115234,0.0001983789874543,0.0140847075743284,0.0075328662060201,-0.0023157424293458,0.004841536283493,0.3016532491432332,12.9s,25.05%,5.91%,62,3
3F+vix_lag+vix_mom+vega,51.418209075927734,0.0002096520318685,0.0144793657274266,0.0072816251777112,0.0012957875151187,0.0046473741531372,0.2619691372321628,13.2s,20.79%,-5.68%,84,3
3F+vix_lag+vix_mom+rho,52.09181594848633,0.0002123985890134,0.0145739009538771,0.0073674656450748,0.0016517636831849,0.0047051161527633,0.2523005262428799,12.8s,19.75%,-1.31%,91,3
3F+vix_lag+gamma+theta,47.68086242675781,0.0001944134163493,0.0139432211611715,0.0073270066641271,0.0020452460739761,0.0046690106391906,0.3156131131994373,12.7s,26.55%,8.47%,55,3
3F+vix_lag+gamma+vega,44.979793548583984,0.0001834001082489,0.0135425296104125,0.0069802538491785,0.0007578776567243,0.0043912380933761,0.3543828842665369,13.1s,30.71%,5.66%,35,3
3F+vix_lag+gamma+rho,45.60863494873047,0.0001859641391561,0.0136368669112851,0.007163003552705,0.0013728397898375,0.004588708281517,0.3453568141362274,13.0s,29.74%,-1.40%,40,3
3F+vix_lag+theta+vega,54.35400390625,0.0002216224089468,0.0148869879071224,0.0077966162934899,-0.0006990887341089,0.0049890577793121,0.2198302290424088,12.9s,16.27%,-19.17%,102,3
3F+vix_lag+theta+rho,53.989013671875,0.0002201342018383,0.0148369202275402,0.0078594395890831,0.000378081575036,0.0050498992204666,0.2250691135235824,12.8s,16.83%,0.67%,101,3
3F+vix_lag+vega+rho,59.32536315917969,0.0002418925736852,0.0155528959903056,0.008016312494874,0.0005528981564566,0.0052437484264373,0.1484738627957618,12.6s,8.61%,-9.88%,113,3
3F+vix_mom_lag+vix_mom+gamma,52.1182746887207,0.0002125064715855,0.0145776017089772,0.0075634228996932,-0.0002183169708587,0.0049191862344741,0.2519207509213768,12.9s,19.71%,12.15%,92,3
