Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental
Analytic,62.164894104003906,0.0002590063625887094,0.016093674614229947,0.00584816187620163,0.0012499757576733828,0.002616573590785265,0.0707337381936799,,,
3F,59.041412353515625,0.00024599256020930375,0.015684149967699994,0.007230420131236315,-0.0002636606222949922,0.004365578293800354,0.11742482086874173,9.1s,5.02%,
3F+vix_lag,59.976768493652344,0.0002498896663666232,0.01580789885995679,0.008269780315458775,-0.0003235040348954499,0.005399852991104126,0.1034427347358795,8.2s,3.52%,-1.58%
3F+iv_lag,40.164710998535156,0.00016734389803275303,0.012936146954667492,0.00761452317237854,-0.00016118405619636178,0.005045279860496521,0.3996014730806722,8.1s,35.39%,33.03%
3F+d_iv_lag,35.195594787597656,0.00014664036859502467,0.012109515621816782,0.00706515833735466,0.00018040603026747704,0.004582822322845459,0.47388185451418074,8.0s,43.38%,12.37%
3F+vix_mom_lag,53.7254638671875,0.000223843974564659,0.014961416195155423,0.007093650754541159,-0.00016860624600667506,0.00433349609375,0.1968897930052732,8.0s,13.58%,-52.65%
3F+vix_mom,61.34223937988281,0.0002555788202300826,0.015986832714145808,0.008614413440227509,-0.0020192617084831,0.00570264458656311,0.08303111746633407,8.0s,1.32%,-14.18%
3F+gamma,61.23360061645508,0.0002551261832336377,0.015972669884325465,0.00822492316365242,-0.00032591872150078416,0.005367681384086609,0.08465509413407923,8.2s,1.50%,0.18%
3F+theta,54.58481979370117,0.0002274244303171127,0.015080597810336058,0.007741044741123915,0.0008064113208092749,0.005009010434150696,0.18404378914887742,8.2s,12.19%,10.86%
3F+vega,62.7901611328125,0.0002616115007637607,0.016174408822697686,0.008155809715390205,-0.00019667073502205312,0.005350783467292786,0.0613869909198953,8.2s,-1.01%,-15.03%
3F+rho,63.934268951416016,0.0002663783584698163,0.01632110163162451,0.008360900916159153,-0.0007857629097998142,0.005476668477058411,0.044284399320232426,8.1s,-2.85%,-1.82%
3F+vix_lag+iv_lag,30.001863479614258,0.0001250009936112388,0.01118038432305611,0.006605131085962057,1.057484496413963e-05,0.004203394055366516,0.5515198742833695,8.1s,51.74%,53.07%
3F+vix_lag+d_iv_lag,31.830820083618164,0.00013262123336493507,0.011516129270068788,0.006675108335912228,0.00011267246009083465,0.004269719123840332,0.5241798829441222,8.0s,48.80%,-6.10%
3F+vix_lag+vix_mom_lag,48.88593292236328,0.00020368035449064542,0.014271662639322912,0.0072774263098835945,0.000561040360480547,0.004668831825256348,0.2692330808820099,8.1s,21.36%,-53.58%
