Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental,rank,added_features
Analytic,8.374537467956543,6.952650843875553e-05,0.008338255719199,0.0035231229849159,0.0007483561057597,0.0018850003834813,0.1250112470723983,,,,,
3F,10.975561141967772,9.11205481230357e-05,0.0095457083615117,0.0054695508442819,-0.0001088777207769,0.0037354975938796,-0.1467490106811066,13.5s,-31.06%,,51,0
3F+vix_lag,20.19317626953125,0.0001676463978674,0.0129478337133067,0.0088213244453072,-0.0004835276049561,0.0064087063074111,-1.109824236780891,12.3s,-141.13%,-83.98%,127,1
3F+vix_mom_lag,20.058387756347656,0.0001665273659525,0.0129045482661163,0.0087994690984487,-0.0008968287729658,0.00639558583498,-1.0957412580479469,12.5s,-139.52%,0.67%,126,1
3F+vix_mom,20.85103225708008,0.0001731080045585,0.0131570515146264,0.0088008427992463,0.0003447587951086,0.0062750726938247,-1.1785583719320902,12.5s,-148.98%,-3.95%,128,1
3F+gamma,14.957223892211914,0.0001241768344987,0.0111434660002521,0.0071320221759378,0.0001279300195164,0.0051076337695121,-0.5627612546700884,12.2s,-78.60%,28.27%,117,1
3F+theta,19.991039276123047,0.0001659682300364,0.0128828657540343,0.00856046192348,0.0006854951498098,0.0061405971646308,-1.0887045514896705,12.6s,-138.71%,-33.65%,125,1
3F+vega,19.889354705810547,0.000165124031397,0.0128500595872971,0.0086926231160759,-0.0002774134627543,0.0064318031072616,-1.0780803402170895,12.5s,-137.50%,0.51%,124,1
3F+rho,16.204374313354492,0.0001345308408676,0.0115987430727511,0.0075837043114006,0.0005948247853666,0.0054896026849746,-0.6930660739970178,12.5s,-93.50%,18.53%,122,1
3F+vix_lag+vix_mom_lag,11.074527740478516,9.194218180404076e-05,0.0095886485911227,0.0062755485996603,-0.0007611057953909,0.0046703219413757,-0.1570892427170536,12.6s,-32.24%,31.66%,55,2
3F+vix_lag+vix_mom,13.895341873168944,0.0001153609507033,0.0107406215231404,0.0072750742547214,-0.0006483883480541,0.0053837448358535,-0.4518136558141759,12.4s,-65.92%,-25.47%,109,2
3F+vix_lag+gamma,11.062639236450195,9.184348188433632e-05,0.0095835005026522,0.0059629306197166,0.0001790479145711,0.0043298602104187,-0.155847107571833,12.6s,-32.10%,20.39%,54,2
3F+vix_lag+theta,12.568264961242676,0.000104343384125,0.0102148609449673,0.0066941529512405,0.0010862572817131,0.0048704296350479,-0.3131579537352984,12.3s,-50.08%,-13.61%,94,2
3F+vix_lag+vega,13.116776466369627,0.0001088971985817,0.010435382052505,0.0069046998396515,1.3206830772105604e-05,0.00513856112957,-0.3704675543757962,12.2s,-56.63%,-4.36%,104,2
3F+vix_lag+rho,12.052895545959473,0.0001000647196449,0.0100032354588401,0.006456768605858,-0.0004520479706116,0.004734918475151,-0.259311106228661,12.6s,-43.92%,8.11%,82,2
3F+vix_mom_lag+vix_mom,11.679146766662598,9.696180825947975e-05,0.009846918719045,0.0065841283649206,0.0022336693946272,0.0048817545175552,-0.220261071578212,12.4s,-39.46%,3.10%,76,2
3F+vix_mom_lag+gamma,10.984283447265623,9.119296184561046e-05,0.0095495006071317,0.0059250742197036,0.0003184631059411,0.0042745023965835,-0.147660334926108,12.4s,-31.16%,5.95%,52,2
3F+vix_mom_lag+theta,12.288881301879885,0.0001020239043418,0.0101006883103008,0.0066060218960046,0.0003151182900182,0.0047823041677474,-0.283967379255267,12.2s,-46.74%,-11.88%,85,2
3F+vix_mom_lag+vega,12.826422691345217,0.0001064866434595,0.0103192365734845,0.0067409873008728,0.0012201372301205,0.0049827098846435,-0.3401307998399752,12.2s,-53.16%,-4.37%,100,2
3F+vix_mom_lag+rho,12.498103141784668,0.0001037608914976,0.0101863090222936,0.0066686370410025,-0.0011995757231488,0.0049081742763519,-0.3058273037566468,12.6s,-49.24%,2.56%,92,2
3F+vix_mom+gamma,10.72518825531006,8.904191957982963e-05,0.0094362026037929,0.0058405362069606,0.0004431868728715,0.0042174905538558,-0.1205895408952519,12.6s,-28.07%,14.19%,42,2
3F+vix_mom+theta,10.658531188964844,8.848852387248627e-05,0.0094068338920428,0.0058199623599648,0.0013522451044991,0.0040993764996528,-0.1136250746691018,12.7s,-27.27%,0.62%,39,2
3F+vix_mom+vega,12.823373794555664,0.0001064613311185,0.0103180100367517,0.0067968131043016,0.0005962771829217,0.0050667822360992,-0.3398122448857581,12.7s,-53.12%,-20.31%,99,2
3F+vix_mom+rho,10.908440589904783,9.056330449647395e-05,0.0095164754240461,0.0059233969077467,0.0010987317655235,0.0042935311794281,-0.1397361185219727,12.4s,-30.26%,14.93%,46,2
3F+gamma+theta,11.456018447875977,9.510936769205715e-05,0.0097524031752208,0.0061751240864396,7.668211037525907e-05,0.0044127106666564,-0.1969481698036408,12.3s,-36.80%,-5.02%,68,2
3F+gamma+vega,15.11606788635254,0.0001254955781716,0.0112024808936075,0.0074718515388667,0.0008048683521337,0.0056328475475311,-0.5793575991099991,12.3s,-80.50%,-31.95%,119,2
3F+gamma+rho,14.205889701843262,0.0001179391595075,0.0108599797194812,0.0071066711097955,0.0001508515706518,0.0053178369998931,-0.4842603262572682,12.8s,-69.63%,6.02%,112,2
3F+theta+vega,11.664664268493652,9.684157266019918e-05,0.0098408115854435,0.0061594611033797,0.0012199195334687,0.0044809430837631,-0.2187479106352217,12.3s,-39.29%,17.89%,75,2
3F+theta+rho,11.393362045288086,9.458918601994244e-05,0.009725697199684,0.0061774980276823,-0.002427116734907,0.00450349599123,-0.1904017010854484,12.4s,-36.05%,2.33%,64,2
3F+vega+rho,12.212491989135742,0.0001013897102484,0.0100692457636333,0.0063632130622863,-0.0004943924141116,0.0047089010477066,-0.2759860680782926,12.2s,-45.83%,-7.19%,84,2
3F+vix_lag+vix_mom_lag+vix_mom,11.512690544128418,9.557986686809091e-05,0.009776495633308,0.0065886927768588,-0.000603056687396,0.0049281418323516,-0.2028693859920516,12.7s,-37.47%,5.73%,69,3
3F+vix_lag+vix_mom_lag+gamma,12.529788970947266,0.0001040239514071,0.0101992132739338,0.0066330516710877,0.0002923899446614,0.0048837065696716,-0.3091379038047737,12.4s,-49.62%,-8.83%,93,3
3F+vix_lag+vix_mom_lag+theta,12.605576515197754,0.0001046531495396,0.0102300121964554,0.0068148528225719,-0.0016017920570448,0.0050995349884033,-0.317056340982339,12.3s,-50.52%,-0.60%,95,3
3F+vix_lag+vix_mom_lag+vega,10.92796230316162,9.072537632034288e-05,0.0095249869459408,0.0060470220632851,0.0010177437216043,0.0044043660163879,-0.1417757869338662,12.5s,-30.49%,13.31%,48,3
3F+vix_lag+vix_mom_lag+rho,11.195319175720217,9.294500814206786e-05,0.009640799144369,0.0062704063020646,-0.0003160943451803,0.004659004509449,-0.169709778202252,12.5s,-33.68%,-2.45%,58,3
3F+vix_lag+vix_mom+gamma,11.917716979980469,9.894244946061444e-05,0.0099469819272287,0.00655177840963,0.000404803577112,0.0048441886901855,-0.2451873739842136,12.3s,-42.31%,-6.45%,79,3
3F+vix_lag+vix_mom+theta,11.800086975097656,9.796586973207076e-05,0.0098977709476462,0.0064341444522142,0.0005907533341087,0.0046752989292144,-0.2328971511900472,12.7s,-40.90%,0.99%,77,3
3F+vix_lag+vix_mom+vega,11.304593086242676,9.385221447927104e-05,0.0096877352605896,0.0063648484647274,0.0004744691541418,0.0046902298927307,-0.1811269392169845,12.7s,-34.99%,4.20%,61,3
3F+vix_lag+vix_mom+rho,11.819483757019045,9.812690435960715e-05,0.0099059025010145,0.0065134023316204,-0.0015851638745516,0.004791259765625,-0.2349237665212393,12.6s,-41.14%,-4.55%,78,3
3F+vix_lag+gamma+theta,11.429293632507324,9.488749476971816e-05,0.0097410212385415,0.0063412017188966,0.0010166487190872,0.0045894682407379,-0.1941559065937488,12.2s,-36.48%,3.30%,66,3
3F+vix_lag+gamma+vega,11.117212295532228,9.229655457847776e-05,0.0096071095850145,0.0060791745781898,-0.0001957254862645,0.0044851303100585,-0.1615490120760925,12.7s,-32.75%,2.73%,57,3
3F+vix_lag+gamma+rho,14.535451889038086,0.00012067522801,0.0109852277177146,0.0073282588273286,0.0004676311800722,0.005441278219223,-0.518693655654749,12.7s,-73.57%,-30.75%,113,3
3F+vix_lag+theta+vega,14.537521362304688,0.0001206924090485,0.0109860096963607,0.0073276413604617,-2.3023379981168542e-05,0.0054292678833007,-0.5189098784419404,12.7s,-73.59%,-0.01%,114,3
3F+vix_lag+theta+rho,13.637746810913086,0.000113222362711,0.0106405997345585,0.0071651907637715,-0.001757625490427,0.0053255707025527,-0.4248995983935744,12.7s,-62.85%,6.19%,108,3
3F+vix_lag+vega+rho,15.81311321258545,0.0001312825398924,0.0114578593067138,0.007825220003724,0.0004494510358199,0.0059181600809097,-0.6521863162861097,12.5s,-88.82%,-15.95%,121,3
3F+vix_mom_lag+vix_mom+gamma,11.974813461303713,9.941647193716706e-05,0.0099707809090946,0.0066197244450449,-0.0007362060132436,0.0049201101064682,-0.2511529307902744,12.5s,-42.99%,24.27%,80,3
3F+vix_mom_lag+vix_mom+theta,11.515524864196776,9.560339776503952e-05,0.0097776990015565,0.0064166625961661,-0.0004030760610476,0.004750058054924,-0.2031655215328502,12.7s,-37.51%,3.84%,70,3
3F+vix_mom_lag+vix_mom+vega,10.47103214263916,8.693188219806528e-05,0.0093237268405968,0.0060575976967811,0.0011568821500986,0.0044428259134292,-0.0940347919403703,12.6s,-25.03%,9.07%,36,3
3F+vix_mom_lag+vix_mom+rho,11.38937759399414,9.455610658271114e-05,0.00972399643062,0.0064386799931526,0.0007343484903685,0.0047283321619033,-0.1899853974887266,12.6s,-36.00%,-8.77%,63,3
3F+vix_mom_lag+gamma+theta,11.214859008789062,9.310723039899264e-05,0.0096492087965279,0.0062330332584679,0.0011091667693108,0.0045707523822784,-0.1717513398090564,12.8s,-33.92%,1.53%,59,3
3F+vix_mom_lag+gamma+vega,11.659127235412598,9.679560348533924e-05,0.0098384756687882,0.0062775872647762,-0.001467909081839,0.0046255588531494,-0.2181693901271877,12.5s,-39.22%,-3.96%,74,3
3F+vix_mom_lag+gamma+rho,13.024009704589844,0.0001081270367584,0.0103984151080071,0.0067464006133377,4.4767995859729126e-05,0.0049163401126861,-0.360775093924887,12.4s,-55.52%,-11.71%,102,3
3F+vix_mom_lag+theta+vega,13.475894927978516,0.0001118786471509,0.0105772703071702,0.0070252469740808,0.0026387884281575,0.0052378177642822,-0.4079889835984553,12.5s,-60.92%,-3.47%,106,3
3F+vix_mom_lag+theta+rho,14.178428649902344,0.0001177111742526,0.0108494780636038,0.0073313284665346,0.000632157025393,0.0054752379655838,-0.4813911395488914,12.7s,-69.30%,-5.21%,111,3
3F+vix_mom_lag+vega+rho,14.786173820495604,0.0001227567543689,0.011079564719291,0.0074706627056002,0.0017506185686215,0.0056476444005966,-0.5448895943530978,12.4s,-76.56%,-4.29%,116,3
3F+vix_mom+gamma+theta,10.2515869140625,8.511001912862906e-05,0.0092255091528126,0.0057909707538783,0.0015365512808784,0.0041301101446151,-0.0711067069418973,12.6s,-22.41%,30.67%,31,3
3F+vix_mom+gamma+vega,10.35676383972168,8.598321176014877e-05,0.0092727132900866,0.0056588393636047,0.0013873330317437,0.0040702223777771,-0.0820958066230932,12.9s,-23.67%,-1.03%,33,3
3F+vix_mom+gamma+rho,13.520709991455078,0.0001122507076857,0.0105948434479108,0.0069695352576673,0.0015416581882163,0.0051646828651428,-0.4126713528222803,12.7s,-61.45%,-30.55%,107,3
3F+vix_mom+theta+vega,11.094629287719728,9.210906748569732e-05,0.0095973468982681,0.0062457011081278,-0.0005935141816735,0.0045850425958633,-0.1591894933660955,12.8s,-32.48%,17.94%,56,3
3F+vix_mom+theta+rho,10.888410568237305,9.039701262951162e-05,0.0095077343583795,0.0061368346214294,-0.000150314241182,0.0044570267200469,-0.1376433410107369,12.5s,-30.02%,1.86%,44,3
3F+vix_mom+vega+rho,11.991524696350098,9.955521080231876e-05,0.0099777357552863,0.0064389579929411,0.000902458676137,0.0047532171010971,-0.2528989547073046,12.6s,-43.19%,-10.13%,81,3
3F+gamma+theta+vega,12.67287826538086,0.0001052118974967,0.0102572850938612,0.0067239729687571,-0.0006819076370447,0.0049286782741546,-0.3240881650905818,12.4s,-51.33%,-5.68%,96,3
3F+gamma+theta+rho,16.73185920715332,0.0001389100896393,0.0117860124571197,0.0080637894570827,0.0009137522429227,0.0059925019741058,-0.7481787714061805,12.3s,-99.79%,-32.03%,123,3
3F+gamma+vega+rho,15.276905059814451,0.0001268308694806,0.0112619212162337,0.0075283204205334,-5.0975268095498905e-05,0.0057229697704315,-0.5961621949901081,12.2s,-82.42%,8.70%,120,3
3F+theta+vega+rho,12.383882522583008,0.0001028126169362,0.0101396556616192,0.0065681743435561,-0.0010848419042304,0.0048603937029838,-0.2938933005312405,12.3s,-47.88%,18.94%,88,3
3F+vix_lag+vix_mom_lag+vix_mom+gamma,12.417787551879885,0.0001030941009363,0.0101535265270896,0.00678365631029,-0.0012851358624175,0.005042165517807,-0.2974357671350331,12.4s,-48.28%,-0.27%,91,4
3F+vix_lag+vix_mom_lag+vix_mom+theta,10.393705368041992,8.628990517340655e-05,0.0092892359843749,0.0061364388093352,-0.0003653904423117,0.0045362710952758,-0.0859555328372165,12.6s,-24.11%,16.30%,35,4
3F+vix_lag+vix_mom_lag+vix_mom+vega,10.70930004119873,8.891001354242581e-05,0.0094292106532002,0.0061778677627444,-0.0003152593562845,0.0045821145176887,-0.1189295078839112,12.5s,-27.88%,-3.04%,40,4
3F+vix_lag+vix_mom_lag+vix_mom+rho,11.393342971801758,9.458902766935732e-05,0.009725689058846,0.006503292825073,0.0020062003750354,0.0049214884638786,-0.1903997082487001,12.5s,-36.05%,-6.39%,64,4
3F+vix_lag+vix_mom_lag+gamma+theta,10.470575332641602,8.692808970155168e-05,0.0093235234595914,0.0062038414180278,-0.000863192428369,0.0045885220170021,-0.0939870635002484,12.5s,-25.03%,8.10%,36,4
3F+vix_lag+vix_mom_lag+gamma+vega,11.623427391052246,9.649921869517267e-05,0.0098234015847451,0.0063550905324518,0.0012595719890668,0.0047356188297271,-0.2144393975853793,12.3s,-38.79%,-11.01%,71,4
3F+vix_lag+vix_mom_lag+gamma+rho,12.098267555236816,0.0001004414040168,0.010022045899759,0.0065982318483293,-0.001050685532391,0.0049637481570243,-0.2640516662855365,12.4s,-44.46%,-4.09%,83,4
3F+vix_lag+vix_mom_lag+theta+vega,10.850661277770996,9.008361306897408e-05,0.009491238753133,0.0061417859978973,0.0010908939875662,0.0045462548732757,-0.1336992181603227,12.8s,-29.57%,10.31%,43,4
3F+vix_lag+vix_mom_lag+theta+rho,11.023160934448242,9.151572784325776e-05,0.0095663853070664,0.0063319313339889,-0.0021387080196291,0.004759669303894,-0.1517223340701847,12.8s,-31.63%,-1.59%,53,4
3F+vix_lag+vix_mom_lag+vega+rho,10.959769248962402,9.098944175608671e-05,0.0095388385957666,0.0061656809411942,0.0002724948863033,0.0045459419488906,-0.145099041495345,12.6s,-30.87%,0.58%,50,4
3F+vix_lag+vix_mom+gamma+theta,9.374235153198242,7.782612973904943e-05,0.008821911909504,0.0057478249073028,0.0012888824567198,0.0042499601840972,0.0205607942251576,12.4s,-11.94%,14.47%,8,4
3F+vix_lag+vix_mom+gamma+vega,9.84936237335205,8.177069823705948e-05,0.0090427152026954,0.0057097319513559,0.0002534204104449,0.004193753004074,-0.0290814666680616,12.5s,-17.61%,-5.07%,19,4
3F+vix_lag+vix_mom+gamma+rho,9.768975257873535,8.110331386101846e-05,0.009005737829907,0.0056705176830291,-0.0004355263663455,0.0041429847478866,-0.0206824569086419,12.5s,-16.65%,0.82%,16,4
3F+vix_lag+vix_mom+theta+vega,9.452000617980955,7.847174882716587e-05,0.0088584281239487,0.0055851400829851,0.0014687640359625,0.0040704309940338,0.0124356998767928,12.3s,-12.87%,3.24%,10,4
3F+vix_lag+vix_mom+theta+rho,8.744244575500488,7.259586533528562e-05,0.008520320729602,0.0052952701225876,0.0003029350482393,0.0037904679775238,0.0863834945289158,12.7s,-4.41%,7.49%,2,4
3F+vix_lag+vix_mom+vega+rho,8.44443130493164,7.010677624039353e-05,0.0083729789346679,0.0051322020590305,0.0002318739279871,0.0036950707435607,0.1177085964500602,12.3s,-0.83%,3.43%,1,4
3F+vix_lag+gamma+theta+vega,9.652308464050291,8.01347308370233e-05,0.0089518004243293,0.0056484192609786,-0.0008492782944813,0.0040631741285324,-0.008492872370265,12.2s,-15.26%,-14.30%,13,4
