Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental,rank,added_features
Analytic,8.374537467956543,6.952650843875553e-05,0.008338255719199,0.0035231229849159,0.0007483561057597,0.0018850003834813,0.1250112470723983,,,,,
3F,10.975561141967772,9.11205481230357e-05,0.0095457083615117,0.0054695508442819,-0.0001088777207769,0.0037354975938796,-0.1467490106811066,13.1s,-31.06%,,151,0
3F+iv_lag,16.84613037109375,0.0001398587838298,0.0118261905882616,0.0083255851641297,-0.0003269469016231,0.0061687231063842,-0.7601180556489697,12.5s,-101.16%,-53.49%,249,1
3F+vix_lag,20.19317626953125,0.0001676463978674,0.0129478337133067,0.0088213244453072,-0.0004835276049561,0.0064087063074111,-1.109824236780891,12.3s,-141.13%,-19.87%,255,1
3F+vix_mom_lag,20.058387756347656,0.0001665273659525,0.0129045482661163,0.0087994690984487,-0.0008968287729658,0.00639558583498,-1.0957412580479469,12.6s,-139.52%,0.67%,254,1
3F+vix_mom,20.85103225708008,0.0001731080045585,0.0131570515146264,0.0088008427992463,0.0003447587951086,0.0062750726938247,-1.1785583719320902,12.3s,-148.98%,-3.95%,256,1
3F+gamma,14.957223892211914,0.0001241768344987,0.0111434660002521,0.0071320221759378,0.0001279300195164,0.0051076337695121,-0.5627612546700884,12.4s,-78.60%,28.27%,235,1
3F+theta,19.991039276123047,0.0001659682300364,0.0128828657540343,0.00856046192348,0.0006854951498098,0.0061405971646308,-1.0887045514896705,12.4s,-138.71%,-33.65%,253,1
3F+vega,19.889354705810547,0.000165124031397,0.0128500595872971,0.0086926231160759,-0.0002774134627543,0.0064318031072616,-1.0780803402170895,12.3s,-137.50%,0.51%,252,1
3F+rho,16.204374313354492,0.0001345308408676,0.0115987430727511,0.0075837043114006,0.0005948247853666,0.0054896026849746,-0.6930660739970178,12.3s,-93.50%,18.53%,246,1
3F+iv_lag+vix_lag,9.469683647155762,7.861855565462936e-05,0.0088667105317941,0.0061430460773408,0.0001926111872307,0.0044852346181869,0.0105881409274363,12.2s,-13.08%,41.56%,73,2
3F+iv_lag+vix_mom_lag,13.584148406982422,0.0001127773817318,0.0106196695679218,0.0076075796969234,-0.0013172716135159,0.005711480975151,-0.4192995278471534,12.2s,-62.21%,-43.45%,222,2
3F+iv_lag+vix_mom,11.170804023742676,9.274148013501486e-05,0.0096302378026201,0.0067384373396635,-9.890361252473669e-05,0.0050076395273208,-0.1671483851296515,12.6s,-33.39%,17.77%,161,2
3F+iv_lag+gamma,9.90951156616211,8.227006472476035e-05,0.009070284710237,0.0062588658183813,-0.0006072483956813,0.0046015083789825,-0.0353659769956888,12.2s,-18.33%,11.29%,97,2
3F+iv_lag+theta,10.10137939453125,8.386297660070278e-05,0.0091576730996854,0.0062908586114645,-0.0018006587633863,0.0046118199825286,-0.0554127189816204,12.1s,-20.62%,-1.94%,107,2
3F+iv_lag+vega,10.6497802734375,8.841587262403384e-05,0.0094029714784228,0.0065113920718431,0.0003946625511161,0.0048498958349227,-0.1127107611689781,12.2s,-27.17%,-5.43%,134,2
3F+iv_lag+rho,10.569133758544922,8.774633468003521e-05,0.0093673013552482,0.0064817094244062,0.0003118164895568,0.0048340111970901,-0.1042846488297812,12.3s,-26.21%,0.76%,132,2
3F+vix_lag+vix_mom_lag,11.074527740478516,9.194218180404076e-05,0.0095886485911227,0.0062755485996603,-0.0007611057953909,0.0046703219413757,-0.1570892427170536,12.3s,-32.24%,-4.78%,157,2
3F+vix_lag+vix_mom,13.895341873168944,0.0001153609507033,0.0107406215231404,0.0072750742547214,-0.0006483883480541,0.0053837448358535,-0.4518136558141759,12.4s,-65.92%,-25.47%,225,2
3F+vix_lag+gamma,11.062639236450195,9.184348188433632e-05,0.0095835005026522,0.0059629306197166,0.0001790479145711,0.0043298602104187,-0.155847107571833,12.3s,-32.10%,20.39%,156,2
3F+vix_lag+theta,12.568264961242676,0.000104343384125,0.0102148609449673,0.0066941529512405,0.0010862572817131,0.0048704296350479,-0.3131579537352984,12.6s,-50.08%,-13.61%,206,2
3F+vix_lag+vega,13.116776466369627,0.0001088971985817,0.010435382052505,0.0069046998396515,1.3206830772105604e-05,0.00513856112957,-0.3704675543757962,12.2s,-56.63%,-4.36%,216,2
3F+vix_lag+rho,12.052895545959473,0.0001000647196449,0.0100032354588401,0.006456768605858,-0.0004520479706116,0.004734918475151,-0.259311106228661,12.2s,-43.92%,8.11%,193,2
3F+vix_mom_lag+vix_mom,11.679146766662598,9.696180825947975e-05,0.009846918719045,0.0065841283649206,0.0022336693946272,0.0048817545175552,-0.220261071578212,12.2s,-39.46%,3.10%,183,2
3F+vix_mom_lag+gamma,10.984283447265623,9.119296184561046e-05,0.0095495006071317,0.0059250742197036,0.0003184631059411,0.0042745023965835,-0.147660334926108,12.1s,-31.16%,5.95%,152,2
3F+vix_mom_lag+theta,12.288881301879885,0.0001020239043418,0.0101006883103008,0.0066060218960046,0.0003151182900182,0.0047823041677474,-0.283967379255267,12.2s,-46.74%,-11.88%,197,2
3F+vix_mom_lag+vega,12.826422691345217,0.0001064866434595,0.0103192365734845,0.0067409873008728,0.0012201372301205,0.0049827098846435,-0.3401307998399752,12.2s,-53.16%,-4.37%,212,2
3F+vix_mom_lag+rho,12.498103141784668,0.0001037608914976,0.0101863090222936,0.0066686370410025,-0.0011995757231488,0.0049081742763519,-0.3058273037566468,12.2s,-49.24%,2.56%,204,2
3F+vix_mom+gamma,10.72518825531006,8.904191957982963e-05,0.0094362026037929,0.0058405362069606,0.0004431868728715,0.0042174905538558,-0.1205895408952519,12.5s,-28.07%,14.19%,138,2
3F+vix_mom+theta,10.658531188964844,8.848852387248627e-05,0.0094068338920428,0.0058199623599648,0.0013522451044991,0.0040993764996528,-0.1136250746691018,12.2s,-27.27%,0.62%,135,2
3F+vix_mom+vega,12.823373794555664,0.0001064613311185,0.0103180100367517,0.0067968131043016,0.0005962771829217,0.0050667822360992,-0.3398122448857581,12.4s,-53.12%,-20.31%,211,2
3F+vix_mom+rho,10.908440589904783,9.056330449647395e-05,0.0095164754240461,0.0059233969077467,0.0010987317655235,0.0042935311794281,-0.1397361185219727,12.0s,-30.26%,14.93%,145,2
3F+gamma+theta,11.456018447875977,9.510936769205715e-05,0.0097524031752208,0.0061751240864396,7.668211037525907e-05,0.0044127106666564,-0.1969481698036408,12.2s,-36.80%,-5.02%,175,2
3F+gamma+vega,15.11606788635254,0.0001254955781716,0.0112024808936075,0.0074718515388667,0.0008048683521337,0.0056328475475311,-0.5793575991099991,12.2s,-80.50%,-31.95%,238,2
3F+gamma+rho,14.205889701843262,0.0001179391595075,0.0108599797194812,0.0071066711097955,0.0001508515706518,0.0053178369998931,-0.4842603262572682,12.3s,-69.63%,6.02%,229,2
3F+theta+vega,11.664664268493652,9.684157266019918e-05,0.0098408115854435,0.0061594611033797,0.0012199195334687,0.0044809430837631,-0.2187479106352217,12.3s,-39.29%,17.89%,182,2
3F+theta+rho,11.393362045288086,9.458918601994244e-05,0.009725697199684,0.0061774980276823,-0.002427116734907,0.00450349599123,-0.1904017010854484,12.2s,-36.05%,2.33%,170,2
3F+vega+rho,12.212491989135742,0.0001013897102484,0.0100692457636333,0.0063632130622863,-0.0004943924141116,0.0047089010477066,-0.2759860680782926,12.1s,-45.83%,-7.19%,195,2
3F+iv_lag+vix_lag+vix_mom_lag,10.84857177734375,9.006626576237432e-05,0.0094903248502026,0.0067616258747875,0.0006981330225244,0.0050531923770904,-0.1334809028945456,12.0s,-29.54%,11.17%,140,3
3F+iv_lag+vix_lag+vix_mom,9.77680492401123,8.116831677620967e-05,0.0090093460792784,0.0063567240722477,0.0003857021802105,0.0047029852867126,-0.0215005163938224,12.2s,-16.74%,9.88%,88,3
3F+iv_lag+vix_lag+gamma,10.430983543395996,8.659939347449167e-05,0.0093058795110667,0.0065751322545111,0.0006526647484861,0.0049366205930709,-0.0898504326199476,12.3s,-24.56%,-6.69%,127,3
3F+iv_lag+vix_lag+theta,10.058631896972656,8.350808126933489e-05,0.0091382756179344,0.0063840113580226,0.001037171925418,0.0046812891960144,-0.0509463732613122,12.3s,-20.11%,3.57%,104,3
3F+iv_lag+vix_lag+vega,9.959996223449709,8.268919497098161e-05,0.0090933599384925,0.0063642556779086,0.0009228329872712,0.0047021359205245,-0.0406407169429485,12.3s,-18.93%,0.98%,100,3
3F+iv_lag+vix_lag+rho,10.433340072631836,8.661895768928308e-05,0.0093069306266503,0.0065346057526767,0.0014661285094916,0.0048390924930572,-0.0900966476002009,12.2s,-24.58%,-4.75%,128,3
3F+iv_lag+vix_mom_lag+vix_mom,11.68088150024414,9.697621024519632e-05,0.0098476499859203,0.0071038650348782,0.0001737017300911,0.0054079890251159,-0.2204423200804708,12.1s,-39.48%,-11.96%,184,3
3F+iv_lag+vix_mom_lag+gamma,10.48904514312744,8.708142849065132e-05,0.0093317430574706,0.006696421187371,0.000865617825184,0.0050600320100784,-0.0959168269654726,12.1s,-25.25%,10.20%,131,3
3F+iv_lag+vix_mom_lag+theta,9.575788497924805,7.949945204211509e-05,0.0089162465220582,0.0062550390139222,0.0006003070739097,0.0046518445014953,-0.0004979102615647,12.1s,-14.34%,8.71%,75,3
3F+iv_lag+vix_mom_lag+vega,10.397361755371094,8.63202609805738e-05,0.0092908697644824,0.0066713313572108,0.0015055001713335,0.0050835162401199,-0.0863375596418674,12.3s,-24.15%,-8.58%,125,3
3F+iv_lag+vix_mom_lag+rho,10.126842498779297,8.407437463183615e-05,0.0091692079609874,0.0064781415276229,0.0014388873241841,0.0048479661345481,-0.058073156040612,12.3s,-20.92%,2.60%,109,3
3F+iv_lag+vix_mom+gamma,10.208853721618652,8.475524256020002e-05,0.0092062610521427,0.0065502361394464,0.0011140996357426,0.0050004124641418,-0.0666418558491501,12.1s,-21.90%,-0.81%,113,3
3F+iv_lag+vix_mom+theta,9.859535217285156,8.18551545216325e-05,0.0090473838495795,0.0062873139977455,-0.0008074191864579,0.0045845955610275,-0.0301443461477717,12.1s,-17.73%,3.42%,93,3
3F+iv_lag+vix_mom+vega,10.078516006469728,8.367316175432106e-05,0.0091473035236795,0.0064346543513238,0.0001450027921237,0.0048356056213378,-0.0530239055714234,12.2s,-20.35%,-2.22%,105,3
3F+iv_lag+vix_mom+rho,9.924163818359377,8.239170964424849e-05,0.0090769879169385,0.006345868576318,0.0008864958654157,0.0047832280397415,-0.0368968741857393,12.4s,-18.50%,1.53%,98,3
3F+iv_lag+gamma+theta,8.958584785461426,7.437534587061481e-05,0.0086241142078833,0.0060904962010681,0.0007571426685899,0.0045022815465927,0.0639887922861275,12.4s,-6.97%,9.73%,56,3
3F+iv_lag+gamma+vega,13.179248809814451,0.0001094158521707,0.0104602032566634,0.0076175155118107,0.0005527522298507,0.0058871209621429,-0.3769947922193675,12.2s,-57.37%,-47.11%,217,3
3F+iv_lag+gamma+rho,8.44309139251709,7.009565211178894e-05,0.008372314620927,0.0058415103703737,0.000364630453987,0.0043708086013793,0.1178485932316288,12.3s,-0.82%,35.94%,36,3
3F+iv_lag+theta+vega,11.295238494873049,9.37745514347996e-05,0.0096837261131653,0.0069103403948247,-0.0017867289716377,0.0052202343940734,-0.1801495524337768,11.9s,-34.88%,-33.78%,166,3
3F+iv_lag+theta+rho,11.163060188293455,9.26771897974567e-05,0.0096268992826068,0.0067913285456597,-0.0005560190766118,0.0051007270812988,-0.1663392934098384,11.9s,-33.30%,1.17%,160,3
3F+iv_lag+vega+rho,11.05064868927002,9.17439347890015e-05,0.0095783054236645,0.0067445239983499,0.0006608719122596,0.0050967931747436,-0.1545943107500091,12.3s,-31.96%,1.01%,154,3
3F+vix_lag+vix_mom_lag+vix_mom,11.512690544128418,9.557986686809091e-05,0.009776495633308,0.0065886927768588,-0.000603056687396,0.0049281418323516,-0.2028693859920516,12.4s,-37.47%,-4.18%,176,3
