model,mean,std,skew,kurtosis,pct_within_1std,q05,q25,q50,q75,q95
Analytic,0.0007483561057597399,0.008304606191813946,11.37079906463623,325.45111083984375,92.02082174494193,-0.006233822554349899,-0.0014259321615099907,0.0003107090014964342,0.0023342720232903957,0.008061351254582405
3F,-0.00010887772077694535,0.00954508688300848,6.7554755210876465,170.95779418945312,85.56425434409013,-0.011768907308578491,-0.003985591232776642,-0.000205114483833313,0.003494150936603546,0.011020608246326447
3F+iv_lag,-0.00032694690162315965,0.011821670457720757,0.6114987134933472,12.46805477142334,77.12430780981478,-0.01822521537542343,-0.00653432309627533,-0.00027219951152801514,0.005812685936689377,0.017025955021381378
3F+vix_lag,-0.00048352760495617986,0.01293880119919777,1.797648549079895,35.51860046386719,78.2492465815975,-0.020134665071964264,-0.006803691387176514,-0.00022152066230773926,0.006011612713336945,0.017575524747371674
3F+vix_mom_lag,-0.0008968287729658186,0.012873347848653793,1.7898297309875488,31.445941925048828,78.40366622111897,-0.019892938435077667,-0.007340669631958008,-0.0009577274322509766,0.005389988422393799,0.01762671023607254
3F+vix_mom,0.00034475879510864615,0.013152534142136574,2.3708999156951904,44.395118713378906,79.14919759902367,-0.018662288784980774,-0.006125546991825104,0.00013461709022521973,0.006414927542209625,0.019384704530239105
3F+gamma,0.00012793001951649785,0.0111427316442132,4.153890132904053,88.66741180419922,81.16910610953832,-0.015107110142707825,-0.00514969602227211,-4.693865776062012e-05,0.005068764090538025,0.015212934464216232
3F+theta,0.0006854951498098671,0.01286461390554905,2.243069887161255,42.03919219970703,79.80921702601059,-0.017275314778089523,-0.005647294223308563,0.00041581690311431885,0.006617322564125061,0.019128285348415375
3F+vega,-0.000277413462754339,0.012847064062952995,2.6028592586517334,50.40901565551758,78.8470000249064,-0.018983162939548492,-0.006761007010936737,-0.00029280781745910645,0.006100490689277649,0.01765117421746254
3F+rho,0.0005948247853666544,0.01158348098397255,3.392523765563965,70.06233978271484,80.36629002664985,-0.015724286437034607,-0.0049540698528289795,0.0004961490631103516,0.006002306938171387,0.01624327152967453
3F+iv_lag+vix_lag,0.00019261118723079562,0.00886461790651083,0.559159517288208,13.126933097839355,78.15543249952263,-0.013224158436059952,-0.004220955073833466,0.00030681490898132324,0.0047141313552856445,0.012981519103050232
3F+iv_lag+vix_mom_lag,-0.0013172716135159135,0.010537654161453247,0.6098412871360779,9.832128524780273,75.8100804476509,-0.017357073724269867,-0.006982661783695221,-0.0013455450534820557,0.004228852689266205,0.014609970152378082
3F+iv_lag+vix_mom,-9.890361252473667e-05,0.009629730135202408,0.9030656814575195,15.923848152160645,77.52281010535404,-0.014620833098888397,-0.005150415003299713,-5.456805229187012e-05,0.004866346716880798,0.013898573815822601
3F+iv_lag+gamma,-0.0006072483956813812,0.009049934335052967,0.7971177101135254,18.582176208496094,78.43438410640012,-0.013998784124851227,-0.0051536113023757935,-0.000516057014465332,0.004050802439451218,0.01208922266960144
3F+iv_lag+theta,-0.0018006587633863091,0.008978897705674171,0.8070829510688782,19.752140045166016,78.27747382753152,-0.014954082667827606,-0.006138622760772705,-0.0017639845609664917,0.0026209354400634766,0.010824471712112427
3F+iv_lag+vega,0.0003946625511161983,0.009394685737788677,1.3776237964630127,24.91330337524414,78.02176818789384,-0.01325254887342453,-0.004586771130561829,0.000263214111328125,0.005119200795888901,0.014044910669326782
3F+iv_lag+rho,0.0003118164895568043,0.009362110868096352,1.49709153175354,28.107574462890625,78.018447335431,-0.013349384069442749,-0.004642300307750702,0.00024703145027160645,0.005023561418056488,0.013766326010227203
