combo_name,n_features,features,SSE,RMSE,Gain_vs_HW_%,training_time_s,epochs_run
3F+iv_lag+d_iv_lag,5,"delta, T, spy_ret, iv_lag, d_iv_lag",8.006132125854492,0.008218068483028973,2.94127644303529,4.098099629999979,100
3F+d_iv_lag+gamma,5,"delta, T, spy_ret, d_iv_lag, gamma",8.52942180633545,0.00848238881196078,-3.4025894387175404,4.121056151000005,100
3F+d_iv_lag+vix_mom+rho,6,"delta, T, spy_ret, d_iv_lag, vix_mom, rho",9.18305492401123,0.008801404285598466,-11.326615057942458,4.046039876000009,100
3F+iv_lag+rho,5,"delta, T, spy_ret, iv_lag, rho",9.723148345947266,0.009056530111491877,-17.874193502887238,4.093312741999966,100
3F+d_iv_lag+theta,5,"delta, T, spy_ret, d_iv_lag, theta",9.845523834228516,0.009113344621235515,-19.357757413715238,4.0833912969999915,100
3F+d_iv_lag+vega,5,"delta, T, spy_ret, d_iv_lag, vega",9.861686706542969,0.00912082200003071,-19.55370068959361,4.126819428000033,100
3F+iv_lag+d_iv_lag+theta,6,"delta, T, spy_ret, iv_lag, d_iv_lag, theta",9.89287281036377,0.009135232231675446,-19.931771321201985,4.0026656989999765,100
3F+d_iv_lag+vix_mom,5,"delta, T, spy_ret, d_iv_lag, vix_mom",9.901190757751465,0.009139071885579294,-20.032610196125944,4.133787861999963,100
3F+vix_lag+iv_lag+d_iv_lag,6,"delta, T, spy_ret, vix_lag, iv_lag, d_iv_lag",10.234957695007324,0.009291833208146997,-24.078882776484313,4.025324695999984,100
3F+iv_lag+vix_mom+gamma,6,"delta, T, spy_ret, iv_lag, vix_mom, gamma",10.317655563354492,0.009329296423661903,-25.081432998799237,4.062655543999995,100
3F+vix_lag+vix_mom_lag,5,"delta, T, spy_ret, vix_lag, vix_mom_lag",10.483255386352539,0.009403866658940073,-27.08900759147237,4.1239960849999875,100
3F+d_iv_lag+vix_mom_lag,5,"delta, T, spy_ret, d_iv_lag, vix_mom_lag",10.570091247558594,0.009442733822732403,-28.14172289958128,4.083876052999983,100
3F+iv_lag+d_iv_lag+gamma,6,"delta, T, spy_ret, iv_lag, d_iv_lag, gamma",10.605101585388184,0.009458359042866784,-28.566154903403017,4.004547851000098,100
3F+iv_lag+gamma+rho,6,"delta, T, spy_ret, iv_lag, gamma, rho",10.620434761047363,0.009465194163509395,-28.752039726955793,4.162203092000027,100
3F+iv_lag+vix_mom,5,"delta, T, spy_ret, iv_lag, vix_mom",10.683859825134277,0.0094934150854962,-29.52094481933054,4.053659649999986,100
3F+vix_lag+iv_lag,5,"delta, T, spy_ret, vix_lag, iv_lag",10.72851848602295,0.009513235688380046,-30.06234390611555,4.098450015000026,100
3F+vix_mom+vega+rho,6,"delta, T, spy_ret, vix_mom, vega, rho",10.740248680114746,0.009518434990368066,-30.20454961140846,4.036988119000057,100
3F+vix_lag+iv_lag+theta,6,"delta, T, spy_ret, vix_lag, iv_lag, theta",10.74450969696045,0.009520322944322562,-30.25620612289208,4.069734310999934,100
3F,3,"delta, T, spy_ret",10.847254753112793,0.009565733987427825,-31.5017893639844,4.980132792000006,100
3F+vix_lag+iv_lag+vix_mom,6,"delta, T, spy_ret, vix_lag, iv_lag, vix_mom",10.869001388549805,0.009575317904172197,-31.765424867870085,4.084210877000032,100
3F+vix_lag+iv_lag+vega,6,"delta, T, spy_ret, vix_lag, iv_lag, vega",10.964866638183594,0.00961745264193083,-32.92760388473614,4.099204939999936,100
3F+iv_lag+theta,5,"delta, T, spy_ret, iv_lag, theta",10.985355377197266,0.009626433941879182,-33.17598984998107,4.012952076000033,100
3F+iv_lag+vix_mom+vega,6,"delta, T, spy_ret, iv_lag, vix_mom, vega",11.018811225891113,0.009641081428036906,-33.58157670749164,4.12273837500004,100
3F+d_iv_lag+theta+vega,6,"delta, T, spy_ret, d_iv_lag, theta, vega",11.109692573547363,0.00968075881203256,-34.68333564176742,4.101088570999991,100
3F+d_iv_lag+vix_mom_lag+gamma,6,"delta, T, spy_ret, d_iv_lag, vix_mom_lag, gamma",11.175363540649414,0.009709328822471676,-35.479467924057985,4.095846717999962,100
3F+iv_lag+gamma,5,"delta, T, spy_ret, iv_lag, gamma",11.205465316772461,0.009722396473200603,-35.84439319900636,3.995962791000011,100
3F+vix_lag+d_iv_lag,5,"delta, T, spy_ret, vix_lag, d_iv_lag",11.350958824157715,0.00978531146258191,-37.60821796365592,4.058218300000021,100
3F+d_iv_lag+rho,5,"delta, T, spy_ret, d_iv_lag, rho",11.447236061096191,0.009826722655082656,-38.77539152236642,4.0661255690000075,100
3F+iv_lag+vix_mom_lag,5,"delta, T, spy_ret, iv_lag, vix_mom_lag",11.45643424987793,0.009830669891757788,-38.88690160590706,3.9713520349999953,100
3F+iv_lag+d_iv_lag+vix_mom_lag,6,"delta, T, spy_ret, iv_lag, d_iv_lag, vix_mom_lag",11.559112548828125,0.009874625316268123,-40.13167554623755,4.067145521000043,100
3F+iv_lag+vix_mom+theta,6,"delta, T, spy_ret, iv_lag, vix_mom, theta",11.567754745483398,0.00987831601953829,-40.23644531057611,4.075931364000098,100
3F+vix_lag+vega+rho,6,"delta, T, spy_ret, vix_lag, vega, rho",11.617265701293945,0.009899433456094677,-40.83666900130667,4.1116654130000825,100
3F+d_iv_lag+vix_mom_lag+vix_mom,6,"delta, T, spy_ret, d_iv_lag, vix_mom_lag, vix_mom",11.624879837036133,0.009902677045657844,-40.92897553391306,4.076590710000005,100
3F+iv_lag+vix_mom_lag+vix_mom,6,"delta, T, spy_ret, iv_lag, vix_mom_lag, vix_mom",11.665862083435059,0.009920117092550317,-41.42580527160018,4.0143804839999575,100
3F+iv_lag+theta+rho,6,"delta, T, spy_ret, iv_lag, theta, rho",11.769241333007812,0.00996397464346344,-42.679076869929865,4.201007511000057,100
3F+vix_lag+gamma,5,"delta, T, spy_ret, vix_lag, gamma",11.78565788269043,0.009970921441425497,-42.8780954887032,4.107114440999965,100
3F+vix_mom_lag+vix_mom,5,"delta, T, spy_ret, vix_mom_lag, vix_mom",11.823419570922852,0.009986882269310708,-43.33588224535178,4.071438314000034,100
3F+iv_lag+vix_mom_lag+gamma,6,"delta, T, spy_ret, iv_lag, vix_mom_lag, gamma",11.860715866088867,0.01000262138912879,-43.78802701954647,4.08482372900005,100
3F+d_iv_lag+vega+rho,6,"delta, T, spy_ret, d_iv_lag, vega, rho",11.865226745605469,0.010004523311878712,-43.842712628167234,4.120500843000059,100
3F+gamma+vega,5,"delta, T, spy_ret, gamma, vega",11.869549751281738,0.010006345682124686,-43.89512063321541,4.011772698999948,100
3F+vix_mom_lag+vega,5,"delta, T, spy_ret, vix_mom_lag, vega",11.874969482421875,0.010008629910051798,-43.96082429363653,3.9454848139999967,100
3F+iv_lag+theta+vega,6,"delta, T, spy_ret, iv_lag, theta, vega",12.040236473083496,0.010078035592785535,-45.964363943939965,4.137659696000014,100
3F+vix_lag+theta,5,"delta, T, spy_ret, vix_lag, theta",12.155970573425293,0.010126356192711263,-47.36741399040538,3.980986389999998,100
3F+vix_lag+vix_mom,5,"delta, T, spy_ret, vix_lag, vix_mom",12.223504066467285,0.010154446134568996,-48.186125763951026,4.116198281000038,100
3F+vix_lag+vix_mom+theta,6,"delta, T, spy_ret, vix_lag, vix_mom, theta",12.260456085205078,0.010169783149585233,-48.63409685850255,4.03919608800004,100
3F+vix_lag+iv_lag+vix_mom_lag,6,"delta, T, spy_ret, vix_lag, iv_lag, vix_mom_lag",12.334694862365723,0.010200526411131982,-49.53409711285421,4.042828523000026,100
