Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental
Analytic,8.248750686645508,6.958328640301579e-05,0.008341659691153542,0.0035107294097542763,0.0007421153713949025,0.0018759004306048155,0.12553020047376062,,,
3F,10.847254753112793,9.150326671823183e-05,0.009565733987427825,0.005637085530906916,4.1257280827267095e-05,0.0039371103048324585,-0.14994343382465192,5.0s,-31.50%,
3F+vix_lag,15.57436466217041,0.0001313793467642702,0.011462083002852064,0.007613238412886858,-0.00024888160987757146,0.005542337894439697,-0.6510756672432811,4.1s,-88.81%,-43.58%
3F+iv_lag,16.2260684967041,0.0001368768695154085,0.011699438854723269,0.008384083397686481,-0.0001414865255355835,0.006334930658340454,-0.7201643502674635,4.1s,-96.71%,-4.18%
3F+d_iv_lag,15.994221687316895,0.0001349210990536665,0.011615554186248132,0.00803261436522007,-0.0005721889319829643,0.005945757031440735,-0.695585715195626,4.0s,-93.90%,1.43%
3F+vix_mom_lag,17.339488983154297,0.00014626925625841914,0.012094182744543724,0.008200759999454021,-0.0011136392131447792,0.006066083908081055,-0.8382007204478383,4.0s,-110.21%,-8.41%
3F+vix_mom,16.05010414123535,0.0001353925019295234,0.011635828373155192,0.007707461714744568,0.0006134998984634876,0.005593687295913696,-0.7015099478620614,4.1s,-94.58%,7.44%
3F+gamma,18.05118751525879,0.00015227287119033944,0.012339889431852274,0.008293437771499157,0.00016071865684352815,0.0061338841915130615,-0.9136495849286275,4.1s,-118.84%,-12.47%
3F+theta,14.404558181762695,0.00012151130947541183,0.011023216838809434,0.007179759442806244,-0.00024065976322162896,0.005217641592025757,-0.5270616829119599,4.1s,-74.63%,20.20%
3F+vega,13.985508918762207,0.00011797637115662582,0.01086169283107499,0.007092062849551439,-0.0003261097881477326,0.005283534526824951,-0.48263726775768445,4.1s,-69.55%,2.91%
3F+rho,15.691247940063477,0.0001323653291160612,0.011505013216683464,0.007636017631739378,0.0005234215641394258,0.005641117691993713,-0.6634667432340484,4.1s,-90.23%,-12.20%
3F+vix_lag+iv_lag,10.72851848602295,9.050165326266776e-05,0.009513235688380046,0.006703246384859085,0.00035124330315738916,0.005044028162956238,-0.13735591801493663,4.1s,-30.06%,31.63%
3F+vix_lag+d_iv_lag,11.350958824157715,9.575232041973693e-05,0.00978531146258191,0.006599611137062311,-0.00036213771090842783,0.004765808582305908,-0.20334230775841244,4.1s,-37.61%,-5.80%
3F+vix_lag+vix_mom_lag,10.483255386352539,8.843270813912471e-05,0.009403866658940073,0.005744587630033493,0.00023543386487290263,0.004105284810066223,-0.11135498990503545,4.1s,-27.09%,7.64%
3F+vix_lag+vix_mom,12.223504066467285,0.00010311277629986322,0.010154446134568996,0.0066157979890704155,0.0002172667591366917,0.0048004984855651855,-0.29584291689372333,4.1s,-48.19%,-16.60%
3F+vix_lag+gamma,11.78565788269043,9.941927439107874e-05,0.009970921441425497,0.006222974043339491,-0.0010200332617387176,0.004459954798221588,-0.2494257951869716,4.1s,-42.88%,3.58%
3F+vix_lag+theta,12.155970573425293,0.00010254308974166176,0.010126356192711263,0.006462270859628916,0.0003774498763959855,0.004489190876483917,-0.2886835296889012,4.0s,-47.37%,-3.14%
3F+vix_lag+vega,15.78547191619873,0.00013316016631826505,0.01153950459587694,0.007848961278796196,0.00021834854851476848,0.005880638957023621,-0.6734556524218309,4.0s,-91.37%,-29.86%
3F+vix_lag+rho,14.246881484985352,0.00012018120954055718,0.010962719076057599,0.007232474163174629,-9.343452256871387e-05,0.005313694477081299,-0.5103459989667447,4.0s,-72.72%,9.75%
3F+iv_lag+d_iv_lag,8.006132125854492,6.753664959175412e-05,0.008218068483028973,0.00549606466665864,-0.00033183308551087976,0.003937274217605591,0.15125077468868386,4.1s,2.94%,43.80%
3F+iv_lag+vix_mom_lag,11.45643424987793,9.664207052071306e-05,0.009830669891757788,0.00694132037460804,-9.78268071776256e-05,0.005139708518981934,-0.21452401004138077,4.0s,-38.89%,-43.10%
3F+iv_lag+vix_mom,10.683859825134277,9.012492998552683e-05,0.0094934150854962,0.006552837789058685,-0.00010730360372690484,0.00478401780128479,-0.13262154650609093,4.1s,-29.52%,6.74%
3F+iv_lag+gamma,11.205465316772461,9.452499318210351e-05,0.009722396473200603,0.006804701406508684,0.00027803730336017907,0.005022987723350525,-0.18791819287498734,4.0s,-35.84%,-4.88%
3F+iv_lag+theta,10.985355377197266,9.266823043736358e-05,0.009626433941879182,0.006669163703918457,0.00043685315176844597,0.004884004592895508,-0.16458381145821432,4.0s,-33.18%,1.96%
3F+iv_lag+vega,18.305376052856445,0.00015441710787343578,0.012426468036953854,0.009004064835608006,0.0004725868930108845,0.006939098238945007,-0.9405967200717416,4.1s,-121.92%,-66.63%
3F+iv_lag+rho,9.723148345947266,8.202073766035907e-05,0.009056530111491877,0.006245405413210392,-0.00040847714990377426,0.004655018448829651,-0.030774223617869412,4.1s,-17.87%,46.88%
3F+d_iv_lag+vix_mom_lag,10.570091247558594,8.916522204697451e-05,0.009442733822732403,0.006338209845125675,0.00027304852847009897,0.004581451416015625,-0.12056066734943749,4.1s,-28.14%,-8.71%
3F+d_iv_lag+vix_mom,9.901190757751465,8.352263492978586e-05,0.009139071885579294,0.006011012475937605,0.00022184733825270087,0.0042918771505355835,-0.04964892574817492,4.1s,-20.03%,6.33%
3F+d_iv_lag+gamma,8.52942180633545,7.19509199572774e-05,0.00848238881196078,0.005351769272238016,-0.0002691403788048774,0.0037320107221603394,0.09577558343030634,4.1s,-3.40%,13.85%
3F+d_iv_lag+theta,9.845523834228516,8.30530501854023e-05,0.009113344621235515,0.005926167126744986,0.0001943723764270544,0.004138648509979248,-0.04374754197473085,4.1s,-19.36%,-15.43%
3F+d_iv_lag+vega,9.861686706542969,8.31893939562442e-05,0.00912082200003071,0.00601367000490427,-0.00012878207780886441,0.0043905749917030334,-0.04546100674648956,4.1s,-19.55%,-0.16%
3F+d_iv_lag+rho,11.447236061096191,9.656447813991473e-05,0.009826722655082656,0.0065720402635633945,0.0004701943544205278,0.00480632483959198,-0.21354888803739125,4.1s,-38.78%,-16.08%
3F+vix_mom_lag+vix_mom,11.823419570922852,9.97378174610726e-05,0.009986882269310708,0.006599274463951588,-0.0008175034890882671,0.0048330724239349365,-0.2534290021200942,4.1s,-43.34%,-3.29%
3F+vix_mom_lag+gamma,13.422094345092773,0.0001132236226335381,0.010640658937938858,0.006878323387354612,0.00023455418704543263,0.004983000457286835,-0.4229083405536509,4.1s,-62.72%,-13.52%
3F+vix_mom_lag+theta,12.558906555175781,0.00010594210262074133,0.010292818011640026,0.0066078235395252705,-0.00033774031908251345,0.004727013409137726,-0.331399737338832,4.0s,-52.25%,6.43%
3F+vix_mom_lag+vega,11.874969482421875,0.00010017267267638344,0.010008629910051798,0.006482007447630167,0.00047151758917607367,0.00476248562335968,-0.2588939315968848,3.9s,-43.96%,5.45%
3F+vix_mom_lag+rho,12.912111282348633,0.00010892160177442011,0.01043655123948616,0.006879736669361591,-0.0006866256007924676,0.0051053836941719055,-0.3688438156842486,4.1s,-56.53%,-8.73%
3F+vix_mom+gamma,12.355817794799805,0.00010422892399341857,0.010209256779678851,0.006443602032959461,6.920161104062572e-05,0.004605233669281006,-0.3098698118605976,4.1s,-49.79%,4.31%
3F+vix_mom+theta,14.706770896911621,0.0001240606596390537,0.011138252090837849,0.007390182930976152,0.0003918361326213926,0.005342647433280945,-0.5590999760389928,4.1s,-78.29%,-19.03%
3F+vix_mom+vega,12.773102760314941,0.00010774897937757764,0.010380220584244712,0.006731758825480938,8.359819184988737e-05,0.004961252212524414,-0.35410718961649246,4.0s,-54.85%,13.15%
3F+vix_mom+rho,14.977826118469238,0.00012634717717718367,0.011240426022939863,0.0074603077955543995,-0.00023479759693145752,0.005460768938064575,-0.5878351887106248,4.1s,-81.58%,-17.26%
3F+gamma+theta,13.9484281539917,0.00011766357209491501,0.010847284088421167,0.007043722551316023,0.0006334081990644336,0.004934549331665039,-0.47870624715020726,4.0s,-69.10%,6.87%
3F+gamma+vega,11.869549751281738,0.00010012695391017536,0.010006345682124686,0.006218590307980776,0.0008781739743426442,0.00456797331571579,-0.25831937292931917,4.0s,-43.90%,14.90%
3F+gamma+rho,15.089285850524902,0.0001272874085834485,0.011282172157144586,0.00736225675791502,-0.00016355840489268303,0.005445756018161774,-0.5996513016286409,4.1s,-82.93%,-27.13%
3F+theta+vega,15.581369400024414,0.00013143843603715395,0.011464660310587224,0.0075973281636834145,-0.0007596762152388692,0.0055602192878723145,-0.6518182562655002,4.1s,-88.89%,-3.26%
3F+theta+rho,14.553910255432129,0.00012277118609331587,0.011080215976835284,0.007251759525388479,-6.2900799093768e-05,0.005292981863021851,-0.5428948536407083,4.1s,-76.44%,6.59%
3F+vega+rho,15.9168062210083,0.00013426805197189507,0.011587409200157517,0.0077171544544398785,0.00010542021482251585,0.005778148770332336,-0.6873787163572798,4.1s,-92.96%,-9.36%
3F+vix_lag+iv_lag+d_iv_lag,10.234957695007324,8.633816436802331e-05,0.009291833208146997,0.006420931778848171,-0.0006560510373674333,0.004664242267608643,-0.08503235746991988,4.0s,-24.08%,35.70%
3F+vix_lag+iv_lag+vix_mom_lag,12.334694862365723,0.00010405073906420112,0.010200526411131982,0.006921970751136541,0.0004423398058861494,0.004953593015670776,-0.30763051924614837,4.0s,-49.53%,-20.52%
3F+vix_lag+iv_lag+vix_mom,10.869001388549805,9.168671296596065e-05,0.009575317904172197,0.006793101783841848,0.0001239054836332798,0.005105242133140564,-0.15224884668696115,4.1s,-31.77%,11.88%
3F+vix_lag+iv_lag+gamma,13.54832649230957,0.00011428846844919289,0.010690578489922465,0.007694030646234751,-0.0007500142673961818,0.0058014243841171265,-0.43629051255324236,4.0s,-64.25%,-24.65%
3F+vix_lag+iv_lag+theta,10.74450969696045,9.063654896419461e-05,0.009520322944322562,0.006789743434637785,-0.0012815772788599133,0.005143329501152039,-0.13905118455333954,4.1s,-30.26%,20.69%
