epoch,loss,val_loss
1,0.00018672601197792005,6.995530575381633e-05
2,7.911030139639808e-05,5.4679496648469105e-05
3,6.75189893801029e-05,5.288197344299575e-05
4,5.749319176096404e-05,4.311703748157566e-05
5,4.8971602725591824e-05,4.2106553162348954e-05
6,4.371070042468485e-05,4.582959539361195e-05
7,4.0737625706262695e-05,4.7224147186368705e-05
8,3.753249407175187e-05,4.239661735505466e-05
9,3.5946412196508227e-05,4.4936485336439784e-05
10,3.418117224784276e-05,4.308173203627301e-05
11,3.22649448867418e-05,4.116097388243522e-05
12,3.0995033592457535e-05,4.368565275717772e-05
13,2.943847630503542e-05,4.28697108322305e-05
14,2.8256152032082512e-05,4.5859667623615004e-05
15,2.7112513832956412e-05,4.8853754869407726e-05
16,2.5992400159525478e-05,4.688519748416766e-05
17,2.4985993796960495e-05,4.1820979771877355e-05
18,2.2498661694280068e-05,4.453706501996464e-05
19,2.2118581410257454e-05,4.7637761993827084e-05
20,2.1762928033038626e-05,4.509827179846595e-05
21,2.145288684257635e-05,4.63520304646199e-05
22,2.1196803829051923e-05,4.7434703874415886e-05
23,2.0910638952268954e-05,4.9517194745454924e-05
