epoch,loss,val_loss
1,0.00011677086016131893,6.127616791325905e-05
2,6.968742463500836e-05,6.100753278714184e-05
3,5.479481847559146e-05,4.0869082380027426e-05
4,4.030536870821866e-05,3.475229103530501e-05
5,3.302276221081966e-05,3.1015740884010284e-05
6,2.653718269359878e-05,2.8023663092165346e-05
7,2.1927212742570497e-05,1.981454641551436e-05
8,1.89958499614785e-05,1.8049963652086977e-05
9,1.7189211410995068e-05,1.652391122515034e-05
10,1.5693204513454007e-05,1.484564878892314e-05
11,1.4289571532379345e-05,1.2760688284721565e-05
12,1.3305455077381664e-05,1.3876352780642707e-05
13,1.2425213127260696e-05,1.1759788531238803e-05
14,1.1706381840285935e-05,1.2307070072941886e-05
15,1.111440092454473e-05,1.0444864806418124e-05
16,1.0577039800643093e-05,1.103299923340477e-05
17,9.912351286953071e-06,1.2003338020396814e-05
18,9.727200258021439e-06,1.0409380791011804e-05
19,9.340573217397865e-06,9.917439806356964e-06
20,9.083806306985768e-06,1.0564453296443642e-05
21,8.866237632617037e-06,8.45595426673828e-06
22,8.384233874120185e-06,9.690162456300937e-06
23,8.255178096202763e-06,8.667249792274374e-06
24,8.119411227915411e-06,9.926802817613569e-06
25,7.637785134239408e-06,9.929586136789826e-06
26,7.968430689966017e-06,9.765661229649718e-06
27,7.4836287936423444e-06,7.773498075831105e-06
28,7.211825129314783e-06,8.135863699633441e-06
29,7.208073231539522e-06,8.275277735319775e-06
30,7.0276485402369225e-06,8.31577077056083e-06
31,6.899024953060158e-06,7.2941001574716565e-06
32,6.774784686380602e-06,7.58405480806767e-06
33,6.881588699061175e-06,7.660760784289695e-06
34,6.533224585731877e-06,6.9084934294301595e-06
35,6.486405063785813e-06,7.5804390767346835e-06
36,6.417868554413654e-06,7.046705519093937e-06
37,6.218681714248155e-06,8.774057608720494e-06
38,6.183417740766886e-06,7.005856682783238e-06
39,6.064991045086179e-06,6.945135314436189e-06
40,5.911690456552778e-06,7.2637784476206745e-06
41,4.970372176821366e-06,6.818936469519794e-06
42,4.8783909435717596e-06,7.1751542082385315e-06
43,4.807034035633735e-06,6.502791669865548e-06
44,4.832513603592419e-06,7.094420692887105e-06
45,4.7842524323347266e-06,6.563546055811067e-06
46,4.724016074674328e-06,6.837309972460409e-06
47,4.7968463240723445e-06,5.827152221723443e-06
48,4.6960944148176545e-06,6.160366868025678e-06
49,4.680415814825516e-06,6.614344710005495e-06
50,4.661314650861178e-06,6.7933891739824155e-06
51,4.617033865724299e-06,6.549331984152855e-06
52,4.612357115852072e-06,6.015524721936543e-06
53,4.650608558080233e-06,6.885633933890072e-06
54,4.296768790673559e-06,6.296980737007125e-06
55,4.286556086717838e-06,6.542072396008769e-06
56,4.252162917944935e-06,6.329544401148042e-06
57,4.218221811166875e-06,6.451897628827937e-06
58,4.192349279341877e-06,6.034108463758492e-06
59,4.267610881116415e-06,6.855856419620082e-06
