epoch,loss,val_loss
1,0.00011919395911823595,5.969133164760457e-05
2,6.884060664562089e-05,5.3037737829307546e-05
3,5.526284207961739e-05,4.849302678579506e-05
4,4.3038315218214124e-05,4.497190830739375e-05
5,3.758823745613664e-05,4.527998751293602e-05
6,3.313331758598015e-05,4.677157235723955e-05
7,3.0228978270863547e-05,4.1397718506412946e-05
8,2.7343984078028957e-05,4.54104745080981e-05
9,2.525673095190299e-05,4.9066265229539165e-05
10,2.3684432224049546e-05,4.61864760248602e-05
11,2.2239686018269218e-05,4.60732157315465e-05
12,2.0997734548370343e-05,4.837654210280358e-05
13,1.9918430016370478e-05,5.165196868977027e-05
14,1.7286852581673375e-05,5.242425026417751e-05
15,1.7052253749666606e-05,5.538720618916684e-05
16,1.662867665828056e-05,5.403291606710146e-05
17,1.6199498882030855e-05,5.6882947318101935e-05
18,1.592992439112005e-05,5.377109903113559e-05
19,1.5537624407737504e-05,5.917099336355378e-05
