epoch,loss,val_loss
1,0.00018757006440321737,0.00010152087675367638
2,0.00015694859283885333,0.000115535335726666
3,0.000127181283069542,8.90071241381474e-05
4,0.00010694595545614262,8.649953441924226e-05
5,9.8108496460156e-05,9.488997902563574e-05
6,8.975970088472594e-05,8.493925347480192e-05
7,8.271178008305432e-05,7.580624097938789e-05
8,7.721199946806147e-05,8.598375773742796e-05
9,7.295695517418031e-05,7.08483914999369e-05
10,6.968883221822555e-05,6.935048886933644e-05
11,6.629719269967938e-05,7.448477241664779e-05
12,6.356185987093122e-05,7.041223269871386e-05
13,6.212566971943345e-05,7.150620464355815e-05
14,6.022724320173895e-05,7.474086486056616e-05
15,5.738482132949087e-05,7.322020102333155e-05
16,5.636308925563481e-05,6.980736451815897e-05
17,4.945331027485642e-05,6.815420098115994e-05
18,4.820394599058901e-05,6.800791436310501e-05
19,4.760974990156079e-05,6.73668259448108e-05
20,4.732451621543131e-05,6.713936999882948e-05
21,4.6567783787880014e-05,6.745085463513843e-05
22,4.5763128089185236e-05,6.627808479233777e-05
23,4.4879800109378635e-05,6.875570930896969e-05
24,4.477608044565778e-05,6.531713551531862e-05
25,4.374330247873492e-05,7.037774242748736e-05
26,4.3109267287164465e-05,6.696655520201534e-05
27,4.26960127006067e-05,6.743299089967456e-05
28,4.196101129549423e-05,6.744523612833176e-05
29,4.214902154046661e-05,6.639015549527222e-05
30,4.1324666525213554e-05,6.697195169313191e-05
31,3.914828812919841e-05,6.5167661580254e-05
32,3.858952594360348e-05,6.522810394137643e-05
33,3.834042151210062e-05,6.340788242355316e-05
34,3.8146966946855786e-05,6.590121541133843e-05
35,3.8105539988337595e-05,6.564043699680398e-05
36,3.7759434666621065e-05,6.685524534017307e-05
37,3.7607668455267756e-05,6.505252300823703e-05
38,3.763495278005268e-05,6.572272064079494e-05
39,3.727197747704882e-05,6.564003272210544e-05
40,3.663697912805224e-05,6.561954634390626e-05
41,3.61750497309048e-05,6.504841373329218e-05
42,3.64536252955343e-05,6.510145429228512e-05
43,3.618941240781157e-05,6.567858628858564e-05
44,3.641974401498792e-05,6.589905838828896e-05
45,3.618213269805607e-05,6.517938023443142e-05
