epoch,loss,val_loss
1,0.00018969335092551163,0.00010332130901238217
2,0.0001545816295236483,0.00011287879779219361
3,0.00011958507099964155,8.393360108718014e-05
4,0.00010122779259015579,8.318640581248691e-05
5,9.39333268272888e-05,9.443007154179604e-05
6,8.544402984653683e-05,8.372112067151622e-05
7,7.835631934171162e-05,7.434095606366771e-05
8,7.386097645819268e-05,8.391589993752227e-05
9,6.930588648298618e-05,7.216295177188235e-05
10,6.680661499051093e-05,7.282949814328072e-05
11,6.421086701460252e-05,8.286509962466197e-05
12,6.204647778070173e-05,7.167041872912921e-05
13,6.0597571429456036e-05,7.79692250049059e-05
14,5.7919368273195406e-05,8.004992104983596e-05
15,5.5080998832811445e-05,7.568592653901172e-05
16,5.433422357101377e-05,7.475355377344627e-05
17,5.2125736003653294e-05,7.336650030688921e-05
18,5.0771882146201714e-05,7.441698487302737e-05
19,4.515241517680402e-05,7.067614581441152e-05
20,4.428366978388811e-05,7.262016298264834e-05
21,4.39548354240707e-05,7.471964619280956e-05
22,4.289741706644126e-05,7.215453394653915e-05
23,4.2328720665563614e-05,7.763059253847353e-05
24,4.2050133290187704e-05,7.132971359743274e-05
25,4.131875365026827e-05,7.796799909498903e-05
26,3.893577172580442e-05,7.343182500197672e-05
27,3.8633679795562616e-05,7.22412643453907e-05
28,3.8525934766641446e-05,7.428561928446537e-05
29,3.82217105482696e-05,7.424984798134421e-05
30,3.830466727245603e-05,7.319662750595156e-05
31,3.773239416125608e-05,7.215890505984433e-05
