T_bin,ret_bin,gain%,n
0-3m,<-1%,-159.54,11458
0-3m,-1% to 0%,-67.35,31654
0-3m,0% to 1%,13.74,45786
0-3m,>1%,-43.7,9396
0-3m,All,-50.56,98294
3-6m,<-1%,-290.16,13157
3-6m,-1% to 0%,-135.55,32713
3-6m,0% to 1%,4.5,48304
3-6m,>1%,-17.09,10810
3-6m,All,-91.5,104984
6m-1yr,<-1%,-549.99,13155
6m-1yr,-1% to 0%,-94.01,36831
6m-1yr,0% to 1%,16.35,54682
6m-1yr,>1%,13.11,10586
6m-1yr,All,-99.06,115254
>1yr,<-1%,-52.37,12371
>1yr,-1% to 0%,-29.11,34680
>1yr,0% to 1%,21.76,50743
>1yr,>1%,12.88,9729
>1yr,All,-0.09,107523
All,<-1%,-205.68,50141
All,-1% to 0%,-77.5,135878
All,0% to 1%,14.62,199515
All,>1%,-20.23,40521
All,All,-53.66,426055
