model,mean,std,skew,kurtosis,pct_within_1std,q05,q25,q50,q75,q95
Analytic,0.0005977347609587014,0.005715855862945318,2.257718324661255,50.032257080078125,86.58717771179776,-0.005763615015894175,-0.001437570434063673,0.0003077542642131448,0.0024147843942046165,0.0075702965259552
3F,0.00011873884795932099,0.007122908718883991,-5.120391368865967,142.6303253173828,88.7796176549976,-0.00853735487908125,-0.0014628767967224121,0.0008252263069152832,0.002429358661174774,0.006786280311644077
3F+iv_lag,-0.0004593210178427398,0.005772578064352274,-1.879305124282837,72.2230453491211,86.80240813979417,-0.0070388284511864185,-0.0023509040474891663,-0.0006139427423477173,0.0015067830681800842,0.006496232934296131
4F,-0.0008045155555009842,0.007100436370819807,-10.391393661499023,405.2995910644531,89.66213282322705,-0.008349960669875145,-0.002387106418609619,-0.0005276650190353394,0.0013769939541816711,0.006031510420143604
4F+iv_lag,-0.000855274498462677,0.005544696003198624,-1.7488641738891602,29.494827270507812,84.52617619790873,-0.007943635806441307,-0.0027842260897159576,-0.000764116644859314,0.0013920962810516357,0.006197351962327957
6F_gamma,-0.0012182329082861543,0.006986518856137991,-9.810632705688477,324.5608825683594,90.3622771707878,-0.008321681059896946,-0.0027428269386291504,-0.0007898658514022827,0.0009328871965408325,0.004697155207395554
6F_gamma+iv_lag,-0.0009547293302603066,0.003406247589737177,-3.739022970199585,85.39734649658203,87.40186126204364,-0.004839085042476654,-0.0017790794372558594,-0.0008121132850646973,0.00019116699695587158,0.0026331497356295586
6F_theta,-0.0007808274822309613,0.007451116107404232,-8.26307201385498,298.6039123535156,90.13108636208939,-0.009025060571730137,-0.0025707855820655823,-0.00014738738536834717,0.0017629191279411316,0.005471318960189819
6F_theta+iv_lag,-0.00032943705446086824,0.006215507630258799,-2.268287181854248,33.27739715576172,89.84849373907124,-0.006444858852773905,-0.0018365830183029175,-0.00024235248565673828,0.0014884807169437408,0.006132037378847599
8F_theta,-0.0002958204713650048,0.0062584662809967995,-7.414621353149414,269.0251770019531,92.44111675722618,-0.006187844090163708,-0.0013100206851959229,0.00015541911125183105,0.0013983845710754395,0.0042134979739785194
8F_theta+iv_lag,0.0010227623861283064,0.004016953986138105,-1.0229041576385498,31.31192398071289,86.36748776566405,-0.00320936506614089,-7.465481758117676e-05,0.000924423336982727,0.0020618736743927,0.00591836404055357
8F_rho,-1.2977849110029638e-05,0.005900487769395113,-6.102337837219238,227.3365478515625,91.16921524216357,-0.005647958721965551,-0.0012673884630203247,0.00016658008098602295,0.001749180257320404,0.005433780141174793
8F_rho+iv_lag,-0.001100572058930993,0.0034790642093867064,-2.2653720378875732,30.728336334228516,85.9935923765711,-0.006717537064105272,-0.0016677193343639374,-0.0005763322114944458,0.0002458244562149048,0.002196586225181818
