epoch,loss,val_loss
1,0.00015299339336590802,0.00010791423196110372
2,7.659341947069055e-05,6.503672986942395e-05
3,6.0582631332626406e-05,5.9911553895138546e-05
4,5.33951698440781e-05,6.232843334430527e-05
5,4.05675268956792e-05,4.744133502280571e-05
6,2.9586897839413105e-05,3.445842823168732e-05
7,2.5138697921957306e-05,3.2881653955503985e-05
8,2.2353338770583232e-05,3.0439369202402606e-05
9,1.9531373111524946e-05,3.0471142248226595e-05
10,1.8432909460085633e-05,2.877458821141469e-05
11,1.6992497907306235e-05,2.826102865564432e-05
12,1.6454279323218718e-05,2.6829724068496336e-05
13,1.4887866177075999e-05,2.3860302652186267e-05
14,1.3924604544182e-05,2.7512662181076546e-05
15,1.335636181775431e-05,2.270278023767484e-05
16,1.307440701605222e-05,2.3464584700150226e-05
17,1.1858932892674272e-05,2.1063950489027167e-05
18,1.1518790175769221e-05,2.3205643302048884e-05
19,1.1175130204835714e-05,1.9871553381752467e-05
20,1.0515081804113195e-05,2.0077584665045833e-05
21,1.032812884040276e-05,2.4106204795278547e-05
22,1.025558034443554e-05,1.983403740268841e-05
23,9.883262588273476e-06,1.9723509230592146e-05
24,9.798567579638713e-06,1.8270249083703522e-05
25,9.238444227834251e-06,1.8653229607442274e-05
26,8.976181091364855e-06,1.9193080580256112e-05
27,9.250911974030462e-06,1.8086301622588508e-05
28,8.632665931338821e-06,1.7433234586879582e-05
29,8.745684785838982e-06,1.8970052520235942e-05
30,8.192978487173565e-06,1.7895378633170367e-05
31,8.006847547995734e-06,1.6980004228154637e-05
32,8.152998073436468e-06,1.712961391575618e-05
33,7.884913528424147e-06,1.7461139234361173e-05
34,7.699688496281754e-06,1.9700192045964588e-05
35,7.663574497394407e-06,1.7804434849703437e-05
36,7.548940430616371e-06,1.57632916663412e-05
37,7.236738942896061e-06,1.7405122666976542e-05
38,7.161705372632144e-06,1.5422790428469096e-05
39,6.918090639373986e-06,1.5744617755331092e-05
40,6.775900301556945e-06,1.610965376623123e-05
41,6.665231997411614e-06,1.7124629598204894e-05
42,6.888783600709545e-06,1.9082031071112244e-05
43,6.412471071947019e-06,1.5818174569896353e-05
44,6.543976135791572e-06,1.6447907152420765e-05
45,5.338339982738538e-06,1.684086821285291e-05
46,5.273030033191738e-06,1.5987120936718686e-05
47,5.129678433188522e-06,1.5409720414065003e-05
48,5.159330809893869e-06,1.502823386564008e-05
49,5.13112455395303e-06,1.550763794947822e-05
50,5.202114174066315e-06,1.4853935328555204e-05
51,5.0253216062280465e-06,1.4683978096267461e-05
52,4.9126035767759724e-06,1.511573456506691e-05
53,4.972281122389448e-06,1.3915105509928102e-05
54,4.976908091540533e-06,1.412714659447071e-05
55,4.960227109203264e-06,1.5076412976119022e-05
56,4.863753203724318e-06,1.560844334136391e-05
57,4.8119187921018125e-06,1.4563785924792683e-05
58,4.794135989829962e-06,1.578531998565798e-05
59,4.835895596772117e-06,1.5797317805284667e-05
60,4.489568718394792e-06,1.3962666147430506e-05
61,4.497318900092146e-06,1.4322820717893592e-05
62,4.4277532342288824e-06,1.416368771837521e-05
63,4.423827864771506e-06,1.521379318584574e-05
64,4.356041754943634e-06,1.416809812582187e-05
65,4.293079984292606e-06,1.3873042204200678e-05
66,4.3803306740068986e-06,1.4328929677750088e-05
67,4.266732552655702e-06,1.4491571424931257e-05
68,4.301790726884142e-06,1.4481863151634874e-05
69,4.319712001659432e-06,1.4982339704279942e-05
70,4.420813414245904e-06,1.4454674698072267e-05
71,4.201074206650175e-06,1.4690014888666761e-05
72,4.239934607656014e-06,1.4434479365850924e-05
73,4.118116868917144e-06,1.4090820727119535e-05
74,4.158824606534797e-06,1.3937904573898171e-05
75,4.1141761280317605e-06,1.441543064591618e-05
76,4.224384413627125e-06,1.3495614067456549e-05
77,4.189597747755853e-06,1.4477123402893236e-05
78,4.18790958432742e-06,1.3988397453109277e-05
79,4.137046771381605e-06,1.391884596557702e-05
80,4.115513057184487e-06,1.427306994846352e-05
81,4.122287824197593e-06,1.4206239389598826e-05
82,4.169402084099079e-06,1.3481441082300686e-05
83,4.139006165481059e-06,1.4276203098499233e-05
84,4.073755497572958e-06,1.3963683291725223e-05
85,4.117092168327988e-06,1.3976555855776951e-05
86,4.157023122969165e-06,1.4321879442983724e-05
87,4.09806004156169e-06,1.379993338919879e-05
88,4.124668721681488e-06,1.4290191404124167e-05
89,4.121622510439842e-06,1.3759109227369967e-05
90,4.085026333260875e-06,1.3884621940481642e-05
91,4.0426032121994215e-06,1.383656966424951e-05
92,4.07827301484197e-06,1.3942943011121164e-05
93,4.0779921841641094e-06,1.3841354764565494e-05
94,4.0224313192509805e-06,1.3675220496149146e-05
