epoch,loss,val_loss
1,0.00026459691701134904,0.00014072103225733676
2,0.00011390468187412208,9.450994345646298e-05
3,6.942985123617853e-05,6.787647709908622e-05
4,5.741844624355237e-05,5.869996538857928e-05
5,5.16838931287837e-05,6.161929090353624e-05
6,4.4120295546661584e-05,4.86882277167903e-05
7,3.476226609447931e-05,4.100199736474982e-05
8,2.906842657582874e-05,3.875820870765286e-05
9,2.4931739914036564e-05,3.77877473572615e-05
10,2.2578133312561748e-05,3.7460984013174915e-05
11,2.016412735758151e-05,3.2126483072640134e-05
12,1.903584045763598e-05,3.136717639051767e-05
13,1.7875013385337104e-05,3.0483766333115152e-05
14,1.709621931482577e-05,2.869854265933706e-05
15,1.5989590645674865e-05,2.8063334615543074e-05
16,1.5234128469718928e-05,2.7510644663664152e-05
17,1.470244922607077e-05,2.9580447176158486e-05
18,1.4441489544511338e-05,3.0265180820758058e-05
19,1.3937702839184761e-05,2.4323761612284518e-05
20,1.3679033667784175e-05,2.8229722886408126e-05
21,1.2671573386661352e-05,2.743766215710745e-05
22,1.2240368921490524e-05,2.4071446764158583e-05
23,1.2182052798496133e-05,2.58043481740818e-05
24,1.2091413481492905e-05,2.4502455512257864e-05
25,1.1412197191601352e-05,2.4297635645117072e-05
26,1.1324640074738629e-05,2.6918079754523205e-05
27,1.0990238626347607e-05,2.7100425777841036e-05
28,1.0960948782938315e-05,2.4058235347013124e-05
29,1.0357334247872015e-05,2.3185286742943845e-05
30,1.0471085729380882e-05,2.4427031609282796e-05
31,1.037219996392873e-05,2.310807634368454e-05
32,1.020394934807592e-05,2.2129526859278787e-05
33,9.679765288966975e-06,2.3640694441458738e-05
34,9.533547633141774e-06,2.145723922334734e-05
35,9.048266416512172e-06,2.2835029675150054e-05
36,9.182293120210624e-06,2.388655665204927e-05
37,8.879873826601319e-06,2.0935095385254954e-05
38,8.565909637524029e-06,2.093276595852937e-05
39,8.520733058019765e-06,2.2132800111762663e-05
40,8.294090068684841e-06,2.3157002919068265e-05
41,8.285599368660924e-06,1.9856762511002064e-05
42,7.875678294751312e-06,2.1071356421487053e-05
43,7.751799820014524e-06,2.210999259707099e-05
44,7.82438622062476e-06,2.136661077164111e-05
45,7.750709086239828e-06,2.1427304043678912e-05
46,7.404698644290391e-06,2.2111330217455816e-05
47,7.127504509395642e-06,2.299604210994251e-05
48,6.005702713043726e-06,1.9060224161648875e-05
49,5.837104666344648e-06,1.8980493159403977e-05
50,5.779728390018832e-06,1.9252293005441363e-05
51,5.815569002539207e-06,1.906752181923821e-05
52,5.811251478317377e-06,1.876436571042935e-05
53,5.6716551761324966e-06,1.9585677653329487e-05
54,5.615672367600788e-06,1.9691732141779994e-05
55,5.661968924037052e-06,1.885534392442878e-05
56,5.600305482229042e-06,1.797300221066204e-05
57,5.582328356738683e-06,1.83360652078098e-05
58,5.614860409432947e-06,1.986038278308418e-05
59,5.418906328564032e-06,1.9872637468646797e-05
60,5.382599643548638e-06,1.697335673611633e-05
61,5.360800100498501e-06,1.745971721334172e-05
62,5.4158512942562315e-06,1.8263305330871542e-05
63,5.303287283861712e-06,1.9464221999498932e-05
64,5.318656970283631e-06,1.887668134041102e-05
65,5.2178962302237545e-06,1.892528518491569e-05
66,5.148723093565848e-06,1.907675140463046e-05
67,4.829449106066332e-06,1.9290025396874928e-05
68,4.7575561361457965e-06,1.889302881134351e-05
69,4.770935740762457e-06,1.8161085679461546e-05
70,4.723018547976724e-06,1.8167261527442708e-05
71,4.70132469304867e-06,1.7131572256801064e-05
72,4.743157154386628e-06,1.8258228818031814e-05
