T_bin,ret_bin,gain%,n
0-3m,<-1%,69.87,1565
0-3m,-1% to 0%,79.42,6148
0-3m,0% to 1%,72.1,8879
0-3m,>1%,75.96,1964
0-3m,All,75.7,18556
3-6m,<-1%,97.96,1808
3-6m,-1% to 0%,95.12,8563
3-6m,0% to 1%,77.98,10946
3-6m,>1%,97.27,2407
3-6m,All,95.55,23724
6m-1yr,<-1%,95.11,2243
6m-1yr,-1% to 0%,93.26,14982
6m-1yr,0% to 1%,73.95,22078
6m-1yr,>1%,96.28,3902
6m-1yr,All,91.81,43205
>1yr,<-1%,97.03,3174
>1yr,-1% to 0%,90.28,21935
>1yr,0% to 1%,82.65,29902
>1yr,>1%,97.13,4800
>1yr,All,93.61,59811
All,<-1%,95.65,8790
All,-1% to 0%,90.64,51628
All,0% to 1%,77.43,71805
All,>1%,95.7,13073
All,All,91.73,145296
