epoch,loss,val_loss
1,0.00010692931777895893,3.908613716224576e-05
2,6.448106778817535e-05,3.603624888790747e-05
3,5.408148241203753e-05,3.580905276497728e-05
4,3.9423975443727465e-05,3.213448427279792e-05
5,2.969091816968766e-05,2.7046241357790055e-05
6,2.3724645600857474e-05,2.6036625427207727e-05
7,2.0318019494852636e-05,2.4743695181122778e-05
8,1.8299416794427526e-05,2.4410670075188758e-05
9,1.626883599236404e-05,2.4346293974686933e-05
10,1.4869961634580714e-05,2.275914028862309e-05
11,1.329597168813435e-05,3.03140822516549e-05
12,1.2545130467905047e-05,3.0255654280010373e-05
13,1.2128303551503621e-05,2.3043486923693548e-05
14,1.1075149355966097e-05,2.0322398122037778e-05
15,1.0363463832420125e-05,2.1276638834646482e-05
16,9.753852987501832e-06,1.950383078254067e-05
17,9.663146127600602e-06,2.3260668333597623e-05
18,9.141293618031204e-06,1.895827528737994e-05
19,8.758323265898699e-06,2.1027824532450865e-05
20,8.29133626526404e-06,1.940262874014527e-05
21,8.081139179395044e-06,1.6899224924839616e-05
22,7.888979842090679e-06,1.722451584340122e-05
23,7.648663416804816e-06,1.8314444625837878e-05
24,7.455320636275663e-06,1.6706605140969163e-05
25,7.220910089202341e-06,1.7787127336831825e-05
26,7.038142537813362e-06,1.8704830211534403e-05
27,7.013556554759413e-06,1.7075923148312494e-05
28,6.7608703929202014e-06,1.6341663804029706e-05
29,6.526532372065828e-06,1.810506339073694e-05
30,6.364698866231525e-06,1.8734846614614453e-05
31,6.239405789679416e-06,1.7830824283823618e-05
32,6.0777237446305474e-06,1.8158138783818637e-05
33,6.057493425730097e-06,1.664931787553015e-05
34,5.842925451074016e-06,1.7155614329423867e-05
35,4.880351615751474e-06,1.6803558171312418e-05
36,4.814219571523054e-06,1.7927824015523106e-05
37,4.779939117331805e-06,1.860813479676213e-05
38,4.719601091160701e-06,1.6298297062253128e-05
39,4.764676765788815e-06,1.8376627437981753e-05
40,4.653193017427264e-06,1.900194694563221e-05
41,4.661625071025639e-06,1.6539891526247773e-05
42,4.5905829516838065e-06,1.6786343204139006e-05
43,4.535412937255565e-06,1.7695957709101526e-05
44,4.522774528359698e-06,1.690572611742506e-05
45,4.202332958018651e-06,1.6798173190804126e-05
46,4.254947694940177e-06,1.7642441852522576e-05
47,4.186259149575658e-06,1.7078251330291863e-05
48,4.176250671973417e-06,1.7645487125599557e-05
49,4.129557344766997e-06,1.7612861945867495e-05
50,4.178803902262264e-06,1.7613921610111566e-05
