epoch,loss,val_loss
1,0.000164803318942799,3.857057827668828e-05
2,7.349103672918558e-05,2.5981044729250195e-05
3,5.761168841515489e-05,2.8131314449733747e-05
4,4.983849771120813e-05,3.28034064463473e-05
5,4.047110295297378e-05,4.368566481054203e-05
6,3.0998912201115524e-05,2.7646308571523774e-05
7,2.5001933918384e-05,2.63783633128792e-05
8,2.1429143338933582e-05,2.529410391233748e-05
9,1.8589180136156135e-05,2.723225905260494e-05
10,1.6717465442504765e-05,2.4960420609874602e-05
11,1.5136845370290033e-05,2.4486557276759412e-05
12,1.357528054383754e-05,2.1057105880716238e-05
13,1.253590277398112e-05,2.250626223246256e-05
14,1.1667228339942276e-05,2.5718405691134793e-05
15,1.1065068922716067e-05,2.2400016539330336e-05
16,1.03316116132588e-05,2.2264535176107432e-05
17,9.613780499811192e-06,2.100618298515512e-05
18,9.361335890020187e-06,2.040677735701473e-05
19,8.757058628047285e-06,2.1121824731476647e-05
20,8.606111469488586e-06,1.9614378011044066e-05
21,8.347540546980637e-06,2.1602281281287248e-05
22,8.100277415694033e-06,1.952297187639679e-05
23,7.592785042770013e-06,1.9546208506270838e-05
24,7.453160433351855e-06,1.7639997216926865e-05
25,7.313392359692375e-06,1.985075539443259e-05
26,7.0376144385180736e-06,1.953889907925163e-05
27,6.945854248695646e-06,1.9950766942967773e-05
28,6.92553601909726e-06,1.9256610805410004e-05
29,6.575171222980966e-06,1.6464028615365875e-05
30,6.480204282203537e-06,1.4842441199011534e-05
31,6.385543331686806e-06,1.8490122223930054e-05
32,6.088226757839907e-06,1.7101901290803462e-05
33,6.075049711819161e-06,1.7037586572817082e-05
34,6.112100757839888e-06,1.6237085821414534e-05
35,5.8546153052914706e-06,1.641257419315049e-05
36,5.709574152308762e-06,1.8055912345229637e-05
37,4.733752109843367e-06,1.5098976505693205e-05
38,4.630828623915552e-06,1.5700108974670002e-05
39,4.680718625405646e-06,1.6110262217089737e-05
40,4.568463893513109e-06,1.6941274353293443e-05
41,4.534556525759126e-06,1.5488596470372854e-05
42,4.514800068129699e-06,1.5568896673070603e-05
