epoch,loss,val_loss
1,0.00016555033091851117,4.1900086910716615e-05
2,5.08480594820648e-05,2.9168513688809503e-05
3,2.9206785253555246e-05,2.9227785018137134e-05
4,2.156619822406875e-05,2.2568797198561553e-05
5,1.8004585956788972e-05,2.7170636461673176e-05
6,1.4773468257389092e-05,2.1178625602739263e-05
7,1.2632948611078467e-05,1.969079601286993e-05
8,1.0713127416669235e-05,1.7651489614715837e-05
9,9.321285971136809e-06,1.7921668059946233e-05
10,8.348648685069864e-06,1.8528569511258146e-05
11,7.3820318504686e-06,1.7947524451014225e-05
12,6.740269054033088e-06,1.656439671454504e-05
13,6.281641538038443e-06,1.726374977663095e-05
14,6.039380579743448e-06,1.7094268413960603e-05
15,5.730174343215251e-06,1.9127232335928344e-05
16,5.294410406387536e-06,1.8258737396823372e-05
17,5.071017920057018e-06,1.7548744364447835e-05
18,4.7743409381016815e-06,1.900472300229395e-05
19,3.844390613195221e-06,1.9257510095820562e-05
20,3.749685341052756e-06,1.9147483204793196e-05
21,3.7432816106546737e-06,1.928752791460092e-05
22,3.7820339387446737e-06,1.904864831742184e-05
23,3.5334088417065298e-06,1.9224937131854716e-05
24,3.60680631469482e-06,2.0049068088586578e-05
