T_bin,ret_bin,gain%,n
0-3m,<-1%,1.59,3338
0-3m,-1% to 0%,43.66,16011
0-3m,0% to 1%,61.8,22324
0-3m,>1%,80.97,2425
0-3m,All,52.7,44098
3-6m,<-1%,10.96,3110
3-6m,-1% to 0%,-3.54,17573
3-6m,0% to 1%,65.64,23332
3-6m,>1%,78.1,2961
3-6m,All,46.11,46976
6m-1yr,<-1%,60.93,3488
6m-1yr,-1% to 0%,49.6,17342
6m-1yr,0% to 1%,88.55,24075
6m-1yr,>1%,86.78,2694
6m-1yr,All,78.44,47599
>1yr,<-1%,92.15,3954
>1yr,-1% to 0%,69.78,19012
>1yr,0% to 1%,93.12,25866
>1yr,>1%,87.83,2921
>1yr,All,89.82,51753
All,<-1%,53.95,13890
All,-1% to 0%,44.39,69938
All,0% to 1%,79.59,95597
All,>1%,83.44,11001
All,All,69.73,190426
