epoch,loss,val_loss
1,0.00011618451408537981,3.210666646680238e-05
2,4.563154523261104e-05,2.746994517129527e-05
3,3.231326029950372e-05,3.5844576629529e-05
4,2.1952540570772108e-05,3.549347839282291e-05
5,1.9189893248743576e-05,4.8261220229051105e-05
6,1.689044514547861e-05,5.1455773530051374e-05
7,1.574463790912376e-05,4.83170700960045e-05
8,1.506423997361575e-05,7.518994239319454e-05
9,1.4270211791536383e-05,5.0571870076510095e-05
10,1.3849626552024865e-05,5.160272943764236e-05
11,1.2724956971655657e-05,5.30792898416621e-05
12,1.2226821249929796e-05,4.6070955761479127e-05
13,1.1467687455233251e-05,5.240742612500071e-05
14,1.0444792678754311e-05,5.389517113959149e-05
