epoch,loss,val_loss
1,0.0001225873248738829,3.479978892547327e-05
2,4.497520914452106e-05,3.179428847962148e-05
3,3.1250617703468366e-05,3.1747211944358846e-05
4,1.92499285591762e-05,2.0752842985416464e-05
5,1.4508242112660677e-05,1.801031557135957e-05
6,1.2171702792329597e-05,1.9887461701747117e-05
7,1.06799734899108e-05,2.3527077338769686e-05
8,1.000426101717806e-05,2.5688296339865246e-05
9,9.534098222356457e-06,2.522861327965605e-05
10,8.26368948824614e-06,2.909478112655961e-05
11,7.694064040822219e-06,3.1476449493084147e-05
12,7.332666751462435e-06,2.7212778462626375e-05
13,6.4416180610842405e-06,2.8383449993896193e-05
14,6.18445448582237e-06,2.6477059869023378e-05
15,6.155551632119123e-06,2.7239007020322486e-05
16,6.204144493448352e-06,2.7965504614257952e-05
17,6.013476401019372e-06,2.7640118913060025e-05
