T_bin,ret_bin,gain%,n
0-3m,<-1%,20.78,2996
0-3m,-1% to 0%,-27.83,7426
0-3m,0% to 1%,18.04,11814
0-3m,>1%,29.23,1686
0-3m,All,5.72,23922
3-6m,<-1%,23.94,2825
3-6m,-1% to 0%,-11.48,7722
3-6m,0% to 1%,18.85,11465
3-6m,>1%,20.52,2098
3-6m,All,13.85,24110
6m-1yr,<-1%,24.3,3260
6m-1yr,-1% to 0%,-17.08,8134
6m-1yr,0% to 1%,2.84,13460
6m-1yr,>1%,11.86,1794
6m-1yr,All,5.39,26648
>1yr,<-1%,22.21,3630
>1yr,-1% to 0%,-5.18,10356
>1yr,0% to 1%,5.76,15894
>1yr,>1%,9.55,2004
>1yr,All,9.02,31884
All,<-1%,22.46,12711
All,-1% to 0%,-18.3,33638
All,0% to 1%,10.06,52633
All,>1%,18.4,7582
All,All,8.09,106564
