epoch,loss,val_loss
1,0.00017140126984807973,7.33315068994604e-05
2,6.875665524814581e-05,5.533329720388955e-05
3,5.720185630072789e-05,5.054589608859929e-05
4,5.038821881506163e-05,4.538723303965052e-05
5,3.984831239553177e-05,2.6949628903363132e-05
6,3.006974330528592e-05,2.1523564769970432e-05
7,2.4641609007878178e-05,1.7224694546734453e-05
8,2.107377996967714e-05,1.4430432274155731e-05
9,1.8579492139246405e-05,1.3717692965426948e-05
10,1.6598135570811717e-05,1.1695695644167296e-05
11,1.4680119392925563e-05,1.0303334130089124e-05
12,1.3353756741831017e-05,1.001270723508042e-05
13,1.253855479471778e-05,8.598201502980197e-06
14,1.1402130055645344e-05,8.019038656070697e-06
15,1.1144830032239957e-05,7.980032513494631e-06
16,1.013431094811903e-05,6.637917735821336e-06
17,9.486038069274506e-06,6.489488100669405e-06
18,9.204860611327938e-06,6.358373466318289e-06
19,8.626621973791257e-06,5.2178387662253985e-06
20,8.268931154203123e-06,5.534080251776671e-06
21,7.97578499749843e-06,5.370637912468131e-06
22,7.906627697455686e-06,4.72036579481952e-06
23,7.534273079402683e-06,4.461203096854468e-06
24,7.323353343229002e-06,4.5556406150826955e-06
25,6.944010649166278e-06,4.588054652253405e-06
26,7.25923109181685e-06,5.871622944341209e-06
27,6.668429053704365e-06,5.527263031644093e-06
28,6.63001879748666e-06,4.0311154128257324e-06
29,6.524815705648728e-06,4.515014881035757e-06
30,6.414918273091719e-06,4.297770466679154e-06
31,6.181703082183703e-06,3.4149187028072825e-06
32,6.291524674078814e-06,3.7843114432319905e-06
33,5.947125045833329e-06,3.473981480067046e-06
34,5.905798369891726e-06,4.356717281978017e-06
35,5.9281530455192575e-06,3.8298542425379525e-06
36,5.749436275366849e-06,3.2210351816236032e-06
37,5.745795796775895e-06,3.469897082163143e-06
38,5.7033823242793e-06,3.433358497149151e-06
39,5.686215727990652e-06,3.864939225334128e-06
40,5.286057441158186e-06,3.145102168654989e-06
41,5.2885409862420215e-06,2.970862384962509e-06
42,5.291577370917154e-06,3.907659505345018e-06
43,5.022318723238125e-06,2.8580199150974663e-06
44,5.378966783007147e-06,2.780019647938078e-06
45,5.176532897183888e-06,3.3043387867938297e-06
46,5.0099415422331376e-06,3.1624836882715536e-06
47,5.15117158595413e-06,3.1047036952898683e-06
48,5.062166337665985e-06,3.138385124649967e-06
49,5.019208898192392e-06,3.3065340560610117e-06
50,4.956158434550144e-06,2.715137422152717e-06
51,4.827327938293402e-06,3.32024476910288e-06
52,4.956154944881588e-06,3.19049140592704e-06
53,4.832797828067768e-06,2.723910808722801e-06
54,4.741701274449754e-06,2.655045824070381e-06
55,4.602605993615127e-06,3.491405732994628e-06
56,4.755003762576215e-06,2.738399965350683e-06
57,4.785533783932283e-06,2.7132118074353536e-06
58,4.627982906340347e-06,3.1220918699767846e-06
59,4.672735386163156e-06,2.5275847158946276e-06
60,4.717844208822443e-06,2.7989664823411937e-06
61,4.625221523094855e-06,4.031953423000084e-06
62,4.575506612805497e-06,2.617419863735619e-06
63,4.4723050582683035e-06,2.82608260843007e-06
64,4.526263631569735e-06,2.6078780657497385e-06
65,4.480086609771037e-06,3.0486171146634203e-06
66,4.4787609249344005e-06,2.853001834230641e-06
67,4.473910600567699e-06,2.3653172889233367e-06
68,4.216135828622078e-06,2.3197147222285043e-06
69,4.359317855978864e-06,2.423032604030403e-06
70,4.338393722392181e-06,2.5610896720880234e-06
71,4.312595426285512e-06,2.38981544329385e-06
72,4.192521423238539e-06,2.667410052620143e-06
73,4.250695737693261e-06,2.3179188604710982e-06
74,4.275748227450022e-06,2.676077178275073e-06
75,4.1316862477851466e-06,3.783990004096519e-06
76,4.304594782868454e-06,2.29900551793309e-06
77,4.140809447507603e-06,3.519120737313258e-06
78,4.3450045480651376e-06,2.081238648550543e-06
79,4.1327786307813416e-06,2.3971750864362784e-06
80,4.107768052333957e-06,2.3990993678750777e-06
81,4.082888901973189e-06,2.790153495549183e-06
82,4.195448438257336e-06,2.2430845854991854e-06
83,4.054867397538856e-06,2.4822064935369413e-06
84,4.2311193651494995e-06,2.552501907009018e-06
85,3.90092061317822e-06,3.0613271351322194e-06
86,4.028665533056788e-06,2.576397489482906e-06
87,3.9466787720737845e-06,2.9418410111994616e-06
88,3.031273573191613e-06,1.4708279970948094e-06
89,2.959413843758529e-06,1.5243454120858277e-06
90,2.889995582411618e-06,1.6406032915067665e-06
91,2.9398294505221396e-06,1.6238938045961088e-06
92,2.924744992185756e-06,1.5623784189002191e-06
93,2.8478486539460027e-06,1.707583761775438e-06
94,2.8541032842967914e-06,1.5342359197218432e-06
95,2.856912341195718e-06,1.5199223743665487e-06
96,2.7862230881977136e-06,1.589958650707721e-06
97,2.8650086317239067e-06,1.7675924738345262e-06
98,2.5686305971376007e-06,1.309239316822833e-06
99,2.564149944957966e-06,1.222095232209562e-06
100,2.551666450177614e-06,1.2332795942639433e-06
