T_bin,ret_bin,gain%,n
0-3m,<-1%,69.14,5906
0-3m,-1% to 0%,68.07,15060
0-3m,0% to 1%,68.02,18459
0-3m,>1%,72.51,6235
0-3m,All,69.01,45660
3-6m,<-1%,71.19,7007
3-6m,-1% to 0%,60.85,19036
3-6m,0% to 1%,76.73,23544
3-6m,>1%,77.09,8170
3-6m,All,70.49,57757
6m-1yr,<-1%,71.53,9481
6m-1yr,-1% to 0%,69.45,27586
6m-1yr,0% to 1%,79.79,35026
6m-1yr,>1%,72.23,11959
6m-1yr,All,73.39,84052
>1yr,<-1%,57.08,7320
>1yr,-1% to 0%,58.15,22690
>1yr,0% to 1%,76.44,28253
>1yr,>1%,81.82,8827
>1yr,All,68.69,67090
All,<-1%,69.1,29714
All,-1% to 0%,65.73,84372
All,0% to 1%,74.13,105282
All,>1%,75.05,35191
All,All,70.17,254559
