epoch,loss,val_loss
1,0.00015581023576567276,7.113920348340954e-05
2,6.499380457139443e-05,5.414542968027512e-05
3,5.730662437200775e-05,5.027389029902868e-05
4,6.239427633485512e-05,4.603396966070627e-05
5,4.6967931337891505e-05,4.1195767996058995e-05
6,4.3390859099689116e-05,3.82477441146365e-05
7,4.000205890246945e-05,3.669574898705788e-05
8,3.712224286956418e-05,3.272225634779117e-05
9,3.552612334284564e-05,3.1999393774263234e-05
10,3.3498173625527045e-05,2.9524174645458272e-05
11,3.1998243962573865e-05,2.9093012122624404e-05
12,3.1270800166550956e-05,2.6679316284216618e-05
13,3.00637240064118e-05,2.5672295628171968e-05
14,2.8941340050343504e-05,2.5978673864124065e-05
15,2.811189637883983e-05,2.504550997311925e-05
16,2.730906599026639e-05,2.4736350413637944e-05
17,2.6183184206928943e-05,2.2958813937426694e-05
18,2.5450817702221684e-05,2.2376878848995037e-05
19,2.471922624017839e-05,2.1411517997055455e-05
20,2.430205744882155e-05,2.0633784992596923e-05
21,2.346724029114723e-05,2.0028567605106395e-05
22,2.2501144951348308e-05,2.0164651099238234e-05
23,2.1895599970696168e-05,1.9054299949546965e-05
24,2.143392602304454e-05,1.7670050216865336e-05
25,2.0705286525506445e-05,1.9443323808223883e-05
26,2.0107584714423864e-05,1.7000333447712608e-05
27,1.9923284433612584e-05,1.752793800677886e-05
28,1.917991227393239e-05,1.6511638771745068e-05
29,1.869212294861842e-05,1.5667279146838133e-05
30,1.8438385450281202e-05,1.5442600404018843e-05
31,1.8019363944819033e-05,1.4621956607675756e-05
32,1.735892912077824e-05,1.4862780733715116e-05
33,1.696444105299745e-05,1.4559766854534513e-05
34,1.6672238974965775e-05,1.4711285047735323e-05
35,1.6155728649449117e-05,1.4131533722631014e-05
36,1.5933323932889228e-05,1.3709016005167342e-05
37,1.5596349974083223e-05,1.3559526295710651e-05
38,1.5306034347623496e-05,1.2674884482205415e-05
39,1.4800866633697552e-05,1.2822584863431808e-05
40,1.4698713139774842e-05,1.2805756921075155e-05
41,1.4384666741406953e-05,1.2594273485086799e-05
42,1.4232249684522558e-05,1.2325342673071513e-05
43,1.3733692028102253e-05,1.2014074547173883e-05
44,1.3526013259379716e-05,1.3340853320741878e-05
45,1.3421335062415446e-05,1.1276285712616611e-05
46,1.3171684587544867e-05,1.132903114522356e-05
47,1.2893143352892111e-05,1.0946675654561593e-05
48,1.2672809511091225e-05,1.0752201089372846e-05
49,1.2500047740646997e-05,1.0740222312118176e-05
50,1.2425329141638429e-05,1.0777428620136429e-05
51,1.232988633043868e-05,1.0768956582712524e-05
52,1.210542770678059e-05,1.0872561508066855e-05
53,1.2023086125274155e-05,1.0326394935762481e-05
54,1.1714278831245712e-05,1.0508067453529072e-05
55,1.1501868114767906e-05,1.0332266073441488e-05
56,1.1547395530342648e-05,1.0812701397875704e-05
57,1.133951594518996e-05,9.927525358828616e-06
58,1.1233169613676676e-05,9.680581761463922e-06
59,1.1139679353570834e-05,1.000941914553994e-05
60,1.0958053877530212e-05,9.844320712967069e-06
61,1.0905814863355389e-05,9.535084115402531e-06
62,1.073276146423284e-05,9.861082944331517e-06
63,1.0590541764063426e-05,1.0149014168213974e-05
64,1.062847595835991e-05,9.457889410530298e-06
65,1.0627204411369013e-05,9.459474246640884e-06
66,1.0447755879508086e-05,9.65091357568049e-06
67,1.0371836830464625e-05,9.165964196121998e-06
68,1.0244422919002541e-05,9.253461790072701e-06
69,1.0130753955245222e-05,8.656814665433869e-06
70,1.0056371371447632e-05,8.735365540593282e-06
71,9.952952081093508e-06,8.999198892680152e-06
72,9.914961788525575e-06,9.318641978430473e-06
73,1.0012796411230514e-05,8.885943560283233e-06
74,9.86346026924398e-06,9.40656544050243e-06
75,9.552098820501686e-06,8.856643348292159e-06
76,9.760447069869802e-06,9.089373678562413e-06
77,9.740826577367363e-06,8.348152372180754e-06
78,9.604079678594421e-06,8.820322671831158e-06
79,9.398939603175805e-06,8.664230302578866e-06
80,9.491732880792769e-06,8.304306176086822e-06
81,9.380456855037584e-06,8.572875757880223e-06
82,9.36409468155481e-06,8.183708714790467e-06
83,9.265065981660308e-06,8.220758315207893e-06
84,9.20085165393845e-06,8.221163969254832e-06
85,9.129071198306823e-06,8.143432113484312e-06
86,9.15246059377208e-06,8.3026327917939e-06
87,9.074480474960741e-06,8.171130253331064e-06
88,9.005626436606817e-06,7.763611753345198e-06
89,8.958631768333011e-06,7.793239336290464e-06
90,9.0086029032184e-06,8.366257159140354e-06
91,8.75218399590251e-06,7.730474854591792e-06
92,8.931490258858009e-06,8.039903516363688e-06
93,8.808584741353498e-06,8.25329815841808e-06
94,8.865574700553625e-06,7.919501821029038e-06
95,8.853867255534727e-06,7.81975643349142e-06
96,8.734878580677711e-06,7.833385616433544e-06
97,8.64675637211277e-06,7.882488974734392e-06
98,8.621039608426559e-06,7.718634805780488e-06
99,8.603338762457082e-06,7.870617786820952e-06
100,8.445235421835637e-06,7.849782660719583e-06
