T_bin,ret_bin,gain%,n
0-3m,<-1%,72.87,4227
0-3m,-1% to 0%,66.98,10390
0-3m,0% to 1%,72.8,12976
0-3m,>1%,82.89,4500
0-3m,All,72.52,32093
3-6m,<-1%,72.52,5306
3-6m,-1% to 0%,77.62,13555
3-6m,0% to 1%,77.88,16744
3-6m,>1%,76.75,6255
3-6m,All,75.02,41860
6m-1yr,<-1%,75.58,6345
6m-1yr,-1% to 0%,75.51,16529
6m-1yr,0% to 1%,63.3,20959
6m-1yr,>1%,86.2,7973
6m-1yr,All,74.34,51806
>1yr,<-1%,47.18,5158
>1yr,-1% to 0%,41.77,13107
>1yr,0% to 1%,51.12,16583
>1yr,>1%,65.27,6092
>1yr,All,49.33,40940
All,<-1%,71.79,21036
All,-1% to 0%,68.24,53581
All,0% to 1%,68.57,67262
All,>1%,80.74,24820
All,All,71.43,166699
