T_bin,ret_bin,gain%,n
0-3m,<-1%,65.01,5906
0-3m,-1% to 0%,64.39,15060
0-3m,0% to 1%,66.28,18459
0-3m,>1%,64.32,6235
0-3m,All,64.98,45660
3-6m,<-1%,72.92,7007
3-6m,-1% to 0%,63.34,19036
3-6m,0% to 1%,72.9,23544
3-6m,>1%,70.41,8170
3-6m,All,70.13,57757
6m-1yr,<-1%,71.27,9481
6m-1yr,-1% to 0%,55.62,27586
6m-1yr,0% to 1%,67.01,35026
6m-1yr,>1%,68.67,11959
6m-1yr,All,65.47,84052
>1yr,<-1%,54.56,7320
>1yr,-1% to 0%,50.27,22690
>1yr,0% to 1%,67.37,28253
>1yr,>1%,78.27,8827
>1yr,All,62.44,67090
All,<-1%,67.5,29714
All,-1% to 0%,61.13,84372
All,0% to 1%,68.09,105282
All,>1%,68.87,35191
All,All,66.01,254559
