epoch,loss,val_loss
1,0.001251652572541947,0.00011440037975887314
2,0.00011929265613281659,7.73446214459608e-05
3,0.0002032226520800338,6.536179795605738e-05
4,8.195138152427318e-05,6.305864805369417e-05
5,0.0004551069571581984,6.826706463928592e-05
6,7.103338718017065e-05,6.61137914624534e-05
7,6.473798282074807e-05,6.153991405858924e-05
8,6.283635542020324e-05,5.154499696376426e-05
9,6.174923605214102e-05,5.4218891595702394e-05
10,5.4726250444920815e-05,5.5793233675935074e-05
11,5.5513644104378234e-05,4.854613646009274e-05
12,5.2043098207433474e-05,3.914099715426803e-05
13,4.8587492640587714e-05,3.8243202139331355e-05
14,4.47891299476747e-05,3.6450665517520174e-05
15,4.410293934422059e-05,4.197288340009732e-05
16,3.8512105860271524e-05,3.602509232948747e-05
17,3.6951828964479396e-05,3.1401116534290145e-05
18,3.5105965610439355e-05,3.1259951551623026e-05
19,3.2649359848603544e-05,2.8316228131997896e-05
20,3.126450325604916e-05,3.0478291725775547e-05
21,2.794822170822922e-05,2.4438604599083996e-05
22,2.6654768206706075e-05,2.4993690170222347e-05
23,2.653328427409737e-05,2.20550645799951e-05
24,2.2440374883253274e-05,2.5711277176796006e-05
25,2.065767871898603e-05,1.8033542566928453e-05
26,2.0836685038566907e-05,1.7947967990039615e-05
27,1.818681078299976e-05,1.642073175389669e-05
28,1.7155604296261262e-05,1.4447255407336298e-05
29,1.5415965253053225e-05,1.5048297935465787e-05
30,1.579487675291858e-05,1.2152543713120305e-05
31,1.333228212164964e-05,1.2580771219592215e-05
32,1.2848972949684953e-05,1.2839638924996078e-05
33,1.198061293172558e-05,1.1939720814642133e-05
34,1.1284430820523994e-05,9.480921487172885e-06
35,1.1177246084882523e-05,1.3103639754329942e-05
36,9.76781571696113e-06,8.542264447372248e-06
37,1.0085470688736359e-05,8.991679878594914e-06
38,9.167039624707397e-06,8.15750356469483e-06
39,9.283407301776798e-06,7.905731035304146e-06
40,8.246496023084067e-06,7.588074373538774e-06
41,8.635417290797544e-06,8.09602289320169e-06
42,8.041048153117708e-06,7.1530037089667e-06
43,7.4125581265929086e-06,7.1709872188463134e-06
44,7.269225339737125e-06,6.943292648005574e-06
45,7.6366131332562e-06,1.1683962115046352e-05
46,7.135766411106727e-06,6.270276885599764e-06
47,6.5043973136836715e-06,5.90379805095049e-06
48,6.270209695956733e-06,6.023979621723403e-06
49,6.64026388301608e-06,7.767874727405406e-06
50,6.000939848698245e-06,6.06742543385194e-06
51,5.617753981424724e-06,6.078805684388008e-06
52,5.552634657808659e-06,5.485007344330013e-06
53,5.378686533699613e-06,5.496629202412593e-06
54,5.197594937431348e-06,5.137951214019937e-06
55,5.261941401170732e-06,5.415060463551778e-06
56,6.084068317042629e-06,8.050724138363184e-06
57,5.365392928724121e-06,4.971667854106886e-06
58,4.847797140827057e-06,5.055703267445191e-06
59,4.552125508844415e-06,5.404540357167932e-06
60,4.762507850293268e-06,4.598345168076977e-06
61,4.635366059645955e-06,4.506614316407114e-06
62,4.511136653331561e-06,4.7788647725331655e-06
63,4.332418840628331e-06,4.505714618999878e-06
64,4.394675124785863e-06,4.259833935780331e-06
65,4.302484612389092e-06,4.346959469659817e-06
66,4.257717521620195e-06,4.297275796751222e-06
67,4.051418834917473e-06,4.166866979678295e-06
68,4.2781124416809724e-06,4.299358365949432e-06
69,4.010992836156858e-06,4.335904731741291e-06
70,3.88168568222905e-06,4.9785513284890604e-06
71,3.951898110356348e-06,4.5659843743213205e-06
72,3.945643500931813e-06,3.991182521765649e-06
73,3.830804042624087e-06,3.875129668450633e-06
74,3.615208835359035e-06,3.863795633357762e-06
75,3.6711051527099537e-06,4.072079229132616e-06
76,3.7077723873791686e-06,3.800555600161263e-06
77,3.6173461658587543e-06,4.233369753975948e-06
78,3.5689775586433827e-06,4.095201322700303e-06
79,4.06075704583935e-06,4.6196152298243256e-06
80,3.82267078413478e-06,3.972583804282021e-06
81,3.3889756714575414e-06,3.6699220528062366e-06
82,3.327662773444261e-06,3.73124926659748e-06
83,3.319585033622979e-06,3.6677756006722755e-06
84,3.242272892796456e-06,3.4755518553666757e-06
85,3.25464493670823e-06,3.535529655914197e-06
86,3.2135261507025e-06,3.949902699167995e-06
87,3.2002369930763195e-06,3.6472519899622405e-06
88,3.1724914123786444e-06,3.604487000877181e-06
89,3.412707967966031e-06,3.4795796447188916e-06
90,3.240047941656948e-06,3.5197897780959084e-06
91,3.1550215433590143e-06,3.1603176752848575e-06
92,3.048141969916367e-06,3.3274169572626536e-06
93,3.0460707712496e-06,3.1830176482291532e-06
94,3.089875810091096e-06,3.18702649302992e-06
95,3.0420108307800165e-06,3.237024047625347e-06
96,3.0149337266936385e-06,3.4397077645573596e-06
97,2.9249897372146575e-06,3.3379062147579566e-06
98,2.895229376838216e-06,3.2811249369134073e-06
99,2.9313918192105792e-06,3.4148210999182713e-06
100,2.9202663881733316e-06,3.6977986094384813e-06
