T_bin,ret_bin,gain%,n
0-3m,<-1%,76.14,4227
0-3m,-1% to 0%,78.01,10390
0-3m,0% to 1%,73.69,12976
0-3m,>1%,84.8,4500
0-3m,All,77.22,32093
3-6m,<-1%,86.06,5306
3-6m,-1% to 0%,81.79,13555
3-6m,0% to 1%,77.72,16744
3-6m,>1%,80.41,6255
3-6m,All,83.05,41860
6m-1yr,<-1%,69.69,6345
6m-1yr,-1% to 0%,72.84,16529
6m-1yr,0% to 1%,64.53,20959
6m-1yr,>1%,88.05,7973
6m-1yr,All,71.86,51806
>1yr,<-1%,64.97,5158
>1yr,-1% to 0%,45.59,13107
>1yr,0% to 1%,50.31,16583
>1yr,>1%,66.54,6092
>1yr,All,54.93,40940
All,<-1%,77.41,21036
All,-1% to 0%,75.54,53581
All,0% to 1%,69.01,67262
All,>1%,83.03,24820
All,All,75.97,166699
