epoch,loss,val_loss
1,0.0003553083953399742,0.0001091619207601251
2,0.0001698235567624069,0.00011014525956313209
3,0.00016162997076302966,0.00011244477258807607
4,0.00014557934229800736,9.859414731238841e-05
5,0.00011925055469281392,8.543995341417077e-05
6,0.00010539390177338032,7.186370791430542e-05
7,9.77651837793412e-05,8.626537501530536e-05
8,9.38685800821296e-05,7.810026525688444e-05
9,8.927990500199446e-05,7.311396410345204e-05
10,8.58298261385902e-05,7.055166766712366e-05
11,8.362440237093677e-05,7.08064392622153e-05
12,8.153393511844113e-05,7.35568255937203e-05
13,7.897188318044554e-05,6.863691409915891e-05
14,7.63827660526123e-05,7.284886550875025e-05
15,7.4839645051343e-05,7.386806072149064e-05
16,7.297450182840505e-05,7.96827270456182e-05
17,7.074192916442114e-05,7.838105802904052e-05
18,6.747801071494809e-05,8.166659394082786e-05
19,6.44483988351014e-05,0.00014617803473771196
20,6.334261057593239e-05,7.824843228822957e-05
21,6.111764028302516e-05,9.376261334457776e-05
22,5.935484280077415e-05,0.00012356306694444826
23,5.16811997996727e-05,8.063545930483019e-05
24,5.0283601082545384e-05,0.00011820470626127059
25,4.945934338829931e-05,9.211903024545042e-05
26,4.852864090894736e-05,7.631128713141674e-05
27,4.8262604854741515e-05,9.426909649536633e-05
28,4.748904659127892e-05,9.875617737984484e-05
29,4.654953665022266e-05,8.408388126921441e-05
30,4.632057772931965e-05,0.00010987797121791689
31,4.5590999754007894e-05,9.703933021905396e-05
32,4.286006122058004e-05,8.565712578389305e-05
33,4.2636474011321564e-05,8.327328168602019e-05
34,4.210960765016419e-05,9.018556745910642e-05
35,4.193567351262224e-05,8.074710782434077e-05
36,4.151131757665338e-05,8.503680988890634e-05
37,4.168106073216622e-05,8.303885687173275e-05
38,4.120963741791798e-05,8.418906751183684e-05
