epoch,loss,val_loss
1,0.00035304257936348343,0.0001074966553876414
2,0.00016813237640410505,0.00010871482893887192
3,0.00015897633942132142,0.00010666734509558687
4,0.00014220247680674154,9.666622649184271e-05
5,0.00012586931812795654,0.00010307434116586953
6,0.00011498174289688098,9.051226879245482e-05
7,0.00010836924227016116,0.00010783216338113964
8,0.00010422238804112745,0.0001019216095771617
9,9.958741477929475e-05,0.00010073407173524162
10,9.434457797587315e-05,9.546092192913965e-05
11,8.993090660285465e-05,9.482296441910014e-05
12,8.627104886436985e-05,0.00010194339612394216
13,8.309519334169848e-05,9.421093387452409e-05
14,7.996080851954709e-05,9.46992050279738e-05
15,7.821622058250578e-05,9.377030855486238e-05
16,7.006138164510773e-05,9.594314911444811e-05
17,6.846085530439472e-05,9.193106473873686e-05
18,6.734994065360395e-05,9.321420317517934e-05
19,6.706234526215998e-05,9.351990475786731e-05
20,6.586406498159753e-05,9.12120802280846e-05
21,6.478553426341898e-05,9.253786929519678e-05
22,6.365149879602895e-05,9.508852065891198e-05
23,6.310638407948073e-05,9.247184884240053e-05
24,6.249594952194867e-05,9.233246049922226e-05
25,5.921278315323267e-05,9.62531439166671e-05
26,5.867288464883595e-05,9.595116129224351e-05
27,5.856380287834347e-05,9.374140983410984e-05
28,5.8094392263185526e-05,9.21847597273652e-05
29,5.7698906039530276e-05,9.352268197310043e-05
30,5.771862338488659e-05,9.332834680876672e-05
31,5.737089611826717e-05,9.574315224230941e-05
