epoch,loss,val_loss
1,0.0002927395044875492,0.00010397276690110696
2,0.0001662506073795459,0.00010434739488692608
3,0.00015459984441673757,0.00010621990017807835
4,0.00013124610181514535,8.606463640433228e-05
5,0.00011253598921593263,8.869254639929885e-05
6,0.00010010141256165325,8.206916306711036e-05
7,9.385002811279893e-05,8.634131583750804e-05
8,8.697736098341263e-05,7.768793330174465e-05
9,8.200509963007359e-05,8.383654487077463e-05
10,7.667330757265383e-05,8.922959539901539e-05
11,7.26257156562583e-05,7.53584238045503e-05
12,7.015741534034769e-05,6.792277159484546e-05
13,6.619274298697151e-05,7.578558055201967e-05
14,6.356985692465431e-05,6.82393457577674e-05
15,6.17155086097627e-05,7.220878041660726e-05
16,5.947864199930904e-05,6.941771170138458e-05
17,5.702092864315546e-05,6.55900645366325e-05
18,5.557153334146943e-05,6.89672882245911e-05
19,5.4016362278726447e-05,6.896743112858748e-05
20,5.225359206102094e-05,6.889010647720178e-05
21,5.125023872375854e-05,7.189629706904371e-05
22,4.974796034398049e-05,6.680926341833477e-05
23,4.892029108944306e-05,6.910680643328415e-05
24,4.773152984173467e-05,6.483531377241957e-05
25,4.601705292505819e-05,7.019396175980921e-05
26,4.498047541400026e-05,6.456544309631546e-05
27,4.4667484851456535e-05,6.687961422214604e-05
28,4.387678463227357e-05,6.944752127247374e-05
29,4.2742695087368724e-05,6.157177232880398e-05
30,4.2067582774353686e-05,7.091706168090924e-05
31,4.093894819601006e-05,6.748566921295282e-05
32,4.072623288853489e-05,6.453923280460348e-05
33,3.988277228932546e-05,6.76786526013363e-05
34,3.920154734233357e-05,6.646487383824664e-05
35,3.828400053767289e-05,6.967818399779066e-05
36,3.7385647220836545e-05,6.656591913642928e-05
37,3.61355224226808e-05,6.689937250680041e-05
38,3.6312896141069134e-05,6.88421599320449e-05
39,3.0749732579004423e-05,6.60776884447348e-05
40,2.9600962231928876e-05,6.628885674931998e-05
41,2.916860589093288e-05,6.588321436010626e-05
42,2.846128282096137e-05,6.617894061422967e-05
43,2.7946993766899378e-05,6.52497107883575e-05
44,2.818451837105883e-05,6.509446861338963e-05
45,2.748409517566572e-05,6.54421944416794e-05
46,2.7328886491348973e-05,6.632490865307463e-05
47,2.724980835615444e-05,6.536461652542721e-05
48,2.518781851044326e-05,6.578622213396915e-05
49,2.4774497778124384e-05,6.558990527751135e-05
50,2.4847015813022683e-05,6.62365599102532e-05
51,2.4629062446496078e-05,6.559312805979354e-05
52,2.4693198989207885e-05,6.539097531008094e-05
53,2.433859521200297e-05,6.648240744793451e-05
54,2.455576167407321e-05,6.649891486427827e-05
