epoch,loss,val_loss
1,0.00027541179464494477,0.0001056507425280365
2,0.00016637923785706467,0.00010611227618983751
3,0.0001513627056391894,0.00010028705570903902
4,0.00012392067225061218,8.064470757773548e-05
5,0.00010548863251407947,8.063331370928038e-05
6,9.50262070023549e-05,7.409149333403829e-05
7,8.95794269691252e-05,8.215209847881788e-05
8,8.395447037342678e-05,7.910382957090996e-05
9,7.882592370587896e-05,8.413054386893762e-05
10,7.328848891934646e-05,8.049338162311666e-05
11,7.028039764520203e-05,7.68603694862574e-05
12,6.742629730285534e-05,7.10701886129198e-05
13,6.456757606020717e-05,7.552229786534189e-05
14,6.149570115139617e-05,6.97647702517737e-05
15,5.9215553042813654e-05,7.524280682254033e-05
16,5.74321982784564e-05,7.306286753774092e-05
17,5.545042430395209e-05,6.876256315775578e-05
18,5.575069109777315e-05,7.594551248979488e-05
19,5.292042200281879e-05,7.160345332568316e-05
20,5.110587105265399e-05,6.899704243270072e-05
21,5.0836952303617744e-05,7.253569050481134e-05
22,4.93004153996053e-05,6.584830644001861e-05
23,4.8166694135362585e-05,7.041317220243718e-05
24,4.7266046366349255e-05,6.809744360279318e-05
25,4.618797691039578e-05,6.775113780989587e-05
26,4.504632748062839e-05,7.16386215276615e-05
27,4.467243963905983e-05,6.971116540296156e-05
28,4.3849678229768056e-05,7.496484458008201e-05
29,4.232673545934384e-05,6.814489725346492e-05
30,4.1886843628746246e-05,7.14474214374699e-05
31,4.091837539287567e-05,7.149680211662165e-05
32,3.514577462003643e-05,6.933813307825708e-05
33,3.373975572992565e-05,6.801752041601991e-05
34,3.318043360890711e-05,7.03613291051128e-05
35,3.274281673660287e-05,7.219126489352695e-05
36,3.2106635956969385e-05,6.765245829822558e-05
37,3.1876077600206e-05,7.169023708490446e-05
38,3.119266135067472e-05,7.07903941776049e-05
39,3.129711542439066e-05,7.132747839657132e-05
40,3.075561474423321e-05,6.934596122682879e-05
41,2.900335062370698e-05,6.94831361597206e-05
42,2.837072951373775e-05,7.04914230092052e-05
43,2.8020362335365934e-05,6.838833071892895e-05
44,2.8231761437837757e-05,6.956003552908849e-05
45,2.7859196298388113e-05,6.85834524061039e-05
46,2.7737655852143338e-05,6.834629642298033e-05
47,2.775623329620496e-05,7.009432227576395e-05
