T_bin,ret_bin,gain%,n
0-3m,<-1%,-168.83,11458
0-3m,-1% to 0%,-59.44,31654
0-3m,0% to 1%,25.69,45786
0-3m,>1%,-68.69,9396
0-3m,All,-49.7,98294
3-6m,<-1%,-272.3,13157
3-6m,-1% to 0%,-139.45,32713
3-6m,0% to 1%,9.22,48304
3-6m,>1%,-46.38,10810
3-6m,All,-91.0,104984
6m-1yr,<-1%,-500.64,13155
6m-1yr,-1% to 0%,-89.9,36831
6m-1yr,0% to 1%,15.13,54682
6m-1yr,>1%,10.33,10586
6m-1yr,All,-90.93,115254
>1yr,<-1%,-52.23,12371
>1yr,-1% to 0%,-49.3,34680
>1yr,0% to 1%,22.47,50743
>1yr,>1%,2.4,9729
>1yr,All,-3.19,107523
All,<-1%,-201.16,50141
All,-1% to 0%,-76.61,135878
All,0% to 1%,20.34,199515
All,>1%,-40.85,40521
All,All,-52.81,426055
