Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic
Analytic (3F),14.071867942810059,3.3028289640562974e-05,0.00574702441621427,0.0031908254604786634,0.0005977347609587014,0.0019046985544264317,0.18337550732483698,,
3F,21.50349998474121,5.0471183262116886e-05,0.0071043073738484095,0.0037281480617821217,9.53883136389777e-05,0.0023060142993927,-0.24790005400469917,297.5s,-52.81%
Analytic (5F),14.071867942810059,3.3028289640562974e-05,0.00574702441621427,0.0031908254604786634,0.0005977347609587014,0.0019046985544264317,0.18337550732483698,,
5F,23.718181610107422,5.5669295302501844e-05,0.007461185917969197,0.0034803615417331457,0.00022542265651281923,0.0019573047757148743,-0.37642337913125146,292.1s,-68.55%
Analytic (6F_G),14.071867942810059,3.3028289640562974e-05,0.00574702441621427,0.0031908254604786634,0.0005977347609587014,0.0019046985544264317,0.18337550732483698,,
6F_G,19.291330337524414,4.527896712284661e-05,0.006728964788349439,0.002952513750642538,-0.0006833979277871549,0.0016398429870605469,-0.11952250503879669,299.0s,-37.09%
Analytic (6F_R),14.071867942810059,3.3028289640562974e-05,0.00574702441621427,0.0031908254604786634,0.0005977347609587014,0.0019046985544264317,0.18337550732483698,,
6F_R,21.160066604614258,4.966510568967447e-05,0.007047347422234445,0.003494522999972105,-0.00022463347704615444,0.002084702253341675,-0.22796978526186407,243.6s,-50.37%
Analytic (6F_T),14.071867942810059,3.3028289640562974e-05,0.00574702441621427,0.0031908254604786634,0.0005977347609587014,0.0019046985544264317,0.18337550732483698,,
6F_T,22.255142211914062,5.223537386467489e-05,0.007227404365654028,0.0034949900582432747,-0.0003161141648888588,0.0019953250885009766,-0.2915196683254746,241.6s,-58.15%
Analytic (8F_GT),14.071867942810059,3.3028289640562974e-05,0.00574702441621427,0.0031908254604786634,0.0005977347609587014,0.0019046985544264317,0.18337550732483698,,
8F_GT,15.374491691589355,3.608569713203543e-05,0.006007137182721519,0.0024584049824625254,-0.00023106345906853676,0.001125231385231018,0.10778110419962639,377.8s,-9.26%
Analytic (8F_GR),14.071867942810059,3.3028289640562974e-05,0.00574702441621427,0.0031908254604786634,0.0005977347609587014,0.0019046985544264317,0.18337550732483698,,
8F_GR,12.659036636352539,2.971221235838692e-05,0.005450890969225758,0.0024245791137218475,3.9571754314238206e-05,0.0014068633317947388,0.26536552127042434,436.7s,10.04%
Total,,,,,,,,2188.4s,
