model,mean,std,skew,kurtosis,pct_within_1std,q05,q25,q50,q75,q95
Analytic (3F),0.0005977347609587014,0.005715855862945318,2.257718324661255,50.032257080078125,86.58717771179776,-0.005763615015894175,-0.001437570434063673,0.0003077542642131448,0.0024147843942046165,0.0075702965259552
3F,9.53883136389777e-05,0.0071036661975085735,-3.629441261291504,121.69637298583984,88.91927098614029,-0.00775525439530611,-0.002012006938457489,0.0003198981285095215,0.002537950873374939,0.007355234585702419
Analytic (5F),0.0005977347609587014,0.005715855862945318,2.257718324661255,50.032257080078125,86.58717771179776,-0.005763615015894175,-0.001437570434063673,0.0003077542642131448,0.0024147843942046165,0.0075702965259552
5F,0.00022542265651281923,0.007457781117409468,-6.367928981781006,179.56736755371094,90.45170224501533,-0.007268799468874931,-0.001349233090877533,0.0004964321851730347,0.002427995204925537,0.007227386347949505
Analytic (6F_G),0.0005977347609587014,0.005715855862945318,2.257718324661255,50.032257080078125,86.58717771179776,-0.005763615015894175,-0.001437570434063673,0.0003077542642131448,0.0024147843942046165,0.0075702965259552
6F_G,-0.0006833979277871549,0.006694171577692032,-9.370142936706543,320.65655517578125,91.29384703852789,-0.006997126154601574,-0.002079010009765625,-0.0004203915596008301,0.001149877905845642,0.005229196045547724
Analytic (6F_R),0.0005977347609587014,0.005715855862945318,2.257718324661255,50.032257080078125,86.58717771179776,-0.005763615015894175,-0.001437570434063673,0.0003077542642131448,0.0024147843942046165,0.0075702965259552
6F_R,-0.00022463347704615444,0.007043766789138317,-7.782077312469482,282.7311096191406,88.93358838647593,-0.00793495774269104,-0.00201985239982605,9.046494960784912e-05,0.002141200006008148,0.006974903400987387
Analytic (6F_T),0.0005977347609587014,0.005715855862945318,2.257718324661255,50.032257080078125,86.58717771179776,-0.005763615015894175,-0.001437570434063673,0.0003077542642131448,0.0024147843942046165,0.0075702965259552
6F_T,-0.0003161141648888588,0.007220488041639328,-5.525118350982666,173.0409698486328,90.31322247127719,-0.008100082166492939,-0.002011418342590332,0.00015667080879211426,0.00198306143283844,0.006201843731105328
Analytic (8F_GT),0.0005977347609587014,0.005715855862945318,2.257718324661255,50.032257080078125,86.58717771179776,-0.005763615015894175,-0.001437570434063673,0.0003077542642131448,0.0024147843942046165,0.0075702965259552
8F_GT,-0.00023106345906853676,0.00600269204005599,-4.4898481369018555,190.82615661621094,92.40004224806655,-0.00565529428422451,-0.0011092126369476318,-2.592802047729492e-06,0.0011404342949390411,0.004202995449304581
Analytic (8F_GR),0.0005977347609587014,0.005715855862945318,2.257718324661255,50.032257080078125,86.58717771179776,-0.005763615015894175,-0.001437570434063673,0.0003077542642131448,0.0024147843942046165,0.0075702965259552
8F_GR,3.9571754314238206e-05,0.005450747907161713,-8.952011108398438,422.8260192871094,91.50931217800519,-0.00495256157591939,-0.001242220401763916,0.00016543269157409668,0.0015598833560943604,0.004973285831511021
