epoch,loss,val_loss
1,0.00027935195862355917,6.855194412578928e-05
2,8.92139182444896e-05,5.655693153044613e-05
3,7.663396392072884e-05,5.794802542459937e-05
4,7.623681413764511e-05,5.020528800478761e-05
5,5.322964730696602e-05,4.318658303767413e-05
6,4.3189191832903033e-05,4.0350016206502914e-05
7,3.60331588334748e-05,3.167061316522655e-05
8,3.164359939587205e-05,2.6782152257418938e-05
9,2.8403859783925556e-05,2.5247845626624707e-05
10,2.623305042803043e-05,2.4078080708783524e-05
11,2.3897545462870623e-05,2.139992931298143e-05
12,2.251696404827825e-05,2.026210136165397e-05
13,2.0820102779694356e-05,1.8114107217642066e-05
14,1.970431212256643e-05,1.6459553932788293e-05
15,1.8349398071131366e-05,1.5013412797449042e-05
16,1.758670125594987e-05,1.5083963130878976e-05
17,1.6213284040364344e-05,1.5861062351429364e-05
18,1.5597991386531557e-05,1.2447286137801071e-05
19,1.5124542403491585e-05,1.5343994853412038e-05
20,1.4381559030778834e-05,1.351000686119744e-05
21,1.3441452515685824e-05,1.4352317006307444e-05
22,1.2973517336653885e-05,1.1655966604362592e-05
23,1.2597828458002983e-05,1.3037965185412187e-05
24,1.2005860537619657e-05,1.3851068838705959e-05
25,1.1357632314044249e-05,1.0717640897663091e-05
26,1.1210454759143609e-05,9.559032852860199e-06
27,1.0580040095684945e-05,1.0390097103132896e-05
28,1.010518410274718e-05,9.83665003154812e-06
29,9.731268284017385e-06,9.574503177554444e-06
30,9.466129865851963e-06,8.420061312046883e-06
31,8.840513383959828e-06,8.419804963243063e-06
32,8.766759114040618e-06,8.312534654973172e-06
33,8.402156639189668e-06,6.882399799831764e-06
34,8.538810377545845e-06,9.38052917491925e-06
35,7.791930540264344e-06,8.474607334420804e-06
36,7.760568416679692e-06,7.727030677975884e-06
37,7.532894215479479e-06,7.05218688055092e-06
38,7.490622956995861e-06,6.510158160301171e-06
39,7.07281391538477e-06,7.512407150125858e-06
40,7.165622519756886e-06,7.316524023730118e-06
41,7.10911986163166e-06,7.434410946595145e-06
42,6.87748012126439e-06,7.229311012331823e-06
43,6.701920536815322e-06,6.297460709135733e-06
44,6.61950154897964e-06,5.923883201356136e-06
45,6.2745679996263196e-06,5.690241838987185e-06
46,6.313363066469999e-06,6.802960068046748e-06
47,6.369316429172918e-06,7.064886378155382e-06
48,6.068420374473572e-06,7.47473339991834e-06
49,6.335980939621047e-06,7.321017799870977e-06
50,5.904478530537135e-06,5.849701367838838e-06
51,5.802953453427138e-06,6.58564051904616e-06
52,4.685483729352901e-06,6.628241764255503e-06
53,4.534458365944689e-06,5.747882715243709e-06
54,4.5416604271143535e-06,7.347607606789097e-06
55,4.591065516246466e-06,6.473310645274555e-06
56,4.48597158129159e-06,5.7811766399873536e-06
57,4.553885731046796e-06,6.385397862789621e-06
