epoch,loss,val_loss
1,0.0005157378423292718,8.217994481408983e-05
2,0.00010468918877226488,5.2798473556116357e-05
3,7.462993365370697e-05,4.81196687091508e-05
4,6.868139531413957e-05,4.491374227128639e-05
5,6.156464876147252e-05,5.0454188355884616e-05
6,5.368090823439715e-05,4.536792309277504e-05
7,4.624024331454232e-05,3.358029492651354e-05
8,3.992256681574964e-05,3.534643406770705e-05
9,3.5783393921814445e-05,2.795956814499629e-05
10,3.172106499737844e-05,3.1853620951225377e-05
11,2.921113455717682e-05,2.481714473220369e-05
12,2.6255444128520905e-05,2.4394099243450545e-05
13,2.4743785621091402e-05,2.121094090146717e-05
14,2.2790117022672775e-05,2.278530353795753e-05
15,2.1259975992557763e-05,1.8931254773244587e-05
16,1.9422058502839605e-05,1.8040793029915062e-05
17,1.8603554803141692e-05,1.7713872387977983e-05
18,1.742128081497471e-05,1.4559770139419684e-05
19,1.6084955836832102e-05,1.4618243178302927e-05
20,1.5143712455902363e-05,1.3727515356292298e-05
21,1.4772775936036047e-05,1.1649935962358649e-05
22,1.3971520894814826e-05,1.1696860620764974e-05
23,1.298459781730608e-05,1.071447085674011e-05
24,1.2709195317007705e-05,1.145848548862572e-05
25,1.204884037885255e-05,1.1110448945174946e-05
26,1.1482168475955994e-05,9.884119174115904e-06
27,1.11752427978366e-05,9.142835882091774e-06
28,1.0675931504752627e-05,1.0340084798875486e-05
29,1.027754347130756e-05,8.487474586606979e-06
30,9.705631354635997e-06,9.86377409224233e-06
31,9.642794659116869e-06,9.260989248293797e-06
32,9.070175927303983e-06,7.498489269966522e-06
33,9.018971454349295e-06,8.380543122314424e-06
34,8.607593696201776e-06,7.672316850969438e-06
35,8.305220477298935e-06,6.746515003575247e-06
36,7.992261018250892e-06,8.053525953817015e-06
37,7.905050334714529e-06,8.352208625703795e-06
38,7.63078770692042e-06,7.1850512020021555e-06
39,7.569673060863972e-06,7.0028811878957254e-06
40,7.531486351977723e-06,6.363089314847068e-06
41,7.259355722031899e-06,6.551251531936083e-06
42,7.096887400509417e-06,8.20600766127879e-06
43,6.996681528951171e-06,6.989431909151224e-06
44,6.916742781436496e-06,7.0032170030841e-06
45,6.737960462213163e-06,5.9012599475114345e-06
46,6.543438600434131e-06,6.444950487614121e-06
47,6.271955693307201e-06,7.2809036808954585e-06
48,6.377290074653613e-06,7.849416922611414e-06
49,6.277116278026532e-06,5.7312741207495935e-06
50,5.986677026879348e-06,5.159426743673106e-06
51,5.935093367037929e-06,4.981741410045505e-06
52,5.865415435858892e-06,6.363254481086942e-06
53,5.918533015675832e-06,5.9529581360507764e-06
54,5.824014750530738e-06,4.903298076897045e-06
55,5.7003413116665555e-06,5.020637913673551e-06
56,5.7421012423209345e-06,4.7714106485670626e-06
57,5.567535630150652e-06,4.569811357980841e-06
58,5.358890790406367e-06,5.694145917210713e-06
59,5.4337100284467156e-06,5.458411697421202e-06
60,5.16590389274342e-06,5.037440965571025e-06
61,5.326906320302269e-06,5.038207502291915e-06
62,5.1434169252225935e-06,4.8660382611806826e-06
63,5.147703023799828e-06,6.892257764283494e-06
64,4.012656768408911e-06,4.038340242422345e-06
65,3.901806860603604e-06,4.101341785557818e-06
66,3.928770926940257e-06,5.582875683417944e-06
67,3.985232888353189e-06,3.8562901286040755e-06
68,3.826770993881781e-06,3.7662853374173017e-06
69,3.915099837006653e-06,3.840896551820443e-06
70,3.8748750152761756e-06,3.7428019911644037e-06
71,3.8516411912842055e-06,4.059228285482763e-06
72,3.8201829756465555e-06,3.9204405680411925e-06
73,3.847749448212391e-06,3.97136999188363e-06
74,3.891782775195812e-06,4.071927912504317e-06
75,3.842057568063311e-06,4.025065573790377e-06
76,3.766890113590241e-06,4.253918841240873e-06
77,3.4853705303970214e-06,3.922039870858555e-06
78,3.431703585929477e-06,3.924192343797786e-06
79,3.3819525013862724e-06,3.7672365887940615e-06
80,3.429002264086666e-06,3.782743645062064e-06
81,3.3910941089118613e-06,3.994799793065984e-06
82,3.3584848064208156e-06,4.113802851833091e-06
