epoch,loss,val_loss
1,0.00036858204103792973,0.00010533683635232203
2,0.00017099563985904965,0.00010392586764225696
3,0.000161847936335981,0.00011304115558335259
4,0.00015610815382753786,0.0001073495092078364
5,0.0001398774659023399,9.685621831899966e-05
6,0.00011704738007815472,8.318821229358202e-05
7,0.00010571318853180856,8.598002099712839e-05
8,9.886599745994561e-05,8.511590078010358e-05
9,9.502230497480658e-05,8.428405516663033e-05
10,9.065718284688432e-05,8.547489203279472e-05
11,8.737618255971374e-05,7.91625896099561e-05
12,8.355450813851043e-05,7.760211051877005e-05
13,7.83277873118771e-05,7.329810190033943e-05
14,7.591941025236221e-05,7.530413522144725e-05
15,7.195826524544401e-05,8.329075703183416e-05
16,6.967986873809545e-05,7.231833995823272e-05
17,6.636038606353273e-05,6.977409410516295e-05
18,6.442747855656221e-05,7.111307998760215e-05
19,6.253340828218484e-05,7.343799678886817e-05
20,6.099638345434432e-05,7.224789141956826e-05
21,6.000771422068232e-05,7.172237954066946e-05
22,5.715602725998215e-05,6.862121346167219e-05
23,5.628782751985927e-05,7.449395734682803e-05
24,5.507718212138367e-05,6.909820943252248e-05
25,5.3227528326578216e-05,6.700577181526906e-05
26,5.237261869718793e-05,7.010281132804134e-05
27,5.115884664900472e-05,6.772557595845769e-05
28,4.981105277754104e-05,7.451767418868533e-05
29,4.9083079072804833e-05,6.70760536761592e-05
30,4.7699914530668193e-05,6.893862443558767e-05
31,4.697033472942233e-05,7.027918163314682e-05
32,4.097528763042403e-05,6.328288747921897e-05
33,4.025513588498163e-05,6.341396744213646e-05
34,3.9692679302031684e-05,6.657292868901936e-05
35,3.911759815015082e-05,6.579549159976741e-05
36,3.8884417051259185e-05,6.264148595785073e-05
37,3.837839188607014e-05,6.621555164070146e-05
38,3.801530278626831e-05,6.682272120293796e-05
39,3.723362286556603e-05,6.55849842776249e-05
40,3.704818929345594e-05,6.65966733963071e-05
41,3.657912964108771e-05,6.577239670356371e-05
42,3.6431193722575556e-05,6.4864086876044e-05
43,3.400946563142599e-05,6.243647121435449e-05
44,3.359038735693223e-05,6.33473507848335e-05
45,3.366032620893067e-05,6.252429935877628e-05
46,3.341535999963688e-05,6.319410500887074e-05
47,3.321673362256534e-05,6.495715041803478e-05
48,3.2891614468322416e-05,6.54731348623048e-05
49,3.2987420660531075e-05,6.491027980020201e-05
50,3.2130613052884545e-05,6.422700092991604e-05
51,3.193308618885475e-05,6.402730061564632e-05
52,3.2185520691027754e-05,6.427636207314758e-05
53,3.211750604020264e-05,6.419848892882608e-05
54,3.178115584074608e-05,6.330939273745039e-05
55,3.187471236478356e-05,6.399086236537039e-05
