epoch,loss,val_loss
1,0.000486564377645374,8.152157315978327e-05
2,0.00010424133480182464,5.1290396895523566e-05
3,7.388069525150668e-05,4.695727647282732e-05
4,6.711042739204443e-05,4.3326642075696307e-05
5,5.932943785710094e-05,4.712740377749612e-05
6,4.8394262295670926e-05,3.410565001767791e-05
7,4.0802096126291524e-05,3.056217228617437e-05
8,3.53520256301727e-05,3.201828906828766e-05
9,3.021152962149412e-05,2.4921004096426453e-05
10,2.723518889207151e-05,2.5618646507855773e-05
11,2.442150766224413e-05,2.382106983000171e-05
12,2.1869667574079438e-05,2.29000987522758e-05
13,2.093778975040804e-05,2.0879656678413806e-05
14,1.8396147208995747e-05,2.0823551777830976e-05
15,1.7731036413804037e-05,1.9875837749151407e-05
16,1.6189337049947638e-05,2.0858642791889156e-05
17,1.5492094398875994e-05,1.9223610340745177e-05
18,1.4568856360771897e-05,1.7288639941993177e-05
19,1.416072722878203e-05,2.043522323768933e-05
20,1.3332460586153303e-05,1.8481139919321373e-05
21,1.3032244816977712e-05,1.721453659600961e-05
22,1.230798026027926e-05,2.02847404294093e-05
23,1.165645758014279e-05,1.7995805987049847e-05
24,1.1644253675375841e-05,1.8681803480001736e-05
25,1.0973035232026575e-05,1.9876661702730428e-05
26,1.0530980430989247e-05,1.8228339703563956e-05
27,1.0246831165174154e-05,1.7249177567492957e-05
28,8.461657079498773e-06,1.8874356633119225e-05
29,8.161812123761486e-06,1.806242850458754e-05
30,8.062473466833575e-06,1.8047556864790898e-05
31,8.100242934863434e-06,1.7645690044126058e-05
32,7.905913295297719e-06,1.846791598647954e-05
33,7.945307590855223e-06,1.8055533691034463e-05
