T_bin,ret_bin,gain%,n
0-3m,<-1%,-274.38,11458
0-3m,-1% to 0%,-70.88,31654
0-3m,0% to 1%,39.33,45786
0-3m,>1%,-90.23,9396
0-3m,All,-73.47,98294
3-6m,<-1%,-484.42,13157
3-6m,-1% to 0%,-144.71,32713
3-6m,0% to 1%,34.04,48304
3-6m,>1%,-64.28,10810
3-6m,All,-134.37,104984
6m-1yr,<-1%,-708.32,13155
6m-1yr,-1% to 0%,-75.14,36831
6m-1yr,0% to 1%,39.72,54682
6m-1yr,>1%,17.72,10586
6m-1yr,All,-110.59,115254
>1yr,<-1%,-68.5,12371
>1yr,-1% to 0%,-30.15,34680
>1yr,0% to 1%,27.84,50743
>1yr,>1%,28.99,9729
>1yr,All,1.82,107523
All,<-1%,-321.67,50141
All,-1% to 0%,-79.12,135878
All,0% to 1%,35.34,199515
All,>1%,-49.46,40521
All,All,-73.52,426055
