Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental
Analytic,14.071867942810059,3.3028289640562974e-05,0.00574702441621427,0.0031908254604786634,0.0005977347609587014,0.0019046985544264317,0.18337550732483698,,,
3F,24.417339324951172,5.731029872892273e-05,0.0075703565787169315,0.0035769399255514145,-0.0010491394205018878,0.001868218183517456,-0.4169971904052501,237.6s,-73.52%,
3F+iv_lag,14.067802429199219,3.301874741336029e-05,0.005746194167739226,0.0030662338249385357,-0.00033738985075615346,0.0017287656664848328,0.1836114389014698,349.0s,0.03%,42.39%
4F,21.519933700561523,5.050975507988763e-05,0.007107021533658641,0.0032499574590474367,-0.0002780798531603068,0.0017882287502288818,-0.2488537422356485,314.8s,-52.93%,-52.97%
4F+iv_lag,12.025917053222656,2.8226208008878328e-05,0.005312834272672011,0.003114173887297511,-0.0004978271317668259,0.001871645450592041,0.3021069802208205,286.6s,14.54%,44.12%
6F_gamma,18.319002151489258,4.299680123807785e-05,0.00655719461645587,0.003101395908743143,0.0006359148537740111,0.0019192397594451904,-0.06309595137429724,380.6s,-30.18%,-52.33%
6F_gamma+iv_lag,4.134411811828613,9.703939190547262e-06,0.003115114635217661,0.0015042219310998917,-0.0002193518594140187,0.0008140802383422852,0.760070094313966,682.4s,70.62%,77.43%
6F_theta,25.088314056396484,5.888515345764393e-05,0.00767366623314071,0.0036103143356740475,-0.0003328879247419536,0.0019205808639526367,-0.4559354750659119,238.9s,-78.29%,-506.82%
6F_theta+iv_lag,14.40818977355957,3.38176755901458e-05,0.005815296689778244,0.003089376026764512,0.0003444251779001206,0.001760631799697876,0.1638579389730297,290.8s,-2.39%,42.57%
8F_theta,19.665912628173828,4.615815476446428e-05,0.006793979302622601,0.002802852774038911,-0.00048226246144622564,0.0014891773462295532,-0.14126042031130126,524.4s,-39.75%,-36.49%
8F_theta+iv_lag,6.348589897155762,1.4900869364649544e-05,0.00386016442197085,0.0020395535975694656,0.00022591810557059944,0.0011361092329025269,0.631575990832373,411.9s,54.88%,67.72%
8F_rho,14.3260498046875,3.362488365278544e-05,0.005798696720193723,0.002244147937744856,-0.0005267715896479785,0.0011940300464630127,0.16862471980703975,661.0s,-1.81%,-125.66%
8F_rho+iv_lag,3.7480809688568115,8.797176347787988e-06,0.002966003430171312,0.0014145639725029469,-0.0005053601926192641,0.0007669776678085327,0.7824898064608393,1007.0s,73.36%,73.84%
Total,,,,,,,,5385.2s,,
