model,mean,std,skew,kurtosis,pct_within_1std,q05,q25,q50,q75,q95
Analytic,0.0005977347609587014,0.005715855862945318,2.257718324661255,50.032257080078125,86.58717771179776,-0.005763615015894175,-0.001437570434063673,0.0003077542642131448,0.0024147843942046165,0.0075702965259552
3F,-0.0010491394205018878,0.007497305981814861,-5.08045768737793,158.74610900878906,89.5952400511671,-0.009345072321593761,-0.002574048936367035,-0.0005519688129425049,0.0011762306094169617,0.005630254279822111
3F+iv_lag,-0.00033738985075615346,0.005736280232667923,-1.3324298858642578,40.30653762817383,87.5159310417669,-0.007169350516051054,-0.0019236281514167786,-0.00023561716079711914,0.0015043765306472778,0.0061546433717012405
4F,-0.0002780798531603068,0.007101578637957573,-7.636080265045166,214.13671875,90.57586461841781,-0.007462706416845322,-0.001753091812133789,9.11131501197815e-05,0.0018200688064098358,0.006335296668112278
4F+iv_lag,-0.0004978271317668259,0.00528945866972208,-1.2294307947158813,24.135433197021484,84.87261034373496,-0.007870372384786606,-0.0021606385707855225,-0.00024031102657318115,0.0015808865427970886,0.0059693921357393265
6F_gamma,0.0006359148537740111,0.006526284385472536,-5.969481468200684,207.87928771972656,91.34078933471031,-0.0057019577361643314,-0.0008301660418510437,0.0009901970624923706,0.002450075000524521,0.00629440788179636
6F,-0.0002193518594140187,0.0031073815189301968,-3.5406007766723633,88.72795104980469,89.672929551349,-0.0036885393783450127,-0.0008746758103370667,-6.0051679611206055e-05,0.0007513836026191711,0.002743000164628029
6F_theta,-0.0003328879247419536,0.007666443008929491,-5.300480365753174,133.71969604492188,90.65684007933248,-0.008729590103030205,-0.0017115212976932526,0.0002515166997909546,0.002077542245388031,0.006226260680705309
6F_theta+iv_lag,0.0003444251779001206,0.005805088207125664,-1.9830931425094604,31.047935485839844,88.64677095680136,-0.005703638307750225,-0.0012419968843460083,0.0005028694868087769,0.002163209021091461,0.006786426063627005
8F_theta,-0.00048226246144622564,0.006776841823011637,-12.763805389404297,579.493408203125,92.72605649505346,-0.006377112120389938,-0.0016778632998466492,-0.0002986788749694824,0.0012494847178459167,0.004787632264196873
8F theta,0.00022591810557059944,0.0038535476196557283,-2.184126853942871,34.63111877441406,88.03393928013989,-0.003795003518462181,-0.0008572936058044434,0.00022579729557037354,0.0013930276036262512,0.004787876736372709
8F_rho,-0.0005267715896479785,0.005774721037596464,-12.756397247314453,600.6306762695312,93.43535459036978,-0.005156190600246191,-0.00145624577999115,-0.00030313432216644287,0.0008859336376190186,0.0037788725458085537
8F rho,-0.0005053601926192641,0.0029226336628198624,-6.026363849639893,121.9044418334961,89.56144159791576,-0.003725707530975342,-0.00106772780418396,-0.0002736896276473999,0.00043107569217681885,0.0021747632417827845
