epoch,loss,val_loss
1,0.0005346086313032632,0.00012934546369554786
2,0.0001270038268651264,7.90798376518372e-05
3,7.785235266833025e-05,6.53783333367149e-05
4,0.0001277437329249512,6.188113773456887e-05
5,6.140445170746958e-05,5.904462422752962e-05
6,5.8326605345723496e-05,5.6759664033734225e-05
7,5.449108444487589e-05,5.7381291583169514e-05
8,5.0720583429086444e-05,5.34957880707528e-05
9,4.5158403503219e-05,5.301951854145651e-05
10,4.1068457569489176e-05,4.784687002749403e-05
11,3.487359877037975e-05,4.468571781520344e-05
12,3.2994943156263304e-05,4.3310807105475156e-05
13,2.8850094991851533e-05,4.836375999654289e-05
14,2.8835059318723332e-05,4.095833295044334e-05
15,2.5669040150804103e-05,3.528163695894667e-05
16,2.5592878256037904e-05,4.2397995495472664e-05
17,2.3477247003371365e-05,3.407315354782744e-05
18,2.2945034086458487e-05,3.1266774489798386e-05
19,2.1612819267845312e-05,2.9544098661441847e-05
20,2.0905324450940785e-05,3.0036204663019817e-05
21,2.0799600449216585e-05,2.9860651361938533e-05
22,1.9892719386465862e-05,2.692491984627547e-05
23,1.8424349394228913e-05,2.6421047304362826e-05
24,1.7354670186856918e-05,3.139960872052446e-05
25,1.7145738024543174e-05,2.5598748569185165e-05
26,1.6801793806843907e-05,2.3948851397411392e-05
27,1.4857409391529822e-05,2.29293616674416e-05
28,1.5979767946798045e-05,2.4445951216497026e-05
29,1.5313895571910733e-05,2.2950423243628393e-05
30,1.4709090480295361e-05,2.3144309797847502e-05
31,1.4217855383539532e-05,2.1493036020577467e-05
32,1.4483285131297098e-05,2.2897271918509432e-05
33,1.4146305264334958e-05,2.3358388621848764e-05
34,1.3419600504559452e-05,2.1288842522911484e-05
35,1.4042745331405766e-05,2.2667411030852236e-05
36,1.282901813773116e-05,2.979482127329902e-05
37,1.2660419018245124e-05,2.1326761185491705e-05
38,1.2225923875610953e-05,1.9957076053363682e-05
39,1.2307653020650474e-05,2.1223939076738436e-05
40,1.1938043414382762e-05,2.2292882865334224e-05
41,1.1459986491635756e-05,1.904272697098956e-05
42,1.1410942627266288e-05,2.1588751006144474e-05
43,1.1104990933854113e-05,2.0041254202851633e-05
44,1.078795585038815e-05,1.8507594546690598e-05
45,1.1361547970013e-05,1.8590389155785186e-05
46,1.0825469063193952e-05,2.2513343897874922e-05
47,1.065912658662603e-05,1.818762664621924e-05
48,1.0227188002504707e-05,1.9422905542872588e-05
49,1.011406104816681e-05,1.9504698125653402e-05
50,9.575822456783622e-06,1.7670672529372194e-05
51,9.50213466356404e-06,1.7213956226669325e-05
52,9.820055870827324e-06,1.7123280448079942e-05
53,9.430117596564694e-06,1.7819049266639315e-05
54,9.129840151202103e-06,1.6561231291234435e-05
55,8.885722277966093e-06,1.8300493574467207e-05
56,9.332807097122826e-06,1.621620762174795e-05
57,9.218302297179038e-06,1.7839495204915085e-05
58,8.350808367785614e-06,1.5535019201706746e-05
59,8.440483359927928e-06,1.517665426338984e-05
60,8.075180269374052e-06,1.5952742074887283e-05
61,8.154626104644396e-06,1.5773937808679268e-05
62,8.173624018647979e-06,1.3949011143192061e-05
63,8.182665674717606e-06,1.458732112761633e-05
64,7.727418638113837e-06,1.474198200905145e-05
65,7.437525807142817e-06,1.4060283765123435e-05
66,7.831514399457907e-06,1.5049082473221157e-05
67,7.5421675995666865e-06,1.4524750127975494e-05
68,7.531619307222631e-06,1.315430203400562e-05
69,7.527839015815089e-06,1.3927787468522487e-05
70,7.285857436805118e-06,1.4958038027164852e-05
71,7.163030258952003e-06,1.5270123938648794e-05
72,7.03123975428877e-06,1.724644903333683e-05
73,7.05508444329269e-06,1.2710187339356102e-05
74,6.739340698494254e-06,1.5648483630078165e-05
75,6.7524245338047794e-06,1.3756892248769267e-05
76,6.50565795935979e-06,1.2133856088780703e-05
77,6.151511982344758e-06,1.4238673855970774e-05
78,6.225076270847916e-06,1.2687071688333162e-05
79,6.260258748011243e-06,1.2279623348376845e-05
80,6.514841683165909e-06,1.4481937284926971e-05
81,6.2935693179489545e-06,1.555182488270172e-05
82,6.107538624785534e-06,1.2380405394196714e-05
83,4.9452551352299215e-06,1.1113087628208026e-05
84,4.760839895106595e-06,1.062266526237939e-05
85,4.738213460652146e-06,1.0980647317637704e-05
86,4.703246712522695e-06,1.0801077849009744e-05
87,4.671281396020697e-06,1.1235946213143203e-05
88,4.789468992649379e-06,1.0673053822074507e-05
89,4.724154112596014e-06,1.0912116470270425e-05
90,4.7695284476317165e-06,1.0645139814376611e-05
91,4.307633492542539e-06,1.0624775015344312e-05
92,4.36129242647688e-06,1.0308952847519018e-05
93,4.290271160951104e-06,1.0489101181102948e-05
94,4.296704119975076e-06,1.007729856894457e-05
95,4.324089681736391e-06,1.0266611852216556e-05
96,4.2397380378747776e-06,1.0361775016084115e-05
97,4.225053909712553e-06,1.031747656080976e-05
98,4.254182757103679e-06,1.026632588245017e-05
99,4.284988347372303e-06,1.0468173447482817e-05
100,4.317388425662126e-06,1.0712386057321055e-05
