epoch,loss,val_loss
1,0.001012095037009965,0.00015276162196187215
2,0.0001841422197016943,0.00011101284138703704
3,9.663365429324997e-05,7.669912819589324e-05
4,7.294121986398331e-05,6.7724050097695e-05
5,6.718468452723195e-05,6.659722347042892e-05
6,6.167195312868859e-05,6.773086388041823e-05
7,5.763246987883646e-05,6.378299125723667e-05
8,5.532142817033813e-05,6.363897938399532e-05
9,5.2911645746998824e-05,6.578903954353639e-05
10,5.1587910442881715e-05,6.58839736805324e-05
11,4.920567109490323e-05,6.320823778575384e-05
12,4.4375219487815965e-05,5.7601038899216896e-05
13,3.9475117874745694e-05,6.236268173627953e-05
14,3.729584207957308e-05,5.31031247798334e-05
15,3.4684790313267746e-05,6.15512238558343e-05
16,3.374071771121767e-05,5.320692059740395e-05
17,2.985019458191167e-05,4.395820718627874e-05
18,2.913938496775754e-05,5.0692774493654724e-05
19,2.6044378197790746e-05,4.294042651054042e-05
20,2.568238646473087e-05,4.591579706432943e-05
21,2.3916248715573198e-05,3.683179140049712e-05
22,2.36164602013474e-05,4.068721721258347e-05
23,2.31281199718131e-05,4.064501558787015e-05
24,2.1266866209553595e-05,3.8795268314591645e-05
25,2.1085854329698137e-05,4.197272170358701e-05
26,1.978137249982235e-05,3.6097555636160905e-05
27,2.0005430623990458e-05,4.3773191218103115e-05
28,1.9500906985655078e-05,3.380688632622272e-05
29,1.876964805164906e-05,3.6023864756392264e-05
30,1.7266432246870885e-05,3.470018278524852e-05
31,1.7647144777894828e-05,3.3734652618022665e-05
32,1.74952697112826e-05,2.8954511009260386e-05
33,1.6394583575224053e-05,3.3480431142152156e-05
34,1.601951110069033e-05,4.0967884899600904e-05
35,1.543469643832232e-05,2.5839600165037762e-05
36,1.4192273621842898e-05,2.8431105761228537e-05
37,1.5305325768688497e-05,2.7568138326235687e-05
38,1.475139861135658e-05,2.674626875887043e-05
39,1.38683860788085e-05,2.7008543251364852e-05
40,1.3323713846280316e-05,2.4552133154998046e-05
41,1.370822220396959e-05,2.625688446755703e-05
42,1.3361564707050784e-05,2.819013366206491e-05
43,1.33842890540513e-05,2.5074408701660406e-05
44,1.2551754418040156e-05,2.232083589130222e-05
45,1.18020321818991e-05,2.65065371536366e-05
46,1.183505588787972e-05,2.4653110694809282e-05
47,1.1876300392094323e-05,2.3218231158731822e-05
48,1.1829802693123034e-05,2.2725290061013464e-05
49,1.1743836803050835e-05,2.513660401840904e-05
50,1.1580249504646401e-05,2.206483619223339e-05
51,1.100114206145428e-05,2.380764490794718e-05
52,1.0534138359966724e-05,2.1555871342116006e-05
53,1.0495064936207138e-05,2.420354275519306e-05
54,1.1312083390496102e-05,2.169938058216303e-05
55,1.0463269374559188e-05,2.3349808941475203e-05
56,9.989071795410919e-06,2.2774546228750598e-05
57,9.788875578458394e-06,2.3493006182206955e-05
58,9.709025060799784e-06,2.035854490619234e-05
59,9.83966494583685e-06,2.0939675915580363e-05
60,9.638027389665407e-06,2.539709300701058e-05
61,9.442992213113248e-06,2.1016986115303855e-05
62,9.249969639507686e-06,1.9759910254416962e-05
63,9.079944548931155e-06,2.0389353058665922e-05
64,9.022163899666899e-06,1.971640751700458e-05
65,8.558482166444863e-06,1.9480633004794374e-05
66,8.757960298463044e-06,2.3915626466456768e-05
67,8.227738183831028e-06,1.7966005330549706e-05
68,8.22225729668708e-06,1.7709651496981376e-05
69,8.427604646766489e-06,1.670924546696521e-05
70,8.382364526330333e-06,1.9215391849532654e-05
71,7.785342326796957e-06,1.7530055487213758e-05
72,7.765691465558633e-06,1.70283692805621e-05
73,7.879399964023723e-06,1.79342382627586e-05
74,7.682650957421229e-06,1.670665506973516e-05
75,7.636813473868837e-06,1.9882426821974757e-05
76,7.455451158708674e-06,1.721198501532702e-05
77,7.670441313648475e-06,1.9139408465207453e-05
78,7.4252611894680895e-06,1.7434320189598413e-05
79,7.161472119625039e-06,1.6660786191854033e-05
80,7.345368625169807e-06,1.7375751667714212e-05
81,7.156935614466808e-06,1.4775469376597053e-05
82,6.896821544529287e-06,1.7222170583863772e-05
83,6.786027374140307e-06,1.5059460556206735e-05
84,6.6860188742125465e-06,1.5496645895988575e-05
85,6.721553971022557e-06,1.6444663941683757e-05
86,6.759193965057747e-06,1.510507039389116e-05
87,6.396277314753463e-06,1.631424788683944e-05
88,5.193681916461772e-06,1.4129839328802518e-05
89,5.085826432282646e-06,1.3701067255548574e-05
90,5.079632236994902e-06,1.4418235996534653e-05
91,5.069558976842966e-06,1.3763198557133668e-05
92,5.097913033859784e-06,1.4828076525456405e-05
93,4.997003912633687e-06,1.4534763219368566e-05
94,5.006721352417202e-06,1.3359869792376836e-05
95,4.990112511922444e-06,1.416865476736954e-05
96,4.846043513960187e-06,1.3656115115168177e-05
97,4.9439095825160375e-06,1.3821702353311593e-05
98,4.857538372631937e-06,1.607254538290211e-05
99,4.904352952772204e-06,1.3288501477859427e-05
100,4.843899236391766e-06,1.429483903336859e-05
