T_bin,ret_bin,gain%,n
0-3m,<-1%,87.12,1565
0-3m,-1% to 0%,85.55,6148
0-3m,0% to 1%,77.8,8879
0-3m,>1%,83.19,1964
0-3m,All,83.18,18556
3-6m,<-1%,98.8,1808
3-6m,-1% to 0%,97.22,8563
3-6m,0% to 1%,89.6,10946
3-6m,>1%,98.43,2407
3-6m,All,97.59,23724
6m-1yr,<-1%,97.95,2243
6m-1yr,-1% to 0%,96.1,14982
6m-1yr,0% to 1%,84.98,22078
6m-1yr,>1%,97.29,3902
6m-1yr,All,95.32,43205
>1yr,<-1%,98.05,3174
>1yr,-1% to 0%,91.44,21935
>1yr,0% to 1%,80.92,29902
>1yr,>1%,97.79,4800
>1yr,All,94.24,59811
All,<-1%,97.74,8790
All,-1% to 0%,93.19,51628
All,0% to 1%,82.12,71805
All,>1%,96.95,13073
All,All,94.06,145296
