epoch,loss,val_loss
1,0.000302898576708521,4.486146549185689e-05
2,8.263096655478274e-05,4.1744637833050407e-05
3,7.365908512516959e-05,4.510089701350233e-05
4,7.281673595543838e-05,3.714805307505517e-05
5,5.9964222751126305e-05,4.097631088753635e-05
6,5.1972274404829645e-05,3.625058644550001e-05
7,4.295599378257661e-05,3.19054395396578e-05
8,3.579768089455451e-05,2.9335904238044016e-05
9,3.045592701457103e-05,3.0338703388559606e-05
10,2.673397744059146e-05,2.5674517741878702e-05
11,2.3389715611951294e-05,2.463769659171751e-05
12,2.0956150563547555e-05,2.7832789850148594e-05
13,1.9876540451027414e-05,2.3051089149368253e-05
14,1.8332596226214366e-05,2.2782085206448467e-05
15,1.75640854095925e-05,2.3103576150836152e-05
16,1.6333985335687684e-05,1.9289414374150892e-05
17,1.5115081623662263e-05,1.9029461868500985e-05
18,1.4582595390937714e-05,1.804291790856376e-05
19,1.3850619821016863e-05,2.0678533158053667e-05
20,1.329059159274093e-05,1.8799763931479233e-05
21,1.2920104108387132e-05,1.8847300806986536e-05
22,1.1943687948765263e-05,1.8947886452511547e-05
23,1.1612034691473613e-05,1.7490732007947947e-05
24,1.1234812436463868e-05,1.6635994660119696e-05
25,1.0950708037443175e-05,1.8748712825886046e-05
26,1.0337688173880233e-05,1.6593682216568453e-05
27,9.869036905644649e-06,1.562790322096637e-05
28,9.636875301337677e-06,1.5129507219650182e-05
29,9.241875845770863e-06,1.7690713852253363e-05
30,9.03195087746844e-06,1.615123292140197e-05
31,8.852661802253228e-06,1.5763554471816047e-05
32,8.538370639827808e-06,1.4430078068758839e-05
33,8.242888521923114e-06,1.4704284627728875e-05
34,7.946261439086866e-06,1.3822034165250921e-05
35,7.587405308097237e-06,1.3893644489527153e-05
36,7.467894396253733e-06,1.487442369149281e-05
37,7.204101477423376e-06,1.3537331218877194e-05
38,7.16411768154014e-06,1.2761710568635241e-05
39,7.006322990368664e-06,1.1414766837141972e-05
40,6.783059615529903e-06,1.3431690451015081e-05
41,6.499790101873061e-06,1.3002135284822495e-05
42,6.447955364361624e-06,1.0916535824148204e-05
43,6.295603669031993e-06,1.1912478471219258e-05
44,6.180922172345327e-06,1.1009281955634116e-05
45,6.06330898616098e-06,1.1539832236226893e-05
46,5.724415038108911e-06,1.1341981036438435e-05
47,5.757047820840573e-06,1.239221194641447e-05
48,5.664844631022227e-06,1.141571121096556e-05
49,4.537812358655646e-06,1.0437577646514814e-05
50,4.3121522481614966e-06,1.044323484118075e-05
51,4.323675102397856e-06,1.0278274145859636e-05
52,4.249114856674326e-06,9.806132313889592e-06
53,4.284484083299524e-06,1.043921815835347e-05
54,4.28179209437869e-06,1.0610489152895752e-05
55,4.307040063921656e-06,9.994292268426139e-06
56,4.27888673663316e-06,1.0480453597426133e-05
57,4.274089883780052e-06,9.713309642441011e-06
58,4.242103773151057e-06,1.0753890180575054e-05
59,4.139334374772979e-06,1.0081825325869432e-05
60,4.16525692525509e-06,1.0712806811409935e-05
61,4.020991863590577e-06,1.0672648570681831e-05
62,4.1389836705387375e-06,9.709495572295916e-06
63,4.036149828819437e-06,9.753537497808314e-06
64,3.98882394548357e-06,1.0887902360417157e-05
65,3.912069595079308e-06,9.632360040182232e-06
66,3.884824229857245e-06,1.0742770940085298e-05
67,3.961101590465475e-06,1.0109797286579697e-05
68,3.8644181801684775e-06,9.95232219577845e-06
69,3.836915737379161e-06,9.72714172492392e-06
70,3.828659619718284e-06,1.0513199128438013e-05
71,3.7983159847184776e-06,9.496024830169566e-06
72,3.7274780794191463e-06,8.74421906174623e-06
73,3.72052274689535e-06,1.0104393648266283e-05
74,3.780354195202419e-06,9.79265199403974e-06
75,3.6576362263897184e-06,9.67627634891917e-06
76,3.686986253814027e-06,1.0466244172771679e-05
77,3.655345184447093e-06,9.302647820157673e-06
78,3.6035761904098135e-06,1.0030980092778918e-05
79,3.2862752040020316e-06,9.47273400398492e-06
80,3.2593543779457695e-06,9.153327240901969e-06
81,3.2672213284653604e-06,9.890827192592903e-06
82,3.2702949555525427e-06,1.0501816217057287e-05
83,3.2636044962648733e-06,9.626290898268053e-06
84,3.2390103995608217e-06,9.54508228867206e-06
