epoch,loss,val_loss
1,0.0005478904513028167,4.2892568997462816e-05
2,0.00010453732156884485,3.314227220758575e-05
3,6.929888593020264e-05,2.744335749747207e-05
4,6.25539666947233e-05,2.67907001216372e-05
5,7.455181532309223e-05,2.7831978619169125e-05
6,5.157722468600395e-05,2.803806012372278e-05
7,4.626036216474236e-05,3.167280989911983e-05
8,4.108111594328342e-05,3.1080731605470643e-05
9,3.627605269171991e-05,2.8054188963946408e-05
10,3.209006376720963e-05,3.393642469554355e-05
11,2.880196022754929e-05,2.9722892433806248e-05
12,2.723132360858328e-05,2.5156139638152367e-05
13,2.4977815725894897e-05,2.960141502722093e-05
14,2.3315287714802635e-05,2.5169602725471027e-05
15,2.1800254251133068e-05,2.638105111385046e-05
16,2.0262010910068384e-05,2.821440317156406e-05
17,1.9210551268989185e-05,2.413434237352799e-05
18,1.812348109456081e-05,2.5713104198650016e-05
19,1.7415208378935816e-05,2.986616707762311e-05
20,1.607872473369869e-05,2.4114586410991922e-05
21,1.551187820827783e-05,2.016101569480318e-05
22,1.4670741480462913e-05,2.714232175908125e-05
23,1.4240084014897747e-05,2.149997058280094e-05
24,1.3977615062207119e-05,2.0535160149991402e-05
25,1.3212670487142955e-05,2.3757257143810612e-05
26,1.2937017755691904e-05,2.026224266573033e-05
27,1.1912122991454002e-05,2.486752964614425e-05
28,9.961970505187345e-06,1.788382813557339e-05
29,9.966167271042814e-06,1.9531306114865735e-05
30,9.720108623593859e-06,1.871915773287918e-05
31,9.522638986921341e-06,1.8498168135824685e-05
32,9.641627763327201e-06,1.8220719730858325e-05
33,9.517597384257173e-06,1.8146978934390448e-05
34,9.278843569169604e-06,1.8887833797826285e-05
35,8.741534935680626e-06,1.794735637399993e-05
36,8.659058644674164e-06,1.7963008370938234e-05
37,8.623487694859435e-06,1.7900982751789823e-05
38,8.674667033734923e-06,1.7512053493287807e-05
39,8.639595851258819e-06,1.818619735116188e-05
40,8.612034790510228e-06,1.836947956354906e-05
41,8.50768710768165e-06,1.8579922887415465e-05
42,8.465399703613672e-06,1.7313100268342838e-05
43,8.456763509484586e-06,1.7761131469964504e-05
44,8.312633365888436e-06,1.785670425593516e-05
45,8.439855997849897e-06,1.8692285783273338e-05
46,8.265309739193557e-06,1.8261995754935348e-05
47,8.130426739373256e-06,1.711559266847249e-05
48,8.287075937354038e-06,1.760003601463579e-05
49,8.133209085396007e-06,1.8494466880120423e-05
50,8.133572990980037e-06,1.8333874339460684e-05
51,8.05409329183377e-06,1.747255413838981e-05
52,7.990224551241753e-06,1.726535661682168e-05
53,7.939390493823825e-06,1.7453075890060926e-05
54,7.595267874407875e-06,1.7603267746093672e-05
55,7.765037501082034e-06,1.7481742744214563e-05
56,7.72875964821993e-06,1.7378376100838832e-05
57,7.654756608186508e-06,1.743909887361377e-05
58,7.680753541487656e-06,1.757931835000866e-05
59,7.601918619378497e-06,1.767032251193182e-05
