epoch,loss,val_loss
1,0.0005305253306366118,4.158885936991091e-05
2,8.12193690003745e-05,2.774608991258949e-05
3,4.556261151983084e-05,2.6300052674119605e-05
4,3.693603982417398e-05,2.4886443651140373e-05
5,4.812468001833431e-05,1.8861178001603357e-05
6,2.366131030797085e-05,1.7457700491113908e-05
7,2.1072215716237696e-05,1.715525510773755e-05
8,1.900486237141571e-05,1.5184184830056773e-05
9,1.7860276176022188e-05,1.5546683401848176e-05
10,1.6131491017739264e-05,1.497554516582137e-05
11,1.5816468773725928e-05,1.6355549407882407e-05
12,1.4005734419355631e-05,1.7587798069335372e-05
13,1.386546465850311e-05,1.8028016706681995e-05
14,1.3010239108963223e-05,1.8721982159101907e-05
15,1.2159239280376105e-05,2.1412168653593032e-05
16,1.1528664724476797e-05,1.78954488690483e-05
17,9.216544189038722e-06,1.694677763512836e-05
18,9.007829498328729e-06,1.723505289479171e-05
19,8.852559514871655e-06,1.7021599069266814e-05
20,8.89960523280954e-06,1.710104033918469e-05
21,8.648649204280131e-06,1.7648618497907208e-05
22,8.452569364409901e-06,1.858226634411901e-05
