epoch,loss,val_loss
1,0.00039366123515706386,4.906100870509059e-05
2,6.330013376053926e-05,5.312131645496265e-05
3,4.632654704736039e-05,6.808282965190908e-05
4,4.6595202554544145e-05,7.382968157306398e-05
5,3.1021683036377756e-05,8.173273380407409e-05
6,2.8805314140678144e-05,8.672340135262857e-05
7,2.7239586668085634e-05,8.623585992495464e-05
8,2.8024218701073444e-05,8.930205549025534e-05
9,2.3165374662239363e-05,0.00010060630951140108
10,2.5656292776672345e-05,0.00010615180001612619
11,2.214804914005417e-05,0.00011307370372530083
12,2.1509321035356702e-05,0.00010605867593464306
13,2.0729007907245772e-05,0.00010763740270173609
