epoch,loss,val_loss
1,0.0008317014678546234,0.0001334877330615806
2,9.082109642080814e-05,6.863168780076497e-05
3,4.670906259457795e-05,5.17776120053289e-05
4,3.736080313906546e-05,5.519684740799372e-05
5,3.286126847189841e-05,4.759876378557237e-05
6,2.5138403444098867e-05,3.715323521191749e-05
7,2.2775320718396307e-05,3.289878781250385e-05
8,2.427135520526735e-05,2.8544640050161735e-05
9,2.030035347473191e-05,2.8161003484683533e-05
10,2.0467855140512017e-05,3.52945417034789e-05
11,2.0367156338559747e-05,3.001012849305577e-05
12,1.866607088059226e-05,3.547802323093189e-05
13,1.8234792383258948e-05,3.572926124206788e-05
14,2.13210365791715e-05,3.426719903624568e-05
15,1.720892703111783e-05,3.8717825191270094e-05
16,1.5589849920410163e-05,3.50335138061079e-05
17,1.5458985608945055e-05,3.313442568734596e-05
18,1.5191559167674414e-05,3.695432507318704e-05
19,1.515914685439988e-05,3.5702107917738125e-05
20,1.4920431169269973e-05,3.335344557816219e-05
21,1.4998154820603263e-05,3.408137501044924e-05
