epoch,loss,val_loss
1,0.0007793272511496541,0.0001102438041395241
2,8.583930533474488e-05,4.7979445146969134e-05
3,4.27466694703861e-05,3.8693875609396855e-05
4,3.1543301137900965e-05,3.716988904519288e-05
5,3.1718804843445054e-05,3.239629785412035e-05
6,2.079859414351611e-05,2.6107926923183793e-05
7,1.8351800463278778e-05,2.6037657666696152e-05
8,1.684047322131627e-05,2.484563640337001e-05
9,1.6600736711366716e-05,2.4342008648166786e-05
10,1.7800249928516338e-05,2.4163248212971666e-05
11,1.3389801083941583e-05,2.257545324368948e-05
12,1.5143722826693578e-05,2.50351841752187e-05
13,1.4699330491221588e-05,2.5773518340580875e-05
14,1.2305559933862826e-05,2.136545933240086e-05
15,1.3532133234017291e-05,2.2272517459972125e-05
16,1.4532914084973354e-05,2.278350311257782e-05
17,1.1948074955458373e-05,2.7152529829284806e-05
18,1.144910804519683e-05,2.0749554352050836e-05
19,1.1430270242404718e-05,2.7351029729061338e-05
20,1.101682557193112e-05,2.288022817727627e-05
21,1.1699212492688136e-05,2.1719414746712573e-05
22,1.053808093115383e-05,2.1535495022817486e-05
23,1.0431300497458343e-05,2.2121361430057124e-05
24,1.0626073600862424e-05,2.342617714627219e-05
25,8.245008415622206e-06,2.0485045827930055e-05
26,8.104701750079233e-06,2.0947967224553093e-05
27,8.050013574754375e-06,2.200072836444633e-05
28,7.99604654574493e-06,2.1076766349400106e-05
29,8.016889017590671e-06,2.0551869691113705e-05
30,7.84137675814933e-06,2.12474640761684e-05
31,7.797489595852485e-06,2.1510846285840064e-05
32,7.575347715656079e-06,2.1300344381340135e-05
33,7.423775248779928e-06,2.0841160676354775e-05
34,7.527809207635485e-06,2.0798673782943904e-05
35,7.506559049810689e-06,2.0740662828681405e-05
36,7.431330431225526e-06,2.027616974942248e-05
37,7.478934495889771e-06,2.087719323640158e-05
38,7.4115127707072315e-06,2.0767159080984737e-05
39,7.299703827108058e-06,2.045428811925376e-05
40,7.419278401596579e-06,2.036325896407713e-05
41,7.373585155426846e-06,2.0367179625206216e-05
42,7.364227035827255e-06,2.040786926234735e-05
43,7.12877557033322e-06,1.9948282982795718e-05
44,7.153524311965103e-06,2.0032660936900964e-05
45,7.151865552956609e-06,1.982986836424061e-05
46,7.189459881580003e-06,1.9867481768187645e-05
47,7.101680123253367e-06,1.973903132087192e-05
48,7.130992885222905e-06,1.9855110442298003e-05
49,7.125642271463871e-06,2.000042886152187e-05
50,7.018207287044948e-06,1.9899830192571244e-05
51,7.061047464931837e-06,1.968017712291233e-05
52,7.122025430110287e-06,2.007171903528615e-05
53,6.995945943716614e-06,2.004963294173952e-05
54,7.0318021449818275e-06,1.9429443710805572e-05
55,6.957433304267623e-06,1.956673940147387e-05
56,7.044394208665556e-06,1.917419667544588e-05
57,6.9872187246588895e-06,1.9464912213607022e-05
58,6.926833341749178e-06,1.9395006110774677e-05
59,6.95961180298562e-06,1.9646229503678114e-05
60,6.96689642735406e-06,1.9413759559938626e-05
61,6.9841012523250816e-06,1.9552705405582554e-05
62,6.973998790975859e-06,1.953213412283124e-05
63,6.781077727481695e-06,1.9284515180591672e-05
64,6.830238727579721e-06,1.9305288579592645e-05
65,6.8402343398981034e-06,1.9163608451814678e-05
66,6.763884749177063e-06,1.9427269933203206e-05
67,6.785344678303567e-06,1.9328340054395692e-05
68,6.7672833416761364e-06,1.9407262603484316e-05
69,6.78383729041509e-06,1.902436706776219e-05
70,6.744062654042267e-06,1.9162753659429654e-05
71,6.828130761171644e-06,1.9259753514688782e-05
72,6.8896671361810386e-06,1.8960232485672652e-05
73,6.7340542590082025e-06,1.9104693421923002e-05
74,6.779261068243408e-06,1.894234688393226e-05
75,6.74513114103134e-06,1.900483793330447e-05
76,6.689979525046749e-06,1.902414459209467e-05
77,6.748232604266802e-06,1.9011099444317853e-05
78,6.7181268293037925e-06,1.8697549544792007e-05
79,6.665281363269849e-06,1.898005952701472e-05
80,6.691820003752118e-06,1.9323874643835854e-05
81,6.678610373249942e-06,1.8791937331267643e-05
82,6.621603968955387e-06,1.8917920707887486e-05
83,6.636616423754548e-06,1.9031741288699777e-05
84,6.665516919078285e-06,1.8883865967230424e-05
85,6.623313151810652e-06,1.8674420857678342e-05
86,6.610581839177163e-06,1.880423008060461e-05
87,6.6052302561756005e-06,1.8863066780265097e-05
88,6.596524775368977e-06,1.892548359213227e-05
89,6.6546576253642385e-06,1.8721332130174535e-05
90,6.606454894110862e-06,1.885502752922245e-05
91,6.614229619947226e-06,1.8812470282606835e-05
92,6.5821951652087195e-06,1.8712359993363254e-05
93,6.540289396867513e-06,1.8655389813678387e-05
94,6.586971595710446e-06,1.8789443818908087e-05
95,6.565748068819929e-06,1.860589886367355e-05
96,6.63740216410973e-06,1.8608142710263564e-05
97,6.6642796743515005e-06,1.86972400039546e-05
98,6.570111804483093e-06,1.890363323771756e-05
99,6.646885067046268e-06,1.875309109777845e-05
100,6.6957837476286305e-06,1.875013457682447e-05
