T_bin,ret_bin,gain%,n
0-3m,<-1%,12.4,2996
0-3m,-1% to 0%,-35.84,7426
0-3m,0% to 1%,7.98,11814
0-3m,>1%,22.72,1686
0-3m,All,-2.9,23922
3-6m,<-1%,17.98,2825
3-6m,-1% to 0%,-31.77,7722
3-6m,0% to 1%,4.3,11465
3-6m,>1%,-4.03,2098
3-6m,All,-0.87,24110
6m-1yr,<-1%,11.9,3260
6m-1yr,-1% to 0%,-49.68,8134
6m-1yr,0% to 1%,-2.05,13460
6m-1yr,>1%,-19.23,1794
6m-1yr,All,-10.11,26648
>1yr,<-1%,15.62,3630
>1yr,-1% to 0%,-10.24,10356
>1yr,0% to 1%,4.8,15894
>1yr,>1%,-3.57,2004
>1yr,All,4.7,31884
All,<-1%,14.75,12711
All,-1% to 0%,-30.23,33638
All,0% to 1%,4.7,52633
All,>1%,3.67,7582
All,All,-0.39,106564
