epoch,loss,val_loss
1,0.004108303589313655,0.00011046046995309407
2,0.00019521023344040383,7.421580592890333e-05
3,0.00011211456250362982,7.140713231840057e-05
4,0.00019303160323952181,8.214302106467751e-05
5,8.881007033144351e-05,8.103920760390434e-05
6,8.624447043558922e-05,6.918104936802842e-05
7,7.183116900893233e-05,5.7698410181777604e-05
8,6.298793071575366e-05,5.005234549057906e-05
9,5.411850984343535e-05,5.0091360520899415e-05
10,5.087812008278385e-05,5.283113294451373e-05
11,4.9181641954629885e-05,5.095757186198985e-05
12,4.649999936339718e-05,5.6242443485417235e-05
13,4.3553132141986245e-05,4.432413122693002e-05
14,4.238104197275247e-05,4.465278094466952e-05
15,4.001814928945337e-05,4.3025764678859216e-05
16,4.108746741741108e-05,4.9485405538646485e-05
17,3.749568924649032e-05,5.0358995458191776e-05
18,3.416051597161445e-05,4.585135390385541e-05
19,3.144419216816758e-05,4.928337432482564e-05
20,3.0135025481742644e-05,5.094340324570052e-05
21,2.7965227732739463e-05,5.011187349105961e-05
22,2.2770624424410772e-05,4.8694570275192146e-05
23,2.207983841500073e-05,5.0464382159758425e-05
24,2.1627206569086148e-05,5.070691783345093e-05
25,2.124964727245572e-05,5.263770005630556e-05
26,2.0659476400216547e-05,5.195927443892632e-05
27,2.0275596039300454e-05,5.5541681108522714e-05
